PMM:episode_rewards,episode_length,fps,policy_entropy,epoch_idx,frames,value_loss,grad_norm,P09:episode_rewards,explained_variance,policy_loss,advantage_norm,approx_kl_divergence,P01:episode_rewards,clip_fraction
145.96774193548387,315.06451612903226,501,1.407844497946985,1,10240,759019.4603551654,2034067.9418119914,250.0,-7.483193476870656,0.0544932360513485,15.968717843294144,662.3348044720373,25.0,0.5784912109375
146.72131147540983,324.8196721311475,611,1.7617983244359494,2,20480,0.008513815768853305,0.062416136805945176,275.0,-0.1619584210216999,-0.0018511182635847945,15.96871719956398,0.0039554097716518345,25.0,0.2741455078125
162.7659574468085,326.13829787234044,643,1.7755585096776485,3,30720,0.008351331444004018,0.052155649773355406,327.5000000000002,2.3741275072097777e-06,-0.0018120613516657614,15.96871542930603,0.0037725871937141164,25.0,0.28349609375
170.5,331.23,608,1.7734836906194686,4,40960,0.00844781269734085,0.053338652298260736,430.0000000000004,1.8915534019470216e-05,-0.0017805400471843313,15.968717789649963,0.0037063255557200137,25.0,0.24775390625
190.5,335.32,588,1.7792824983596802,5,51200,0.010466511888080277,0.05480286615523171,475.0,1.6763806343078613e-07,-0.001220975771502708,15.968717592954636,0.002613312432384873,25.0,0.2142578125
186.75,336.98,575,1.7831921815872191,6,61440,0.007106984176640907,0.05305269140331494,450.0,6.332993507385254e-09,-0.0014489338340354153,15.968708503246308,0.003305361047830502,25.0,0.2369384765625
161.75,331.39,570,1.7801726028323173,7,71680,0.0070814452728882316,0.05306985912393991,400.0,-3.3527612686157227e-09,-0.0016731706076825504,15.968717670440673,0.003737509901247904,0.0,0.26416015625
140.5,324.1,569,1.7810038223862648,8,81920,0.007618436195025424,0.054194950535963626,302.5000000000002,2.6822090148925782e-08,-0.00195383771933848,15.968717437982558,0.004096911359170008,0.0,0.29326171875
124.5,321.75,567,1.7799754738807678,9,92160,0.007346113666392285,0.05325823559696049,250.0,-1.1175870895385742e-09,-0.001805136715847766,15.968712657690048,0.0037536719448780786,25.0,0.2741455078125
134.25,322.05,566,1.7815796472132206,10,102400,0.007908239042308196,0.05530713539661255,252.50000000000023,-6.332993507385254e-09,-0.0010285574884619565,15.968716484308242,0.0034055703509238812,25.0,0.2231689453125
160.5,328.91,565,1.7790069475769996,11,112640,0.009713508632285085,0.05385143021297697,427.5000000000002,-2.9802322387695314e-09,-0.0018991554999956862,15.968717187643051,0.002840164024473779,0.0,0.2203369140625
175.0,329.53,562,1.7803669825196267,12,122880,0.007688042701192899,0.05255206344333443,450.0,-4.8428773880004884e-09,-0.0015222418933262816,15.968717408180236,0.0026484393606324374,25.0,0.1987060546875
167.25,330.64,560,1.7763372741639614,13,133120,0.008598487574613501,0.05476399426729772,382.5000000000007,-7.82310962677002e-09,-0.0017508782006188995,15.968715435266494,0.0033882264034957644,25.0,0.2322509765625
165.75,335.03,559,1.7692142210900783,14,143360,0.011112676191260107,0.05336177845273028,325.0,-1.2665987014770507e-08,-0.0013618555996799842,15.968717843294144,0.002877106427217768,25.0,0.2133544921875
162.25,332.96,556,1.7827358715236188,15,153600,0.009103400156163843,0.05368026757985887,325.0,-1.080334186553955e-08,-0.0016190533016924747,15.96871793270111,0.0030086104872225406,25.0,0.2291748046875
