fps,epoch_idx,P01:episode_rewards,PMM:episode_rewards,frames,policy_entropy,policy_loss,advantage_norm,value_loss,grad_norm,P09:episode_rewards,episode_length,explained_variance
359,1,0.0,1.205128205128205,8000,1.3083870691806079,-0.013104279981635046,2.093284336477518,0.05918767455208581,2.2682079036959566,2.200000000000003,175.02564102564102,-0.8284283137321472
180,2,0.0,1.2613636363636365,16000,1.363738100528717,-0.002196151477401145,1.2377383359521628,0.01451725185273972,0.2950362154290183,3.0,177.7840909090909,-0.11193390846252442
212,3,0.0,1.51,24000,1.3723274707794189,0.0003647211162024178,1.3151005437225103,0.014904982645784912,0.28226965659008646,4.0,187.82,0.019079015851020814
235,4,0.0,1.56,32000,1.3298909056186676,0.002539674558211118,1.2560527547448874,0.014258295046383864,0.2888139195901968,4.0,184.28,0.007389346957206726
250,5,0.0,1.29,40000,1.374979226589203,0.0034630567743442952,1.032791733890772,0.01076866389499628,0.23824817523974487,3.0,172.4,0.030406822562217713
262,6,0.0,1.13,48000,1.3769105339050294,0.000889473852057563,1.1468472835421561,0.011541281810350483,0.23648540388587494,2.1000000000000085,171.58,0.14986924707889557
271,7,0.0,1.2,56000,1.370581991672516,0.005341661828570068,1.4784014515578747,0.01940610622128588,0.5192520822045232,3.0,174.12,0.27165386855602264
279,8,0.0,1.35,64000,1.3690660881996155,-0.0018789065547753126,1.0921791446208955,0.009781877978093689,0.27411761699925713,4.0,177.71,0.3307486861944199
285,9,0.0,1.27,72000,1.3683328604698182,-0.0026590791901253395,1.2035891243815422,0.011305032749660313,0.3188740132360031,4.0,177.12,0.5867088305950164
290,10,0.0,1.46,80000,1.3479840672016143,-0.004959017647925066,1.3752922713756561,0.014800282688229345,0.4303631007550134,4.0,185.03,0.7290779966115951
295,11,0.0,1.83,88000,1.3497514879703523,-0.006705869824509136,1.4817078769207002,0.015937244601082055,0.5183009804864906,5.0,196.12,0.7690875470638275
299,12,0.0,2.29,96000,1.3256701374053954,-0.0031051372236106543,1.4208360415697099,0.014387316494248807,0.40941474318816895,6.1000000000000085,213.88,0.8221567916870117
302,13,0.0,2.36,104000,1.2983701777458192,-0.0010736033628927543,1.1158488962054252,0.009073437227634713,0.3172720959356087,7.1000000000000085,214.12,0.8658481127023697
306,14,0.0,2.38,112000,1.3235368305444717,0.0003197188064223155,1.16177767932415,0.012534318295074627,0.42667671846518745,8.100000000000009,212.76,0.8416671395301819
308,15,0.0,2.65,120000,1.335628064274788,0.0025199502788018436,1.1960063114762307,0.01138550222851336,0.4256572748297166,9.0,222.19,0.8780926650762558
310,16,0.0,2.59,128000,1.3482715284824371,-0.00093318246625131,0.9546829196810722,0.0070055054314434526,0.26870122589623885,8.0,223.1,0.9216781431436538
313,17,0.0,2.13,136000,1.359864376783371,0.0006819109222851693,0.9853362065553665,0.0071758613403653726,0.2772790938107943,5.0,207.02,0.9104917043447495
316,18,0.0,1.72,144000,1.3313563585281372,-0.002621212868252769,0.7960550406575203,0.004493248963844962,0.21924181248205124,5.0,192.92,0.9574807250499725
322,19,0.0,1.76,152000,1.338861371278763,-6.91689903032966e-05,0.842838428914547,0.005799844663997646,0.23088733280198628,5.0,197.88,0.9317015624046325
329,20,0.0,2.17,160000,1.3068505430221558,-0.0026745823549572376,0.9632108497619629,0.006947734782006592,0.2623791077655905,6.0,209.62,0.9174767899513244
335,21,0.0,2.51,168000,1.3265335047245026,-0.0008753092103870586,0.9487764006853103,0.007136551371659152,0.24124229325035088,8.100000000000009,221.15,0.9246781349182129
341,22,0.0,3.03,176000,1.349196456670761,-0.0007142144424142316,0.9135642147064209,0.0065577120508532975,0.23694758371001223,9.0,238.17,0.9367683279514313
346,23,0.0,2.44,184000,1.3369647586345672,-0.0012119726057426305,0.7527867667376995,0.005038562756672036,0.19661487579410036,7.0,219.69,0.9569258999824524
352,24,0.0,2.14,192000,1.3212364435195922,-0.0004249363957933383,0.6961509430408478,0.003748669956403319,0.1927452446176774,6.1000000000000085,206.02,0.9649113202095032
357,25,0.0,2.31,200000,1.3648823094367981,-0.00041336165770189837,0.8060956028103828,0.004778495259524789,0.19952483768190113,8.0,211.57,0.9357231605052948
362,26,0.0,1.94,208000,1.3536090636253357,-0.0011714887473499402,0.6165346154570579,0.0030112642256426626,0.15366428053048645,6.0,203.89,0.9721960741281509
365,27,0.0,1.72,216000,1.3468997311592101,-0.0007141476001925185,0.6475593230128288,0.003381458052317612,0.16243925299321887,5.0,195.92,0.9654774123430252
365,28,0.0,1.84,224000,1.3409433257579804,-0.0004294449080043705,0.5415362966060638,0.002413478695380036,0.13411535548812947,5.0,199.69,0.9805798488855362
365,29,0.0,2.22,232000,1.3540957498550414,-0.0014984683082730043,0.6285194766521454,0.0030736318134586328,0.15151101627048988,5.1000000000000085,209.8,0.9705592614412307
367,30,0.0,2.29,240000,1.3513474619388581,-0.00010099777457071468,0.6043397650122643,0.0031279723497573287,0.16289048496742922,5.1000000000000085,213.7,0.9690073764324189
368,31,0.0,2.15,248000,1.3532216846942902,0.0001609295333037153,0.6916574753820897,0.003864590999437496,0.17837998425083706,5.0,209.21,0.970062660574913
368,32,0.0,1.99,256000,1.3604094612598419,-0.0014127794117666781,0.6972216111421585,0.004193006419518497,0.1782585174921253,5.0,204.94,0.9581113934516907
362,33,0.0,1.78,264000,1.3602559077739715,-0.0017785843106685206,0.7428139725327492,0.004480418507591821,0.1947238089181097,5.0,197.97,0.9513967424631119
