policy_gradient_loss,advantage_norm,policy_entropy,policy_loss,P09:episode_rewards,episode_length,grad_norm,avg_q_selected,epoch_idx,policy_gradient_bias_correction,rollout_prob_std,PMM:episode_rewards,fps,model_prob_std,P01:episode_rewards,explained_variance,avg_q_retraced,q_loss,frames
-0.00010613673791037097,0.11236413220564524,1.952014954884847,-0.00010613673791037097,0.0,0,0.07487475438094308,0.016309509892016648,1,0.0,0.07611542555193106,0.0,458,0.07611542505522569,0.0,-19.816923650105796,0.017143432808613093,0.0014619498212899392,7200
0.000417874015687091,0.17280141512552896,0.6100102152145458,0.0004178740152020272,0.0,0,0.06323816619131649,0.013304981945839244,2,3.0309899916892516e-12,0.2422677864631017,0.0,624,0.2422677849729856,0.0,-7.178684268395106,0.012863165491338199,0.0007549443048143682,14400
-0.0005529416490431705,0.1330497701962789,1.3601402411960104,-0.0005529416490431705,0.0,0,0.035720163403879554,0.025218194676563145,3,-1.1827489942300983e-13,0.17001410722732543,0.0,626,0.17001410524050395,0.0,-6.839294650157293,0.024718945442388455,0.0003783362567143437,21600
-0.0003930337989004329,0.09536830658713977,1.907468350728353,-0.0003930337989004329,0.0,0,0.018898987756674906,0.03216950831313928,4,0.0,0.08441571754713853,0.0,672,0.08441571618119875,0.0,-7.6929195086161295,0.03170383640875419,0.00020152108312079993,28800
-0.0005553011925636989,0.06503837692240874,1.7251285910606384,-0.0005553011925636989,0.0,0,0.019668075662242202,0.02883897761348635,5,0.0,0.11818297430872918,0.0,718,0.11818297443290551,0.0,-11.506694376468658,0.028464379852327207,9.952198670362122e-05,36000
-0.0002078562600161149,0.06369802119831244,2.11779670715332,-0.0002078562600161149,0.0,3324.1666666666665,0.010928970832417147,0.010309226841976245,6,0.0,0.04461445262034734,0.0,676,0.04461445286870003,0.0,-9.554044739405315,0.010161457078841826,8.114674286237762e-05,43200
-0.00016525704486411997,0.0443891441449523,1.9148553709189098,-0.00016525704486411997,0.0,3324.1666666666665,0.00922273586520068,0.015149157059689363,7,-9.732422477879791e-14,0.07672743971149126,0.0,654,0.07672743983566761,0.0,-6.489724254608154,0.015009620195875565,5.0961687702510974e-05,50400
-0.00025073703175924796,0.0915504245708386,0.8159145973622799,-0.0002507370318805139,0.0,3324.1666666666665,0.011027879459169214,0.03170596381338934,8,-1.9282904784495162e-13,0.2246206392844518,0.0,637,0.22462063704927762,0.0,-2.3765025436878204,0.03144040823293229,4.411116976067812e-05,57600
-0.00018479455411579693,0.04965759677191575,2.0745866894721985,-0.00018479455411579693,0.0,3324.1666666666665,0.007143481870502869,0.008287380814241867,9,0.0,0.054885323718190195,0.0,618,0.05488532359401385,0.0,-5.811926118532816,0.008271206504044433,5.290006156428717e-05,64800
-7.121489222754463e-05,0.0385708315918843,2.0254261612892153,-7.121489222754463e-05,0.0,3324.1666666666665,0.0060906945294998144,0.0054002189640110975,10,0.0,0.06891590716938177,0.0,541,0.06891590630014738,0.0,-5.929165482521057,0.0053500662586884575,3.1081732049642594e-05,72000
-6.203230689910318e-05,0.05736334373553594,2.0959739883740744,-6.203230689910318e-05,0.0,3324.1666666666665,0.007633535886501579,0.0001355554627176995,11,0.0,0.04990322304268678,0.0,523,0.04990322440862656,0.0,-5.423558020591736,0.00010842436277016531,5.141816351776166e-05,79200
-8.759093436007485e-05,0.029563233939309916,2.13748185634613,-8.759093436007485e-05,0.0,3324.0,0.004879791903620534,0.004578500826028176,12,0.0,0.03856764559944471,0.0,520,0.03856764559944471,0.0,-13.70373576482137,0.0045005042241731035,3.017397060223933e-05,86400
-0.00011608580333207404,0.060221451955537,0.9043080882479747,-0.00011608580381713788,0.0,3324.0,0.007797737850293767,0.020326627783166865,13,-2.1653741244833413e-13,0.20595127095778784,0.0,519,0.2059512699022889,0.0,-4.338398240009943,0.02035424451654156,3.1533480857130296e-05,93600
-0.0001501176454932344,0.04129846394062042,1.6581387970596553,-0.0001501176454932344,0.0,3324.0,0.004384966707767568,0.009385434250968197,14,9.49316313744135e-16,0.11219118920465311,0.0,518,0.11219118870794773,0.0,-6.903831428289413,0.009386375352429846,2.1036875447559094e-05,100800
1.4113800974276576e-05,0.04697516237696012,2.1482146342595416,1.4113800974276576e-05,0.0,3324.0,0.005327271802458319,-0.00014152749645290896,15,0.0,0.03335664048790932,0.0,516,0.03335664054999749,0.0,-6.094062399864197,-0.0002725810353391959,3.8998733756064516e-05,108000
-3.5998587638156705e-05,0.022987797980507214,2.098142425219218,-3.5998587638156705e-05,0.0,3324.0,0.002680466456261702,0.001171074427353839,16,0.0,0.05110311104605595,0.0,516,0.051103111418584986,0.0,-4.268450331687927,0.0011838065130480877,1.1809821201798816e-05,115200
4.5057890641900855e-06,0.046904878982579314,2.0781457216351753,-0.0004863496750938194,0.0,3324.1111111111113,0.07231877578004603,0.004074331007373869,17,-0.0004908554675854917,0.059094206245675206,0.0,507,0.04492027460242665,0.0,-18.64153488659906,0.005301732025427987,0.001862340851917322,122400
-0.0004968397521230464,0.10647598585710126,1.2798623630546884,-0.0009444344454615409,0.0,3324.1111111111113,0.07733110731544848,0.1307206016949442,18,-0.0004475946951404578,0.14688410976566574,0.0,489,0.1854302799971725,0.0,-0.8634509058982606,0.1314386680881892,0.002035929468387304,129600
-0.0003118332995603223,0.0703608885873109,1.070841651112012,-0.0005888975886335095,0.0,3324.1111111111113,0.05010937935498276,0.1100772462098948,19,-0.00027706429744339916,0.17471376469151842,0.0,473,0.20947869419046336,0.0,-4.86956944503718,0.10837302290568394,0.0003403574256408897,136800
-2.6447262963423263e-05,0.04669463223511619,1.1359274172499065,5.581176938773882e-05,0.0,3324.1111111111113,0.010814791288401852,0.019454782805202294,20,8.225903150758545e-05,0.14951051517966246,0.0,464,0.20093376632129392,0.0,0.5511344824967878,0.019269347443903188,5.9763050193584014e-05,144000
-6.13879780694624e-05,0.05159061116160254,0.9048964628577233,2.4696716111724937e-05,0.0,3324.1111111111113,0.01305482623006735,0.0170952345989094,21,8.608469450665082e-05,0.15966345370106555,0.0,454,0.22832401876510294,0.0,0.19884999792648372,0.01751758384241146,6.305913955835812e-05,151200
-0.00025396151212664646,0.054426201025994804,0.9485200907826107,-0.00029280886087351053,0.0,3324.1111111111113,0.027251397680216595,0.04762418329518624,22,-3.884735131186001e-05,0.15841987945435065,0.0,447,0.21719107184697078,0.0,-3.9498477042013063,0.04846570419793131,0.0002451874472658154,158400
-0.00022761674342542778,0.054323874475997076,0.6271651410062391,-0.00026042740570433886,0.0,3323.8541666666665,0.010442884731237433,0.052928183112936754,23,-3.2810661722233655e-05,0.18460971437337279,0.0,441,0.25496065187692185,0.0,0.007390718257817127,0.052824329646405495,3.390472133054757e-05,165600
-9.950579958254165e-05,0.05797363508980544,0.4301519782181888,-0.00011411600048631954,0.0,3323.8541666666665,0.012269327319255863,0.05337535108794414,24,-1.4610201303674832e-05,0.1879820382133836,0.0,435,0.27747741660428427,0.0,0.024632251686046984,0.05258437208225212,5.997647650302959e-05,172800
-3.958330129411558e-05,0.05033208068529214,0.47617817280035496,-2.1266616292748987e-05,0.0,3323.8541666666665,0.005513087416249462,0.008915864491710735,25,1.8316685150577304e-05,0.19325933183173813,0.0,431,0.27421919082759555,0.0,0.0929482085679574,0.008767761990701532,2.0767785740293308e-05,180000
-1.5011007021892888e-05,0.050489726421304996,0.9330809771320806,-2.9240897193058448e-05,0.0,3323.8541666666665,0.013152541523745159,0.006040538157740422,26,-1.422988882989312e-05,0.1814629260831015,0.0,426,0.22799150170531696,0.0,-1.129599007785951,0.006593101806858285,3.841422138624472e-05,187200
-0.00019919112133314366,0.057520425988535046,0.7135282979371986,-0.0004960194573885753,0.0,3323.8541666666665,0.01570566393549986,0.04401176514519806,27,-0.0002968283321107079,0.18867131419635738,0.0,420,0.2513471149164375,0.0,-2.306450392570474,0.04389516458954435,0.00010458248079679772,194400
-0.000273563547847303,0.07304386025378432,0.589942154514766,-0.00047561561077747117,0.0,3324.2,0.03365986331136329,0.06004657574707554,28,-0.00020205206533339672,0.19335826700957362,0.0,417,0.2586205271730032,0.0,-2.773170077374215,0.060470304741282704,0.0003317737317020904,201600
-0.00010994342121501143,0.0741386077966955,0.3079554537308717,-0.000244243593990337,0.0,3324.2,0.016945520414177073,0.030176564897841738,29,-0.0001343001716890825,0.21327530658976349,0.0,414,0.28811652354344175,0.0,0.5582723870873452,0.02993375892562283,9.915300209770439e-05,208800
-0.00011549565617965947,0.07582944800732312,0.16897528792762556,-0.00022923414231592227,0.0,3324.2,0.02150269506889616,0.05334377955408103,30,-0.00011373848632824131,0.2275212993348638,0.0,412,0.3001133573276025,0.0,0.5306128036999513,0.05393862437583349,0.00020678834715925275,216000
-9.587436290824143e-05,0.08813449903672173,0.24534834227332522,-9.64458357246874e-05,0.0,3324.2,0.016950527053642254,0.0565136478969916,31,-5.714717866900082e-07,0.21812227769897727,0.0,408,0.29337425485411023,0.0,0.6453291611302466,0.056277839772220915,0.00010428766906871624,223200
-0.00010059520183544705,0.07864365574356819,0.14488879609823463,-0.00011199996910167759,0.0,3324.2,0.010897586123917896,0.06336330233821794,32,-1.1404766276606849e-05,0.22502869007074172,0.0,407,0.30496340149806606,0.0,0.09018827837374475,0.06231803971453614,7.344261048268935e-05,230400
-6.20685749923824e-06,0.07465524932487852,0.09210761734003586,-1.5673469399878678e-05,0.0,3324.2,0.00663480373602454,0.008173820661766166,33,-9.466612373836568e-06,0.22006658323050016,0.0,403,0.309435489591625,0.0,0.5243003648141072,0.008005873965513376,4.637158416185699e-05,237600
