PMM:episode_rewards,episode_length,frames,explained_variance,clip_fraction,grad_norm,fps,P09:episode_rewards,policy_entropy,P01:episode_rewards,advantage_norm,epoch_idx,value_loss,approx_kl_divergence,policy_loss
130.6451612903226,315.7741935483871,10240,-18.570407934859396,0.5349853515625,3879329.0134395706,435,225.0,1.0272324169353655,25.0,15.968714535236359,1,1440607.8183742964,5043.586598705095,0.081486956783192
177.04918032786884,329.672131147541,20480,6.7055225372314455e-09,0.2132568359375,0.07682563939336731,333,425.0,1.7576482854783535,25.0,15.96871775984764,2,0.01055414914189896,0.002878323508161884,-0.0012944639136549085
166.57608695652175,331.3369565217391,30720,8.568167686462402e-09,0.230859375,0.054484629519978234,377,347.5000000000001,1.7788948841392993,50.0,15.968717741966248,3,0.007979539247571665,0.003130980114224258,-0.0014138841772364686
178.75,338.78,40960,-3.725290298461914e-09,0.2638671875,0.05545260952269736,398,425.0,1.762047679722309,50.0,15.96871588230133,4,0.009206723376772174,0.003426581293825848,-0.002298304424220987
164.0,336.98,51200,2.570450305938721e-08,0.2549560546875,0.05153769065617343,417,330.0000000000004,1.771871390938759,25.0,15.968715941905975,5,0.007165840238064903,0.003837320468039707,-0.0017322080697340426
156.0,335.07,61440,-3.7252902984619143e-10,0.20615234375,0.0504990706024759,433,380.00000000000045,1.7476368106901645,25.0,15.968715965747833,6,0.0072245697105017825,0.003008366113397187,-0.0014461451912211488
142.0,323.82,71680,-3.7252902984619143e-10,0.24794921875,0.05004094074381059,444,425.0,1.7673461191356181,0.0,15.96871640086174,7,0.005858462515197971,0.0036954969652924774,-0.0012400874315062539
144.5,323.35,81920,1.825392246246338e-08,0.2806396484375,0.05426582533581235,449,425.0,1.7658681258559228,0.0,15.968717730045318,8,0.009363647134978236,0.0037280274540194116,-0.0018331616098294034
144.75,323.3,92160,-7.82310962677002e-09,0.2617431640625,0.05321865781249624,455,377.5000000000002,1.782776776701212,0.0,15.968716770410538,9,0.006989982736945422,0.0032560465692199614,-0.0017899369515362196
140.0,327.54,102400,-4.097819328308106e-09,0.244140625,0.05278069014186319,462,300.0,1.778827704489231,22.500000000000007,15.968717163801193,10,0.006995324030572192,0.003508759592023125,-0.0011378330542356706
140.5,331.06,112640,0.0,0.20966796875,0.05424869490488422,465,302.5000000000002,1.7812937647104263,25.0,15.96871201992035,11,0.009283083054208418,0.0028124470978696083,-0.0016685195736499737
149.0,330.15,122880,3.7252902984619143e-10,0.2383544921875,0.052511417457842643,471,302.5000000000002,1.7783965080976487,25.0,15.968717753887177,12,0.008184904353583988,0.003319740453639497,-0.0016446894944238011
155.75,331.45,133120,-1.2293457984924316e-08,0.258056640625,0.05270892278067736,473,327.5000000000002,1.7863791525363921,25.0,15.968717497587203,13,0.008057914076334782,0.0036113725230052297,-0.001898938595695654
152.75,327.5,143360,-7.82310962677002e-09,0.2601806640625,0.05372969558885515,475,305.00000000000045,1.7753614962100983,25.0,15.968717592954636,14,0.008066311306993156,0.0034566215219626883,-0.001462404061021516
150.0,329.44,153600,5.960464477539063e-09,0.22294921875,0.05530102911604913,477,325.0,1.7559714242815971,25.0,15.968717992305756,15,0.009910103116271784,0.0030851324872628537,-0.0016287663089315173
156.75,335.86,163840,1.7136335372924803e-08,0.2326416015625,0.05331216153001985,480,325.0,1.7670332342386246,25.0,15.968715208768845,16,0.007737411917673853,0.0031564090942708843,-0.0011966668182139984
155.5,335.79,174080,-2.0116567611694337e-08,0.282470703125,0.05407240501676229,482,325.0,1.775629460811615,25.0,15.968717676401138,17,0.010204334204900078,0.003637693244490947,-0.0022614899557083846
174.75,337.78,184320,8.195638656616212e-09,0.2124267578125,0.05508012559853707,487,302.5000000000002,1.7682841911911964,25.0,15.968717676401138,18,0.010632299563621928,0.0025939447383848345,-0.0014412560856726486
170.25,339.72,194560,-3.7252902984619143e-10,0.234130859375,0.05069069688645309,489,302.5000000000002,1.7773651957511902,25.0,15.968717670440673,19,0.007624647982083843,0.0027112794862091507,-0.0015591109280649108
187.25,343.66,204800,4.097819328308106e-09,0.23994140625,0.0558992379064749,491,377.5000000000002,1.7785449609160424,50.0,15.968717640638351,20,0.009792246416327543,0.0030613229613777547,-0.0018542025114584248
185.75,345.65,215040,-8.195638656616212e-09,0.2601806640625,0.05328315810252665,494,450.0,1.7724743418395519,25.0,15.968717777729035,21,0.009310964152973611,0.0033144121182743904,-0.0016974307131022216
158.25,334.35,225280,4.470348358154297e-09,0.2639404296875,0.05107466753585492,495,302.5000000000002,1.7731630630791186,25.0,15.9687165081501,22,0.007064850625943109,0.0036373531957281102,-0.0018810105550073786
163.5,331.49,235520,4.097819328308106e-09,0.23662109375,0.05470034335648403,497,360.0000000000009,1.7716902419924736,22.500000000000007,15.968717610836029,23,0.009423321398207918,0.0031307584041542214,-0.0019799805944785477
150.5,326.29,245760,-1.3783574104309083e-08,0.2614990234375,0.05267773107284218,497,335.00000000000085,1.7736071996390819,0.0,15.968717312812805,24,0.00806799549700372,0.0034868025023911285,-0.0018176236168073955
181.5,341.25,256000,-1.7508864402770997e-08,0.210888671875,0.053161836495761894,498,452.50000000000017,1.776398178189993,25.0,15.968717694282532,25,0.00916441565968853,0.0027298308157469365,-0.0012696345511358231
