frames,policy_loss,epoch_idx,P09:episode_rewards,value_loss,advantage_norm,P01:episode_rewards,fps,episode_length,explained_variance,policy_entropy,PMM:episode_rewards,grad_norm
8000,-0.020502190981060268,1,2.1000000000000014,0.37952213003838553,2.6127581145614385,0.0,312,171.65,-1.0000514245033265,1.3237311297655106,1.125,6.756362255744214
16000,0.0034667226753663273,2,4.0,0.017618917247309584,1.4599467767775058,0.0,216,186.20731707317074,0.07391098201274872,1.365681666135788,1.5731707317073171,0.3676996755517742
24000,0.0005605504720006138,3,5.0,0.02369824566820171,1.6984118765592575,0.0,234,201.27,0.15188629269599915,1.348493332862854,1.94,0.5133476846592722
32000,-0.0032422270069946534,4,5.0,0.017159898749669084,1.4266605558991432,0.0,248,213.21,0.21329194486141204,1.3623589169979096,2.21,0.5015500708494244
40000,-0.0013613574886403512,5,5.0,0.013236898820032365,1.32234294205904,0.0,256,201.56,0.6237646627426148,1.3722859513759613,1.92,0.410624819487201
48000,-0.0100326175041846,6,4.0,0.021562494260724634,1.6477920055389403,0.0,263,191.68,0.670539767742157,1.3662458336353303,1.62,0.6337487936507009
56000,-0.004190128900954732,7,5.1000000000000085,0.018238859260454775,1.6042429095506667,0.0,268,212.64,0.704210923910141,1.330632973909378,2.29,0.4957726851322242
64000,-0.004973953349399381,8,6.200000000000017,0.011833016735035926,1.281726899445057,0.0,270,216.91,0.7996976381540298,1.3531021332740785,2.39,0.43313396529916354
72000,-0.0022094534465577453,9,8.0,0.02019718813477084,1.5030487090349198,0.0,273,217.13,0.7581942147016525,1.3568743526935578,2.42,0.5582385371071055
80000,-0.0013862182162120006,10,6.200000000000017,0.010931099074659868,1.2311139994859694,0.0,274,216.57,0.8538474726676941,1.3567847144603729,2.38,0.3772423924320666
88000,-0.005672139346715994,11,8.100000000000009,0.01174370025168173,1.1602033668756484,0.0,275,226.7,0.8753152585029602,1.3365556931495666,2.63,0.4674766065348792
96000,-0.001014204259336111,12,5.0,0.005289341677562334,0.8826077038049698,0.0,277,205.96,0.9229708522558212,1.3329385352134704,1.98,0.267082378020101
104000,-0.001594522499362938,13,5.0,0.004834753959439695,0.8351429754495621,0.0,278,194.05,0.9547437953948975,1.3282788252830506,1.71,0.2689447486789574
112000,-0.002559250966878608,14,5.0,0.012449695675168187,1.1060882583260536,0.0,281,196.72,0.8742041486501694,1.3329150402545928,1.85,0.4524813332989019
120000,-0.002245501718716696,15,5.0,0.004608020208834205,0.7855715009570122,0.0,282,197.21,0.9559283369779586,1.3349074625968933,1.8,0.25575762696111004
128000,-0.0013195735207409598,16,5.0,0.005507538205711171,0.8577724814414978,0.0,282,209.79,0.9523387402296066,1.3414492106437683,2.15,0.27178536587320967
136000,-0.0011935323963552947,17,5.0,0.004222783158184029,0.7648550760746002,0.0,282,209.74,0.9605259531736374,1.321137286424637,2.11,0.23092695190587076
144000,-0.0013362960997619665,18,6.0,0.007780918284552172,1.0148060193657875,0.0,283,220.46,0.901349036693573,1.3292535388469695,2.42,0.30202610232397065
152000,-0.000833597506048136,19,6.0,0.00566145037941169,0.8856526869535446,0.0,284,216.26,0.9462934952974319,1.3189981770515442,2.35,0.2512583732441773
160000,-0.0005662750272313133,20,5.0,0.0023626568634063008,0.573764400035143,0.0,284,205.12,0.9751665341854096,1.3231004440784455,2.01,0.1655684615663224
168000,-0.0011134020710596815,21,5.1000000000000085,0.004299477870226838,0.7560918459296226,0.0,285,214.33,0.9564272779226303,1.3332705771923066,2.28,0.21614671810556121
