fps,value_loss,grad_norm,explained_variance,epoch_idx,P09:episode_rewards,episode_length,frames,policy_loss,PMM:episode_rewards,advantage_norm,policy_entropy,P01:episode_rewards
546,1.5161060106358082,33.524350410731174,-2.9698627454042437,1,2.8999999999999986,166.23809523809524,8000,-0.017564854128286244,1.0238095238095237,4.3810025573149325,1.3208361357916147,0.0
351,0.00805360282739457,0.14606842994977648,-2.153563585281372,2,4.0,191.03703703703704,16000,0.0001608348620356992,1.6049382716049383,0.9743626435473561,1.3846248996257782,0.0
415,0.0057949966207797845,0.1164023762425851,-4.803058407902718,3,4.0,196.07,24000,-0.001115551700204378,1.73,0.7370319129154086,1.3836787855625152,0.0
465,0.006814413340105147,0.09934383676577281,-1.9485941189527511,4,4.0,189.52,32000,0.0007020791442482732,1.63,0.8510511534661055,1.3833748400211334,0.0
503,0.006481733470022846,0.11063833152185776,-6.682688153386116,5,5.0,192.24,40000,0.001757869776338339,1.75,0.7930953699536621,1.3843389797210692,0.0
531,0.005626884099197014,0.0949283324353742,-4.875892309546471,6,5.0,193.6,48000,0.00019990131822851255,1.72,0.6960935268178582,1.3819133591651918,0.0
554,0.004999926321020211,0.07632282043946872,-1.7925796186923981,7,3.0,182.64,56000,-0.001124313364707632,1.39,0.661459603626281,1.3833576655387878,0.0
573,0.0050941236814901454,0.0891472297602673,-4.175767709612846,8,3.0,180.2,64000,-0.0005551362870755838,1.29,0.6541309357248246,1.3825635457038878,0.0
593,0.005096152195711738,0.07938622743226915,-4.94313018143177,9,3.0,171.01,72000,0.0005080130415990424,1.07,0.6515540739521384,1.385423299074173,0.0
609,0.005155650510891974,0.07620847566552355,-1.3536660432815553,10,3.0,174.33,80000,0.0007045235946497996,1.15,0.6935637175478041,1.3858788788318634,0.0
623,0.005291480010723717,0.0783122079597705,-1.294547261595726,11,3.0,181.02,88000,0.00045838841469958425,1.36,0.690063848104328,1.384567869901657,0.0
637,0.005558677737653852,0.080119571897947,-1.8227095890045166,12,3.0,173.91,96000,-0.0007660492206923664,1.24,0.6951712326146662,1.3849925792217255,0.0
646,0.0051795742233753115,0.07421144029281293,-0.8510175371170043,13,3.0,173.15,104000,-9.234439843567089e-05,1.21,0.7089686407148839,1.3841253340244293,0.0
655,0.005855852921781661,0.08274949109392672,-2.899229009747505,14,3.0,181.21,112000,-0.0007820079717203043,1.36,0.7361668298020959,1.3799418222904205,0.0
663,0.0060265690641222135,0.06949500468806029,-0.9310108989477157,15,3.1000000000000085,182.69,120000,0.0018864096382458229,1.36,0.7366342305578292,1.3834857296943666,0.0
670,0.005683195265792165,0.06286958583241344,-0.8134666591882705,16,4.0,183.84,128000,-0.0005192162154708058,1.39,0.7541658960282802,1.3852851581573487,0.0
673,0.00453465746128245,0.05563434094858954,-2.8577720338106154,17,3.1000000000000085,178.45,136000,-5.3510206998907965e-06,1.28,0.5930242605786771,1.3852812373638153,0.0
678,0.0061263390076692304,0.06461827498602139,-0.9479074203968048,18,3.1000000000000085,177.72,144000,0.0017378299753181637,1.24,0.7563019066676497,1.3858099448680878,0.0
681,0.005504381941382235,0.05427766779175234,-0.8660403704643249,19,3.0,186.0,152000,-0.0006716365594184026,1.46,0.6940262188017369,1.384990291595459,0.0
687,0.005979804025555495,0.05690750337526297,-0.858246945142746,20,3.1000000000000085,191.79,160000,-0.00017514445818960666,1.62,0.7482871481776238,1.385458527803421,0.0
691,0.005326868946131071,0.05648196230476633,-0.7188891106843949,21,3.0,181.93,168000,0.00013841703737853096,1.34,0.6913697510585188,1.3855790936946868,0.0
695,0.00579750232731385,0.059203349081279465,-0.9522706210613251,22,3.0,179.97,176000,-0.00020748367707710714,1.31,0.700548928566277,1.385848854780197,0.0
