episode_length,advantage_norm,PMM:episode_rewards,epoch_idx,fps,explained_variance,value_loss,clip_fraction,policy_entropy,P09:episode_rewards,frames,grad_norm,approx_kl_divergence,P01:episode_rewards,policy_loss
349.38461538461536,15.968717896938324,215.3846153846154,1,416,-2.0497558169066905,4149447.7882992565,0.5743896484375,1.2939336419804022,275.0,10240,9126754.530154198,2059.737701428464,137.5,0.051824394415507416
362.375,15.968717783689499,241.96428571428572,2,338,-1.0058283805847169e-08,0.011904121273255441,0.261962890625,1.766300619393587,450.0,20480,0.06196683470987724,0.0033501051244002157,112.5,-0.0013014496995310764
350.4767441860465,15.968717527389526,213.08139534883722,3,384,7.450580596923829e-10,0.008405065811393797,0.174267578125,1.7841882698237896,437.5,30720,0.05243292611113959,0.002437667720892023,75.0,-0.0011363897079718298
348.33,15.968717914819717,201.75,4,408,-1.1175870895385742e-08,0.008264996403340774,0.246533203125,1.7815379194915295,475.0,40960,0.05458509831119551,0.0032922408703143446,50.0,-0.001645156341328402
330.15,15.968717139959335,151.5,5,429,-5.960464477539063e-09,0.006798316232902835,0.2529296875,1.7793437190353871,352.5000000000002,51200,0.05193884648215624,0.0034943372223267487,25.0,-0.0019485046883346512
326.85,15.968717741966248,142.75,6,447,1.2293457984924316e-08,0.006904106172078173,0.256982421875,1.7794408723711967,327.5000000000002,61440,0.050485197580196574,0.003381895915890709,22.500000000000007,-0.002052477440156508
324.16,15.968717730045318,137.75,7,458,-1.2665987014770507e-08,0.009771499528142158,0.2205810546875,1.7720058418810367,277.5000000000002,71680,0.054301561229670926,0.0029650251710449994,25.0,-0.001233583057182841
334.36,15.968717843294144,163.5,8,465,-1.0058283805847169e-08,0.009033499902761833,0.270751953125,1.7748537212610245,402.5000000000002,81920,0.054603286784903136,0.0032538883698748577,25.0,-0.001669186965955305
336.56,15.968717539310456,169.25,9,470,-2.2351741790771484e-09,0.008210976372265578,0.2513427734375,1.7797572016716003,332.5000000000006,92160,0.05418363512992915,0.003963067525955921,25.0,-0.0018676033403608016
338.37,15.968716877698899,168.0,10,476,-2.9802322387695314e-09,0.00776451424677802,0.240673828125,1.7817381612956524,310.00000000000085,102400,0.052761016178668595,0.00320590622261534,25.0,-0.0015444694232428446
329.07,15.968716186285018,138.25,11,480,-2.9802322387695314e-09,0.007883919599180444,0.2623779296875,1.779482051730156,252.50000000000023,112640,0.05465692915428465,0.0034519613603492872,25.0,-0.001908740792350727
326.53,15.968717652559281,131.75,12,481,8.940696716308593e-09,0.006839228305580036,0.244287109375,1.7719804033637048,250.0,122880,0.05304792176126623,0.0035963555775254006,25.0,-0.001400157160605886
321.14,15.96871782541275,129.25,13,481,1.899898052215576e-08,0.006969550569374405,0.2250244140625,1.7726716533303262,250.0,133120,0.05204212906621523,0.003329998227422948,0.0,-0.0017695964346785332
323.34,15.968717074394226,136.5,14,479,5.960464477539063e-09,0.0071807736679488695,0.24013671875,1.7798107892274857,275.0,143360,0.05300415455007882,0.0036388122761650266,0.0,-0.001595647752401419
324.4,15.96871737241745,142.75,15,482,9.685754776000977e-09,0.008326480489813548,0.2748291015625,1.7828609839081764,335.00000000000085,153600,0.054400320906705414,0.0035660362248449927,25.0,-0.0021446106460643933
329.63,15.96871685385704,148.5,16,484,-1.0430812835693359e-08,0.007373722676538819,0.2332763671875,1.7770275361835957,335.00000000000085,163840,0.05215441900193919,0.0032269765396222283,25.0,-0.001553318630249123
325.5,15.968717259168624,149.5,17,487,-1.4528632164001465e-08,0.00774959699547253,0.26162109375,1.7752120956778525,335.00000000000085,174080,0.05244138469855121,0.0038732594847942893,25.0,-0.00232741490326589
329.81,15.968716204166412,145.25,18,489,-3.725290298461914e-09,0.006759047756304426,0.2548828125,1.7597529582679272,312.5000000000011,184320,0.05248340723604875,0.003273413446640916,25.0,-0.00206983686221065
