grad_norm,P09:episode_rewards,policy_loss,frames,epoch_idx,PMM:episode_rewards,policy_entropy,fps,explained_variance,advantage_norm,episode_length,P01:episode_rewards,value_loss
51.844276367019454,3.0,-0.20786054694130143,8000,1,0.9111111111111111,1.326117796599865,521,-2.4868645054101943,5.458773506209254,164.66666666666666,0.0,3.4899802104587936
0.12333134040545725,3.0,1.3434531065286136e-05,16000,2,1.1333333333333333,1.3850295734405518,314,-3.546912296414375,0.7472382722049952,174.64444444444445,0.0,0.0061099869215786385
0.12439772315848303,3.0,-9.901233148411848e-05,24000,3,1.4,1.384376471042633,353,-3.148643305897713,0.8063140563294291,185.24,0.0,0.006541515353628711
0.1467030706947194,3.0,-0.00032674529516953045,32000,4,1.48,1.3833610379695893,379,-1.8898947727680206,0.7787318260967732,186.86,0.0,0.0062125122075667605
0.11709582646764932,3.0,0.0004925730056129396,40000,5,1.42,1.3816282367706298,394,-2.5530601680278777,0.7298196962103247,183.99,0.0,0.005582694101749439
0.13002125297367267,3.0,-0.0005849020119421766,48000,6,1.29,1.3834012842178345,404,-2.5345898175239565,0.7109982698783278,179.4,0.0,0.005570494930957466
0.1017766581965485,3.0,-0.0005651256027340423,56000,7,1.15,1.384660347700119,409,-2.8020966225862503,0.6093618883937597,173.42,0.0,0.0043841708624540844
0.11341559335235975,3.0,-4.933827382046729e-05,64000,8,1.09,1.3844482266902924,414,-1.5514357423782348,0.779605604968965,171.56,0.0,0.00584059973121839
0.0923571767806539,3.0,0.00031274207960905185,72000,9,1.23,1.383520437479019,418,-2.2255313885211945,0.6709749684855342,178.28,0.0,0.005129600063864928
0.10843509438482105,3.0,0.0013226429725182243,80000,10,1.35,1.3811347568035126,422,-1.7635751777887345,0.7653080693632365,182.4,0.0,0.005753698373318912
0.11152283313038158,3.0,2.0128942123847084e-05,88000,11,1.27,1.3824799513816834,421,-3.071097368597984,0.6418445781990886,178.25,0.0,0.004773663487285375
2.845712640039585,3.0,-0.016738490638090298,96000,12,1.21,1.3762108087539673,424,-2.1486011105775833,1.179568311572075,175.56,0.0,0.07111780530136456
0.11332150158619254,3.0,0.0006960779602377443,104000,13,1.29,1.3834892261028289,427,-2.0647928285598756,0.6719148987159133,178.66,0.0,0.00467470547713674
1.3439642017845186,3.0,-0.005673925366136245,112000,14,1.18,1.37912637591362,428,-1.8195189368724822,1.0031456936895848,173.58,0.0,0.028192438525875333
0.12463012597876742,3.0,8.580609573982656e-07,120000,15,1.29,1.3796996867656708,428,-2.7853472131490706,0.6712721749395132,178.11,0.0,0.004771146090861294
0.10362207400544023,3.0,0.00042928593917167745,128000,16,1.23,1.3823339784145354,429,-2.049240335226059,0.6346795249730348,174.62,0.0,0.003905544094668585
0.12962970425567708,3.0,-0.00010966051384457387,136000,17,1.16,1.3710282242298126,430,-3.133879265189171,0.6969776450097561,171.92,0.0,0.004709638860476844
