PMM:episode_rewards,frames,grad_norm,P01:episode_rewards,P09:episode_rewards,epoch_idx,explained_variance,fps,policy_loss,policy_entropy,value_loss,advantage_norm,episode_length
1.2,8000,1.568727421871366,0.0,3.0,1,-0.29766153752803803,530,-0.03715237236581743,1.3676161670684814,0.08611814571207105,1.6197911332920194,176.075
1.3181818181818181,16000,0.2463896224186665,0.0,3.0,2,-0.09452384173870086,335,0.009361937483772636,1.3778621578216552,0.015468085346183215,1.247520762383938,180.0568181818182
1.38,24000,0.1899243809737835,0.0,3.0,3,-0.01621075510978699,388,-0.0008432178717339412,1.3799106872081757,0.014167887036401226,1.2971489899605513,181.24
1.37,32000,0.25232796058804674,0.0,3.0,4,-0.025537329912185668,408,-0.0002895670048746979,1.3769942891597748,0.015942002186566242,1.3899032744020223,179.84
1.36,40000,0.3965083314985903,0.0,3.0,5,-0.08626062393188477,423,-0.004404117910889909,1.3766767168045044,0.0263651036966985,1.341465809121728,182.09
1.69,48000,0.2618541932116713,0.0,4.0,6,-0.023271798491477966,433,0.004773093652038369,1.374809534549713,0.015963686647628494,1.34754352748394,192.3
1.8,56000,0.22669384244426902,0.0,4.1000000000000085,7,0.10212910115718841,440,0.0029147320063202644,1.3795816040039062,0.013612444549216889,1.2314144164323806,194.63
1.71,64000,0.2943240148435286,0.0,4.1000000000000085,8,0.17848448932170868,445,0.002161193593296957,1.3747586119174957,0.015126851316017565,1.376856505125761,192.87
1.48,72000,0.3344787522774674,0.0,3.1000000000000085,9,0.4547270846366882,450,-0.0009094152077705075,1.3731424915790558,0.011984061777184252,1.2361342260241508,186.02
1.76,80000,0.3096285680996358,0.0,4.0,10,0.6342238730192185,453,-0.0007402299949899316,1.3745096802711487,0.012395272701105568,1.2566988161206245,196.95
1.6,88000,0.3917069166802319,0.0,5.0,11,0.697435257434845,455,-0.004661042205407284,1.371935167312622,0.015079852408380248,1.4110071048140527,190.69
1.3,96000,0.3328867428999837,0.0,4.0,12,0.6687298905849457,459,-0.00446489182242658,1.3769037878513337,0.012760892440419412,1.24835333943367,180.79
1.19,104000,0.37104420139178496,0.0,4.0,13,0.7804914933443069,462,-0.004042097821366042,1.3382353007793426,0.012378769321949222,1.3032508689165114,176.07
1.68,112000,0.36733454349757816,0.0,5.0,14,0.828624477982521,465,-0.0028736711153760554,1.3537622368335724,0.012682260469300672,1.3451692992448807,190.81
