policy_loss,grad_norm,advantage_norm,epoch_idx,P01:episode_rewards,value_loss,frames,policy_entropy,PMM:episode_rewards,fps,explained_variance,episode_length,P09:episode_rewards
0.005127498855581507,5.075669298740935,2.3491396835818885,1,0.0,0.3305473186805284,8000,1.3564658331871033,1.3902439024390243,320,-0.6808630788326263,182.2439024390244,4.0
0.004617882198363077,0.22390832920822562,1.2735936904326082,2,0.0,0.015350109836344928,16000,1.3734478628635407,1.2906976744186047,161,-0.014533507227897645,179.2093023255814,3.0
-0.00018990964104887098,0.21763769988369705,1.2472108132392168,3,0.0,0.014345569716788305,24000,1.374645985364914,1.38,186,-0.00777139663696289,181.13,3.0
0.001335884181316942,0.1641949194934398,0.9711623848043383,4,0.0,0.00997126144999811,32000,1.3807515025138855,1.29,204,-0.013443439602851867,177.55,3.0
0.0034804058040026576,0.22419292731095247,1.210174124278128,5,0.0,0.013976638442018156,40000,1.3843333268165587,1.3,217,-0.012517732977867126,175.8,2.1000000000000085
0.0011714000697247685,0.19611880284946764,1.203105975985527,6,0.0,0.013587459527334431,48000,1.3826497638225554,1.39,228,-0.01195384681224823,179.66,3.0
0.0017259283788735047,0.2304954705676558,1.2373340347036719,7,0.0,0.014114113637670017,56000,1.381193039417267,1.43,236,-0.018845046162605284,182.77,3.1000000000000085
0.0026740941387106434,0.20165242589254442,1.1090397690981626,8,0.0,0.011644663766001031,64000,1.3789850127696992,1.35,242,-0.028077473640441896,180.41,4.0
0.0009704592864727601,0.20200451552087306,1.1609000837802887,9,0.0,0.012919404427957488,72000,1.3756747734546662,1.31,248,-0.0012687039375305176,180.17,4.0
0.0007577254687203094,0.17481684412148465,1.0849395090341567,10,0.0,0.011743325316056144,80000,1.3716233086585998,1.26,252,-0.018639800548553468,177.2,3.0
0.0031049755578715123,0.19922645545721615,1.2376792142540216,11,0.0,0.01401401324867038,88000,1.3731147706508637,1.19,255,-0.031124711632728577,172.99,3.0
