value_loss,policy_loss,episode_length,PMM:episode_rewards,fps,explained_variance,P01:episode_rewards,frames,P09:episode_rewards,policy_entropy,epoch_idx,advantage_norm,grad_norm
0.06746670277163502,0.004787585978629067,169.07142857142858,1.0952380952380953,409,-0.42217791378498076,0.0,8000,2.0,1.3429824405908584,1,1.8447961160168052,2.2144815469348127
0.014759946440535713,0.0039494102564640345,176.09195402298852,1.2873563218390804,212,0.00015794515609741212,0.0,16000,3.0,1.3773463070392609,2,1.276074778661132,0.2598449202338521
0.010893048650104901,-0.0005665747029706835,180.04,1.34,274,-0.005276556015014648,0.0,24000,3.0,1.3751072525978087,3,1.0510112366825342,0.20055391070510187
0.012632568759363494,0.0025802703021327034,176.67,1.18,318,0.007545445561408997,0.0,32000,3.0,1.3650048863887787,4,1.130174302905798,0.2393428215346617
0.011518344581472774,0.0017181737814098597,175.1,1.17,343,0.08165826499462128,0.0,40000,3.0,1.3790277647972107,5,1.0860039587318897,0.21376550830158667
0.01203520802064304,0.00018617825116962194,175.07,1.18,366,0.09942548751831054,0.0,48000,3.0,1.3824569833278657,6,1.1333981442451477,0.20584524342431837
0.018748932763992344,0.0017954270617337898,186.84,1.48,386,0.1767989242076874,0.0,56000,4.0,1.3722392344474792,7,1.4083394707739354,0.36462465473200234
0.012841460291529074,0.0006365850751535618,199.9,1.83,402,0.3318474406003952,0.0,64000,5.0,1.3808192586898804,8,1.2977430164813994,0.2977514539113884
0.01341381092381198,0.001902288009005133,191.59,1.65,415,0.37701280415058136,0.0,72000,4.0,1.3825536012649535,9,1.2972488856315614,0.36743586581708365
0.016655548815033398,-0.009594693027320318,188.97,1.57,427,0.49764729022979737,0.0,80000,4.0,1.3799286544322968,10,1.4620253974199295,0.45881647356071764
0.009773226669931318,-0.0014516867071506568,180.74,1.34,436,0.4689486581087112,0.0,88000,3.0,1.3740832483768464,11,1.1273779684305192,0.2947705542319111
0.012191908279055497,-0.0030524004680046344,168.41,1.08,444,0.3279924213886261,0.0,96000,2.0,1.3468839228153229,12,1.2636158379912377,0.3560127705992753
0.014637857958441601,-0.0046205208101309835,167.34,1.26,450,0.45579837024211883,0.0,104000,3.0,1.3147181046009064,13,1.3717456485331059,0.4402316629855452
0.011227589221962262,-0.002442752817114524,164.62,1.21,455,0.4753556376695633,0.0,112000,3.0,1.3562956631183625,14,1.1703338533639909,0.3636553458191713
0.014728577938512899,0.00027887014672160147,175.3,1.3,460,0.5696631360054016,0.0,120000,3.0,1.3712212753295898,15,1.4000947359204292,0.39636678014759363
0.010983287263079546,-0.001175832949229516,186.82,1.47,465,0.7628038185834884,0.0,128000,3.0,1.372680902481079,16,1.2261276650428772,0.33721305044214167
0.01041207523085177,0.0013570083372724184,179.16,1.28,470,0.7514160221815109,0.0,136000,3.0,1.3745266270637513,17,1.2037379723787307,0.34460067572773667
0.009763763943628873,-0.0034867337267496623,177.92,1.26,473,0.8288950663805008,0.0,144000,4.0,1.347368370294571,18,1.167684861123562,0.3590488538252742
0.009960316707147285,-0.0008937672100728378,195.78,1.7,476,0.8831470340490342,0.0,152000,5.0,1.3539552938938142,19,1.1755194568634033,0.35344015683157226
0.007503474763361737,-0.0015392000158317388,207.82,2.16,480,0.9101839178800583,0.0,160000,6.0,1.3449561619758605,20,1.0271539345383645,0.28516718567756155
0.005817330359714106,-0.0013373535717801132,197.36,1.9,483,0.9441248369216919,0.0,168000,6.0,1.3399198472499847,21,0.8873728713393212,0.26460500614372484
0.011011265297420324,-0.0005722378141945227,204.24,2.02,486,0.8502764421701431,0.0,176000,6.0,1.3512665724754334,22,1.1435901579260825,0.445462408821439
0.006176917374541517,-0.004579784074448981,204.82,1.95,488,0.9310300654172897,0.0,184000,5.0,1.334759120941162,23,0.8649635353684425,0.28660736786552005
0.005371377063565888,0.00044263143849093467,196.78,1.8,491,0.9510817390680313,0.0,192000,5.0,1.3536059153079987,24,0.8504157939553261,0.2315809639156929
0.004703151802823413,-0.0021985054481342557,195.38,1.93,492,0.8871429914236069,0.0,200000,8.0,1.347955802679062,25,0.7701275253295898,0.2135231015894265
0.0027395738591440024,-0.0005820554727688432,189.81,1.72,493,0.9728280407190323,0.0,208000,5.0,1.3342207622528077,26,0.5938698688149452,0.1670907379039949
0.005217950806836597,-0.001421442062710412,183.04,1.42,495,0.9499532443284988,0.0,216000,4.0,1.3514278244972229,27,0.8262153699994087,0.2362698452804032
0.004030299635487609,-1.5855993387958735e-05,193.3,1.76,497,0.9599632370471954,0.0,224000,5.0,1.3518280982971191,28,0.7253980669379234,0.1990140407099081
0.004007432589132804,0.0012307815783424304,199.28,1.9,503,0.9607990944385528,0.0,232000,5.0,1.3585888469219207,29,0.7034167477488518,0.1842914083999834
0.005594413963845,-0.0026703891406941694,194.43,1.73,509,0.9441515266895294,0.0,240000,5.0,1.3633853614330291,30,0.8507910001277924,0.24232225099369958
0.003409915764350444,0.0001931527559645474,199.7,1.87,514,0.9644486904144287,0.0,248000,5.0,1.3588085746765137,31,0.6229395392537117,0.16107684570914785
