#{"t_start": 1544715601.099198, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,38.804357
2.0,222,44.018244
0.0,125,47.574462
1.0,157,69.614142
9.0,399,81.875918
2.0,204,87.589425
0.0,129,91.455489
3.0,217,98.155951
1.0,178,103.841892
4.0,301,113.686717
7.0,417,126.515778
2.0,199,132.958471
0.0,129,136.981011
0.0,129,140.828584
1.0,173,146.449481
1.0,175,151.938569
2.0,183,158.246786
0.0,129,162.249765
1.0,173,168.324955
3.0,270,177.983767
0.0,125,182.229084
1.0,175,188.234035
2.0,200,194.452239
0.0,129,198.611019
1.0,155,203.620843
