epoch_idx,fps,P09:episode_rewards,advantage_norm,value_loss,episode_length,frames,P01:episode_rewards,explained_variance,policy_entropy,policy_loss,PMM:episode_rewards,grad_norm
1,568,2.0,5.117928324881941,1.0112206830877835,161.66666666666666,8000,0.0,-2.9928448456525802,1.3421152496337891,0.14366104307569913,0.8888888888888888,33.66190110796481
2,335,3.0,0.7418195605650544,0.005736990561099446,178.26666666666668,16000,0.0,-5.284301280975342,1.3809235572814942,-0.00022947276367631274,1.3333333333333333,0.09837642264934138
3,376,3.0,0.596783885974437,0.0048806942209898806,181.52,24000,0.0,-10.167054245471954,1.3751334357261658,0.00039470827498007567,1.39,0.0840129658123882
4,396,3.0,0.6940786856040358,0.005542779005779721,173.69,32000,0.0,-4.018968920707703,1.368294768333435,-0.0006840851064771414,1.15,0.10748301422941088
5,412,3.1000000000000085,0.6726426448486745,0.005562266245287901,177.33,40000,0.0,-5.6725009793043135,1.369623873233795,0.0005458803834335413,1.23,0.08381507429391043
6,419,3.0,0.616256231861189,0.004667394888919034,175.59,48000,0.0,-24.30050217449665,1.3822622144222259,0.0009438231833883038,1.18,0.07962761358066721
7,422,2.0,0.5847874063253403,0.004344676460044638,167.64,56000,0.0,-8.557168689966202,1.3856214332580565,-0.0006954178579326254,0.99,0.06808802999619204
8,422,3.0,0.7695474620535969,0.006119523460664595,171.41,64000,0.0,-2.6308493679761886,1.3825012838840485,-0.00011278344332822598,1.08,0.092285249550296
9,425,3.0,0.7462474926467985,0.005947233515491916,181.78,72000,0.0,-2.0307217019796373,1.3806583297252655,0.0006121339052333496,1.33,0.07446926094719102
10,429,3.0,0.7615826121717691,0.0059013500105197635,192.15,80000,0.0,-1.3879093873500823,1.381454039812088,-0.0010495873598847538,1.7,0.08029510105546021
11,427,3.1000000000000085,0.6787787350639701,0.00505642497089866,184.06,88000,0.0,-2.3529662466049195,1.381774674654007,0.00036562081848387604,1.51,0.07976152135471751
12,429,4.0,0.7430099464673549,0.005672409203108373,181.73,96000,0.0,-1.6397152793407441,1.3835227394104004,-0.00033990245559834876,1.38,0.0799566426077046
13,430,3.0,0.6388037022389471,0.004889033450831448,178.62,104000,0.0,-3.827527887225151,1.3849472689628601,0.0007537002046592534,1.3,0.07540234539110029
14,431,3.0,0.660559730026871,0.005239306273178954,176.38,112000,0.0,-1.736072199344635,1.382909961938858,-0.00026752052537631243,1.2,0.0808819831837718
15,431,3.0,0.7002565947920084,0.005409001314460511,184.84,120000,0.0,-2.2440658032894136,1.3826351761817932,0.000509360151772853,1.38,0.08709839173515269
16,432,3.0,0.6884299184381962,0.0051857649138037235,178.31,128000,0.0,-1.891147154569626,1.3848887729644774,3.39666023501195e-05,1.23,0.07192906199906206
17,432,3.0,0.7090457410737873,0.005390746602142826,176.13,136000,0.0,-1.9763971042633057,1.3811983907222747,-6.775655871024355e-05,1.19,0.08106286181405728
18,433,3.0,0.7509925420209765,0.005793227897802353,179.52,144000,0.0,-1.5270007699728012,1.3836824643611907,0.0004889423236454604,1.29,0.08287663841252088
19,434,4.0,0.7777773299440741,0.0060429562338504186,183.43,152000,0.0,-1.865308198928833,1.3856278026103974,-0.00012491324363509193,1.39,0.09476171991166085
20,434,4.0,0.8077371042594313,0.00622823973890263,197.31,160000,0.0,-1.087146031856537,1.3842859804630279,-3.853756265016273e-05,1.74,0.09890688530258736
21,435,4.0,0.6135465481504798,0.004382501398877139,181.22,168000,0.0,-2.2802790945768354,1.3850561726093291,-0.00023754180569085292,1.34,0.08042069360573975
22,435,3.0,0.7547834248654545,0.005762522528523277,175.86,176000,0.0,-2.6518700385093688,1.3844624662399292,0.0008650967064022553,1.2,0.09236033739578087
23,435,3.1000000000000085,0.7265087141096592,0.005261169851619343,191.12,184000,0.0,-1.5787632000446319,1.3844775700569152,-7.487745810067281e-05,1.63,0.08609973626597218
24,435,3.0,0.703679198473692,0.005077871586508991,179.47,192000,0.0,-2.3849549412727358,1.3839473497867585,-0.00011838507372885943,1.35,0.0848691538059495
25,435,4.0,0.6663699721544981,0.004298758208024083,182.34,200000,0.0,-2.1920825254917147,1.3797652626037598,0.00034574080498714463,1.4,0.08864146309891542
26,435,3.0,0.6752170944213867,0.00432499930026097,173.18,208000,0.0,-2.1036700016260146,1.3804599034786225,1.8286090926267206e-06,1.16,0.09394969798084916
