frames,policy_loss,P09:episode_rewards,PMM:episode_rewards,fps,advantage_norm,epoch_idx,explained_variance,value_loss,episode_length,grad_norm,P01:episode_rewards,policy_entropy
8000,0.006932981817808468,4.0,1.3157894736842106,377,1.9143986411765217,1,-2.1655804073810576,0.07373116169750574,179.10526315789474,2.1157391170618642,0.0,1.3209791308641434
16000,0.002424849996168632,4.0,1.2298850574712643,198,1.0747090530022978,2,-0.08077179193496704,0.01223321688073156,178.01149425287358,0.25962172761600877,0.0,1.3279509854316711
24000,0.00233509869518457,3.1000000000000085,1.11,240,1.079275249801576,3,-0.08068408012390137,0.012341293640920412,173.94,0.2864555084849045,0.0,1.3659727573394775
32000,0.004962949865730479,4.0,1.25,264,1.1305076945573092,4,-0.04616329252719879,0.012740939031573362,178.54,0.24342799652093702,0.0,1.376218900680542
40000,1.546764513477683e-05,4.0,1.35,279,1.2827822992950677,5,-0.0082285737991333,0.01448411635503362,181.29,0.2645894714951049,0.0,1.3733224093914032
48000,0.0024607632558399928,3.0,1.44,288,1.197573354281485,6,-0.0038961970806121824,0.013228641076457279,182.58,0.2538034995723305,0.0,1.3708070397377015
56000,0.0008051994282868691,3.0,1.43,294,1.0102847981452943,7,0.021863465905189516,0.010660477198616718,182.74,0.20302919578953593,0.0,1.3651418697834015
64000,0.003932727559586056,3.0,1.37,298,1.3264470983296632,8,0.03657388746738434,0.015434689806425013,180.11,0.25850175499373956,0.0,1.354740730524063
72000,0.0017231075426388997,3.0,1.49,303,1.2391000857949257,9,0.1500362277030945,0.013067528035098802,185.8,0.26003574194573653,0.0,1.3653620314598083
80000,-0.00021894563673413358,3.1000000000000085,1.5,306,1.3236629989743234,10,0.1752347779273987,0.014904085014713929,188.38,0.33820271404606994,0.0,1.3742623281478883
88000,-0.0007976675296959002,3.0,1.17,308,1.0353925700485707,11,0.2515217137336731,0.01011207523639314,172.37,0.24627318828237763,0.0,1.3736381435394287
