grad_norm,PMM:episode_rewards,explained_variance,policy_entropy,fps,policy_loss,value_loss,P09:episode_rewards,advantage_norm,episode_length,frames,P01:episode_rewards,epoch_idx
1.8703249067378582,0.926829268292683,-2.5991895401477816,1.3336981183290482,598,-0.027689541626023127,0.07674941080269491,2.0,1.980238061696291,165.5121951219512,8000,0.0,1
0.23911723299494192,1.1022727272727273,-0.14733171641826628,1.3785831034183502,441,-0.001096838638477493,0.014319109479765757,3.0,1.2594436020031572,173.0340909090909,16000,0.0,2
0.18551876192526065,1.49,-0.001404983401298523,1.3828614330291749,521,0.0019601987663190813,0.017253420273736993,3.1000000000000085,1.418356354534626,189.05,24000,0.0,3
0.1854770552520983,1.77,-0.0027021658420562744,1.3823410201072692,566,0.0016171112330630422,0.016813804111916398,4.0,1.383476949185133,198.27,32000,0.0,4
0.15342546515812955,1.91,-0.002794867157936096,1.3825955653190614,598,0.0007438188412925229,0.01583992840616702,5.0,1.335168745405972,202.2,40000,0.0,5
0.12520259505496703,1.55,-0.003333141803741455,1.3836656391620636,621,0.0012704035241767996,0.01141182185316893,4.0,1.0587231969367712,186.97,48000,0.0,6
0.1705670977899085,1.24,-0.0010602796077728272,1.3822703230381013,640,0.0005526878510136158,0.015400414101532079,3.0,1.329346225038171,176.25,56000,0.0,7
0.15919959516396745,1.54,-0.004613953232765197,1.3801070976257324,654,0.0006988236009783577,0.01387100992806154,4.0,1.2178505113720894,190.6,64000,0.0,8
0.16069265001982053,1.54,-0.002127913236618042,1.3801590478420258,666,0.001401024223305285,0.013249882796008023,4.0,1.1969414613023401,189.03,72000,0.0,9
0.14345788582907945,1.22,-0.0034222853183746337,1.3832348024845122,675,0.0003032568743219599,0.011162306381156667,3.0,1.0480076457932592,174.06,80000,0.0,10
0.18026953243224766,1.25,-0.0035709846019744873,1.3853356003761292,682,0.00049349001259543,0.016079474753378235,3.0,1.3510476531460882,177.18,88000,0.0,11
0.17120867782722207,1.42,-0.00215648353099823,1.384891277551651,688,0.0037287893565371632,0.01480214559696833,3.0,1.313783175162971,185.1,96000,0.0,12
0.13301733754165398,1.49,-0.005284680724143982,1.3853772103786468,693,-0.004035399990389123,0.011207150950663164,4.0,1.0488109885528685,188.52,104000,0.0,13
0.11059686204705002,1.3,-0.0021641933917999267,1.385660421848297,697,0.005617768233059905,0.012536563285511875,4.0,1.1557409167662263,179.55,112000,0.0,14
0.13281600537523977,1.39,-0.0019251924753189086,1.3852461326122283,702,-0.0007371000444982201,0.013781358849682875,4.0,1.2624575052410365,181.57,120000,0.0,15
0.14754149637422434,1.5,-0.00223933219909668,1.385926216840744,705,0.00301170548889786,0.015125712337053301,4.0,1.2845652759820223,183.5,128000,0.0,16
0.12372207348666864,1.59,-0.002503352165222168,1.3857997286319732,708,-0.0016493313969112933,0.013038859489233801,4.0,1.1738183550909163,188.36,136000,0.0,17
0.09426624609332912,1.36,-0.0025236499309539795,1.3850055038928986,711,-0.0022994722957446357,0.009093045325071216,3.0,0.9487691501528025,181.43,144000,0.0,18
0.1076439314778674,1.01,-0.004931678771972656,1.3853850591182708,712,0.002116916859522462,0.0112875508118168,3.0,1.0843190094456077,169.13,152000,0.0,19
0.12993731790890542,1.33,-0.013379292488098144,1.3858234691619873,715,0.0014269344334024935,0.01410267104517061,3.0,1.2541546500846743,181.65,160000,0.0,20
0.15560126321370463,1.24,-0.0034099924564361572,1.376924079656601,716,-0.00046467030246276407,0.011030950383774324,3.0,1.0645155987143518,175.83,168000,0.0,21
0.17079774512869203,1.15,-0.0014250582456588744,1.3811978948116304,718,0.0019281376316212118,0.014314307010790799,3.0,1.2932557056844234,173.38,176000,0.0,22
0.137171366747859,1.45,-0.0018311905860900878,1.3849192798137664,720,0.00041323297802591696,0.011549434080452557,4.0,1.1147475563362241,185.15,184000,0.0,23
