P09:episode_rewards,advantage_norm,epoch_idx,explained_variance,P01:episode_rewards,PMM:episode_rewards,frames,policy_entropy,policy_loss,value_loss,grad_norm,episode_length,fps
3.0,1.868385598808527,1,-2.515386084318161,0.0,1.1951219512195121,8000,1.3668322479724884,-0.026322244935035998,0.08088814816564081,2.197520158808414,179.0,535
3.0,1.1869305146485567,2,-0.04918287396430969,0.0,1.2528735632183907,16000,1.3731894075870514,0.0020542566492804328,0.015900911774915583,0.31646491492804657,180.0344827586207,322
3.0,1.111842813193798,3,-0.0650913643836975,0.0,1.29,24000,1.3537644684314727,0.0007925299403723329,0.011715791126189288,0.23925589945680528,176.67,363
3.0,1.0715712922811509,4,-0.01090839147567749,0.0,1.18,32000,1.3763994836807252,0.0004847712186165154,0.011619694464534404,0.21111311791218618,169.83,392
2.1000000000000085,1.0902677412331103,5,-0.008365347981452942,0.0,1.13,40000,1.3773452317714692,0.004358253555255942,0.011522673906292767,0.2043438816571924,169.14,410
3.0,1.398496953099966,6,-0.029216097593307497,0.0,1.25,48000,1.373530353307724,0.00013092228444293143,0.017075655460794224,0.3100466748646687,175.97,427
3.0,1.284609339237213,7,-0.052560635805130006,0.0,1.34,56000,1.3680409705638885,-0.0018526427005417644,0.017854033488256392,0.3830843629784131,181.17,437
3.0,1.1000883103907109,8,-0.009530107378959657,0.0,1.17,64000,1.371548651456833,0.0014174073671165389,0.011213209333727719,0.2787371570507813,172.58,444
3.0,1.203259392902255,9,0.11345130383968353,0.0,1.04,72000,1.361950958967209,5.485003348439932e-06,0.013152138444784214,0.334674232849254,166.45,450
3.0,1.2318912102282047,10,0.3438128447532654,0.0,1.11,80000,1.3565315675735474,-0.00475067476843833,0.011870817333983723,0.3455918598635143,170.85,456
3.0,1.1654613262414932,11,0.1407729196548462,0.0,1.17,88000,1.3692461514472962,-0.0016228485081228427,0.010921748864930123,0.3282815125424298,173.83,461
2.1000000000000085,1.2533076432347299,12,0.15073955714702605,0.0,1.1,96000,1.3693079459667206,-0.006469652920495719,0.014773499679140514,0.4069751128821285,169.0,465
2.0,1.5142820182442664,13,0.5366402274370193,0.0,1.13,104000,1.3664607405662537,-0.007677746515619219,0.018694695798913016,0.4948092844959486,170.75,469
4.0,1.358097047805786,14,0.6801247614622116,0.0,1.63,112000,1.3745232129096985,-0.0026129975524963813,0.01368621436180547,0.4255272486564579,191.5,473
5.0,1.1498871430754662,15,0.6163003742694855,0.0,1.93,120000,1.3689147770404815,-0.0023724317835876717,0.009652746964711696,0.34992156737706814,200.71,476
5.0,1.2226511985063553,16,0.774476693868637,0.0,1.75,128000,1.3660810673236847,-0.0015620649512857198,0.01106676788884215,0.3699053038866061,196.22,480
5.0,1.2111602535843848,17,0.8619899088144303,0.0,1.57,136000,1.3673558282852172,-0.005031556396643282,0.01045243612024933,0.4143594808804955,190.96,483
