#{"t_start": 1544715596.057672, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,177,46.355395
0.0,129,49.622064
0.0,129,53.384981
0.0,125,76.080899
1.0,172,81.315265
0.0,129,85.405946
0.0,125,89.262628
0.0,127,92.796404
3.0,250,100.794415
2.0,228,107.63238
2.0,201,113.787123
2.0,204,120.227358
2.0,202,126.134231
2.0,223,133.214915
3.0,246,140.60777
1.0,155,145.141674
0.0,125,148.887092
0.0,125,152.435942
3.0,270,160.518961
2.0,204,166.771257
9.0,402,180.142228
0.0,129,184.103309
0.0,127,187.975736
2.0,221,195.071006
0.0,127,198.695339
10.0,436,212.744444
0.0,127,216.383256
