fps,episode_length,value_loss,epoch_idx,grad_norm,policy_loss,frames,advantage_norm,PMM:episode_rewards,P01:episode_rewards,P09:episode_rewards,policy_entropy,explained_variance
457,182.31,0.004282773528320832,32,0.10923490845685607,0.0002895348917809315,256000,0.657476034089923,1.35,0.0,4.0,1.3813758850097657,-1.4585271030664444
457,182.4,0.0034995594420252018,33,0.09654949592896832,-0.00040744040725257944,264000,0.5615716513618827,1.37,0.0,4.0,1.3812499666213989,-2.9015710836648942
458,182.76,0.0040321945473078815,34,0.09520932776792577,0.0006493269898783183,272000,0.6297832061722874,1.4,0.0,4.0,1.3841720283031465,-3.2708023804426194
459,183.49,0.00425426151137799,35,0.10304335883636023,-0.0003359642578288913,280000,0.6490349651128053,1.4,0.0,3.1000000000000085,1.3811468935012818,-2.3157336103916166
461,178.01,0.0032025149858054647,36,0.08341694104800162,-0.00038186423975275827,288000,0.5238067424297332,1.24,0.0,3.0,1.3818004250526428,-2.838116019964218
462,183.49,0.004062418117810012,37,0.11063360301204492,-9.133212672168155e-05,296000,0.6577822371572256,1.39,0.0,3.1000000000000085,1.380243697166443,-1.411390488743782
464,188.93,0.003993365976257337,38,0.11174452273095672,0.0008808580922777764,304000,0.6612062311917544,1.55,0.0,4.0,1.383866515159607,-6.657548294663429
464,188.18,0.0027584669813586517,39,0.08465987941490631,-0.0005186789686558768,312000,0.5166324354708195,1.52,0.0,3.1000000000000085,1.385041311979294,-2.686737515330315
466,187.4,0.0029869920235069004,40,0.08910592193865736,0.0006280874248841428,320000,0.5436311002075672,1.54,0.0,3.0,1.3848671841621398,-1.280662562251091
467,187.61,0.003989457715288153,41,0.11249278903168367,0.0007752364740008489,328000,0.639058508425951,1.51,0.0,3.0,1.3852061104774476,-3.9599882054328917
468,187.17,0.0025621507586402,42,0.0951522311107699,-0.0008473759975458961,336000,0.5050600492954254,1.47,0.0,3.1000000000000085,1.3851966845989228,-2.6377019411325455
469,180.29,0.002223099522143457,43,0.08862277621309271,-0.00038742772943805903,344000,0.4497292469441891,1.36,0.0,4.0,1.3855826675891876,-2.4808147633075714
470,177.6,0.03330557438555843,44,1.2924368009553384,-0.01619505698018429,352000,0.8453773549944162,1.3,0.0,4.0,1.3831060826778412,-2.518952877521515
471,177.94,0.0032389974892430475,45,0.1861725477248943,0.002604938902732101,360000,0.4987691027671099,1.28,0.0,4.0,1.3839451730251313,-1.9284571027755737
472,170.96,0.0019932988853724964,46,0.07452763506029494,-1.0150747511943337e-05,368000,0.42686098102480174,1.09,0.0,3.0,1.3855592715740204,-24.95695118069649
473,175.27,0.0026066336618714558,47,0.08457720800168643,0.00030315677518956365,376000,0.5185531954467296,1.19,0.0,3.0,1.384301208257675,-1.0743543547391892
474,181.1,0.0030421487600142427,48,0.0941857232411809,0.000668910390813835,384000,0.5431351418420672,1.36,0.0,3.0,1.3838761591911315,-6.503288739323616
475,172.54,0.0018709511103952537,49,0.06655436633192902,-1.9055750890402123e-05,392000,0.4029201525822282,1.15,0.0,3.0,1.3849256861209869,-5.423640668392181
475,167.88,0.001790179065956181,50,0.07302903356331725,-0.00010897502615989652,400000,0.4087732456251979,1.03,0.0,2.0,1.3848686146736144,-2.3841499662399293
477,176.24,0.002481364960285646,51,0.0913186213791131,-0.00026139407607843167,408000,0.49636293556541206,1.25,0.0,3.0,1.3824381172657012,-1.4454163753986358
477,178.8,0.001843168534896904,52,0.07428361971398283,0.00014529664054862223,416000,0.4289062633737922,1.33,0.0,3.0,1.3825656867027283,-1.2240727120637893
477,179.09,0.0021586784004648508,53,0.07802870179587942,-0.0008186473543173634,424000,0.46028923023492097,1.32,0.0,3.0,1.3818342995643615,-2.1338910454511644
478,185.02,0.0021005195779071075,54,0.07340965466066049,0.0002672809432260692,432000,0.44701130941510203,1.5,0.0,3.1000000000000085,1.3834384822845458,-2.6970750695466994
478,179.53,0.0013561965486769622,55,0.07183299786975432,-2.3534454303444363e-05,440000,0.35408951982855796,1.34,0.0,3.1000000000000085,1.3850722885131836,-3.6498886293172834
479,179.2,0.0018169098169892096,56,0.06204567133203031,0.00019605990455602297,448000,0.4006431378424168,1.26,0.0,3.0,1.3834957158565522,-2.3450804656744
480,189.96,0.0025084347502524907,57,0.08362969540271474,-0.0002066058230411727,456000,0.4786626920476556,1.54,0.0,3.1000000000000085,1.383534175157547,-3.3670602464675903
480,180.49,0.0014283218203763682,58,0.0597002457222272,-0.0001942618413886521,464000,0.3544871873036027,1.31,0.0,3.0,1.382243685722351,-2.871966551542282
481,182.15,0.002026712162351032,59,0.06593477647849352,0.00018078948443871922,472000,0.43185131579637526,1.37,0.0,3.0,1.3823406791687012,-1.6021734303236008
