epoch_idx,episode_length,grad_norm,avg_q_selected,fps,P01:episode_rewards,policy_entropy,P09:episode_rewards,avg_q_retraced,policy_gradient_loss,rollout_prob_std,explained_variance,model_prob_std,q_loss,policy_loss,advantage_norm,frames,PMM:episode_rewards,policy_gradient_bias_correction
26,3324.1666666666665,0.00048439286561811093,-0.0005817932099145966,442,0.0,2.1928439209385524,0.0,-0.0005804900777008105,9.756972747940353e-06,0.021063116180067436,-1.7473734693110936,0.010360959984458216,1.6786064743083586e-06,1.0941383697612878e-05,0.01080722144455649,187200,0.0,1.1844109716311178e-06
27,3324.1666666666665,0.0003581426651552792,-0.0003776593444193543,438,0.0,2.1927961830518865,0.0,-0.00036434658914201413,9.017449641863404e-06,0.021559258170090814,-4.0847362323988365,0.010413655312091269,9.929729599992705e-07,8.91838833298822e-06,0.00796551909777379,194400,0.0,-9.906139586404304e-08
28,3324.2166666666667,0.00039044863298019116,-0.00037629900006951907,435,0.0,2.192569772017696,0.0,-0.0003830396983781255,5.915054636368099e-06,0.019596695043590094,-3.3620589146010147,0.010701347901917025,1.2232383470735679e-06,7.164773984359705e-06,0.00929520670794152,201600,0.0,1.2497193603166095e-06
29,3324.2166666666667,0.0003026676852802456,-0.00011983339334567673,432,0.0,2.1928221268161323,0.0,-0.00011306947602132617,-2.9339570543469617e-06,0.023271361703270155,-4.521655027214769,0.01037174425131322,6.984817623027102e-07,-7.316365619923645e-07,0.006658917956238912,208800,0.0,2.2023206076296885e-06
30,3324.2166666666667,0.0003240649417814403,-0.0011807261051040123,428,0.0,2.1909636519857187,0.0,-0.0011631693928417302,2.9963141730018395e-05,0.022093123041103207,-3.6938545860334364,0.012161210211826657,7.01792990325997e-07,2.972081835191789e-05,0.006957492692169373,216000,0.0,-2.423234006123547e-07
31,3324.2166666666667,0.00029922520795761236,-0.00014044430195501686,426,0.0,2.192241621850029,0.0,-0.0001320069842612943,4.222784105689837e-07,0.02132645133757106,-3.04473948956482,0.011047555833301019,7.146909385564586e-07,1.6218259260663117e-07,0.007100664352756068,223200,0.0,-2.6009571572427503e-07
32,3324.2166666666667,0.000278698635752803,-0.00018815128951208397,422,0.0,2.191892004400964,0.0,-0.00018870786555062958,5.826612060735087e-06,0.019489218948999708,-2.03147315830247,0.011439657621330129,6.275487014860637e-07,6.914752409731351e-06,0.006961354428591118,230400,0.0,1.0881404124604938e-06
33,3324.2166666666667,0.0002860981932135953,-0.0001885449518962194,419,0.0,2.191805119318937,0.0,-0.00019250048244428414,2.4340024040131444e-06,0.020425012454885753,-1.9503847803585428,0.01154288831250693,6.888429403684876e-07,2.1620715691254203e-06,0.007196697193418418,237600,0.0,-2.7193079628833526e-07
34,3324.3194444444443,0.00025550511263621925,-0.00012052034229108593,415,0.0,2.191882005866873,0.0,-0.00010605273683108622,4.326330309686033e-06,0.017079239287191912,-4.642855241270293,0.011486928516175974,5.837629336686656e-07,5.110181340370595e-06,0.00630861025282506,244800,0.0,7.838509865542191e-07
35,3324.3194444444443,0.0002691699759200399,-0.0005267056955136184,414,0.0,2.190873330065182,0.0,-0.0005287522980297473,3.58318329911897e-06,0.019328386892759238,-4.399277844083688,0.012338074411415845,5.30737861301961e-07,3.7887441878874526e-06,0.0059654011201643485,252000,0.0,2.055609292375326e-07
36,3324.3194444444443,0.000214610801292464,-0.0002851777849329146,412,0.0,2.1912039532264074,0.0,-0.00028069002006672925,7.95039654414964e-06,0.020201623359591594,-3.5591223409535386,0.012088489666588544,3.8841913373334854e-07,8.41572721683514e-06,0.005031034862164118,259200,0.0,4.653306567487586e-07
37,3324.3194444444443,0.00023733462577591802,6.379955149650557e-05,409,0.0,2.191730090509016,0.0,6.551543682637019e-05,-3.252028162092208e-06,0.01529151292817135,-2.4741281055702418,0.011690064329424843,5.026952693189925e-07,-3.6941293069518483e-06,0.006203016836409304,266400,0.0,-4.4210111553855656e-07
38,3324.3194444444443,0.00021239263796766478,9.148478245144418e-05,408,0.0,2.191772569682863,0.0,9.685015734927248e-05,-1.706124332909238e-06,0.018170196969461226,-3.537678932147839,0.011644969063345343,3.9565515265010337e-07,-1.401795396580903e-06,0.005110600065732826,273600,0.0,3.0432891730721876e-07
39,3324.2619047619046,0.00023424555052885154,1.6550209418243657e-05,406,0.0,2.1917322752778494,0.0,3.931450989305167e-06,-2.4276944607406603e-06,0.019617027467777014,-3.734918135270555,0.011701681234321939,5.342215403289922e-07,-1.613314669445389e-06,0.006181638370192284,280800,0.0,8.143798613920047e-07
40,3324.2619047619046,0.00016891251159241777,-4.983980856840384e-05,405,0.0,2.1919046431243734,0.0,-4.494388614185336e-05,1.4732623203992603e-06,0.016191438846093007,-5.9212205171805845,0.011517771222559668,2.7800959869524185e-07,2.1893426518095375e-06,0.0043099211203581145,288000,0.0,7.160803742172816e-07
