fps,policy_entropy,P09:episode_rewards,value_loss,epoch_idx,frames,policy_loss,advantage_norm,explained_variance,episode_length,PMM:episode_rewards,P01:episode_rewards,grad_norm
547,1.3477361863851547,2.8999999999999986,2.57394168594371,1,8000,0.23323575312111644,7.194509947188198,-1.4973779422044755,168.6904761904762,1.1666666666666667,0.0,57.738794216143916
325,1.3836870074272156,3.0,0.005297376706016621,2,16000,0.00015835746939046657,0.6549274870567023,-4.30012304008007,170.82608695652175,1.1521739130434783,0.0,0.0910008908902513
370,1.380803632736206,3.0,0.005031306515670622,3,24000,0.0005039153341658676,0.6573946988396346,-4.492399598360062,169.87,1.11,0.0,0.08275341224685473
392,1.3823123860359192,3.0,0.005827550084050017,4,32000,-4.006854236649815e-05,0.7205184217356145,-1.9492489165067672,177.96,1.28,0.0,0.09633970452893681
408,1.3823777306079865,3.0,0.005674992161794989,5,40000,0.00016378374333726243,0.6880082740914076,-2.4853873264789583,180.71,1.31,0.0,0.07684291137254971
417,1.3815061092376708,3.0,0.005761061379039347,6,48000,-0.0005841839039931074,0.7397499834001064,-1.475290117263794,183.98,1.43,0.0,0.07582535283080728
422,1.3821089196205139,3.0,0.005354062034439266,7,56000,0.00023350831650986948,0.7046285135112703,-1.4039233404397964,178.93,1.32,0.0,0.07441099534380424
425,1.3834808051586152,3.0,0.005499391261346318,8,64000,0.00016302778327371926,0.7278359480760992,-1.6564725071191788,173.03,1.15,0.0,0.07453527037721938
429,1.3835287976264954,3.0,0.004628895610726431,9,72000,-0.0005643370394682279,0.6211281834542751,-2.6009904032945634,174.3,1.2,0.0,0.06971764020138857
432,1.3838346230983734,4.0,0.005643578034123493,10,80000,0.00016342125949449836,0.7097067223861814,-2.086916527748108,176.75,1.28,0.0,0.07928685820087465
434,1.3838320934772492,4.0,0.005485843655264944,11,88000,-0.00019591761287301779,0.6803207768686116,-2.579754351377487,186.99,1.46,0.0,0.07547492411010408
436,1.3828086018562318,3.0,0.00486379385575674,12,96000,0.0012108342349893065,0.6234649951942265,-2.3103050595521926,177.71,1.2,0.0,0.0897196315962289
438,1.383044856786728,3.0,0.005809502647543922,13,104000,-0.0002580800111172721,0.7639802834764123,-1.4077459102869034,174.94,1.23,0.0,0.08025891693121696
439,1.3816522073745727,4.0,0.02101614409600188,14,112000,-0.024820161508978346,1.0003514923527836,-1.3732642084360123,191.18,1.66,0.0,0.9738269785758565
