epoch_idx,policy_loss,fps,episode_length,advantage_norm,explained_variance,policy_entropy,approx_kl_divergence,frames,P01:episode_rewards,value_loss,clip_fraction,PMM:episode_rewards,grad_norm,P09:episode_rewards
1,0.08577621087169973,653,289.875,15.968713992834092,-2.5659238558262585,0.17466271527127866,204542.89232800226,10240,0.0,149402576.86928827,0.2870849609375,40.625,277817471.48541564,145.0000000000001
2,0.0007458918422344141,684,287.75,15.962407606840134,-4.097819328308106e-09,0.015411100429264479,0.0468980063471065,20480,0.0,0.0018579871090199783,0.008544921875,18.055555555555557,0.2319497240488217,22.499999999999964
3,0.00014435150660574436,686,287.67,15.968605959415436,-1.601874828338623e-08,0.01910280900192447,0.0021062451304932673,30720,0.0,0.01122059180942756,0.013232421875,7.5,0.5118158088830508,0.0
4,0.0002567667866969714,675,286.24,15.964628124237061,3.725290298461914e-09,0.021799851069226862,0.024314960535567566,40960,0.0,1.6898118255934125e-05,0.0048095703125,0.0,0.014917614188553177,0.0
5,0.0002148350846255198,678,286.49,15.082677125930786,-2.644956111907959e-08,0.011676938433083706,0.005468792185376969,51200,0.0,1.7001487033066288e-07,0.0074951171875,0.0,0.0023596061431811655,0.0
6,7.592461770400405e-10,673,286.18,14.969402647018432,-7.078051567077636e-09,0.00015625901532985155,1.5916157281026243e-13,61440,0.0,5.20891198321992e-09,0.0,0.0,0.0002230078701172692,0.0
7,8.817878551781178e-08,669,286.39,14.607504940032959,-1.564621925354004e-08,0.00021230588827165776,3.296918293926865e-13,71680,0.0,2.412690255432364e-12,0.0,0.0,2.952333107531257e-05,0.0
8,3.5499397199600935e-08,671,286.08,15.177928066253662,-3.7252902984619143e-10,0.0003547094993336941,1.1368683772161603e-12,81920,0.0,1.8008006385908746e-09,0.0,0.0,0.00010460268464657985,0.0
9,-4.799803718924522e-07,677,286.13,15.966767251491547,-8.195638656616212e-09,0.0013520783071726329,6.599575097565591e-06,92160,0.0,0.0004741171222306335,9.765625e-05,0.0,0.05628302977776095,0.0
10,3.6532030208036305e-06,676,285.87,15.92895312309265,-1.862645149230957e-08,0.0031621700279174545,0.001267118724817351,102400,0.0,0.0005308732896255406,0.0004150390625,0.0,0.06663777883461622,0.0
11,-2.5213666958734394e-07,676,286.35,15.870087146759033,-1.4901161193847657e-09,0.00045813952638127373,3.566193424875408e-06,112640,0.0,6.904151314631808e-07,4.8828125e-05,0.0,0.0025718391512000805,0.0
12,4.4287899800110606e-05,680,286.27,15.953054934740067,-1.30385160446167e-08,0.013721021287346957,0.0005213254882567853,122880,0.0,0.0007093291472647102,0.0025634765625,0.0,0.07505986563003705,0.0
13,0.00033110114163719117,681,286.21,15.966555643081666,-3.3527612686157227e-09,0.004178222051883296,0.032218460228261844,133120,0.0,0.00020889873134233736,0.00244140625,0.0,0.04838555547180709,0.0
14,-1.0104849934577942e-08,686,286.18,15.940024721622468,-3.7252902984619143e-10,1.1413464626741643e-06,0.0,143360,0.0,0.0003950243556103015,0.0,0.0,0.048983947169497555,0.0
15,-2.750748535618186e-08,688,286.14,14.375893323123455,-1.9744038581848144e-08,2.1254877381693405e-06,0.0,153600,0.0,4.441066384008904e-06,0.0,0.0,0.004706408047580597,0.0
16,6.715708877891302e-08,686,286.22,15.473008459806442,-1.9371509552001954e-08,2.594128314115096e-06,0.0,163840,0.0,0.0004708545689711947,0.0,0.0,0.0495591845491678,0.0
17,-1.2746022548526525e-07,684,286.0,15.96387550830841,-3.725290298461914e-09,8.982542919966362e-06,0.0,174080,0.0,4.482188358344089e-05,0.0,0.0,0.012168074468004443,0.0
18,-2.9624789021909236e-08,684,286.0,15.084229993820191,-9.685754776000977e-09,9.523620684603884e-06,0.0,184320,0.0,2.0814102805786457e-09,0.0,0.0,0.00010485179336934197,0.0
19,2.8436625143513085e-08,682,285.95,15.329982948303222,-1.6391277313232423e-08,1.1656061792564287e-05,1.1368683772161604e-14,194560,0.0,0.00044108181074161145,0.0,0.0,0.032674479462341796,0.0
20,-2.1921005100011827e-08,681,286.07,15.510548156499862,-6.332993507385254e-09,5.700819210687769e-05,1.4779288903810084e-13,204800,0.0,4.524340005924719e-05,0.0,0.0,0.01097177943510425,0.0
21,9.979976312024519e-08,682,286.37,10.671853591501712,1.1175870895385742e-09,7.732291378488298e-05,9.094947017729283e-14,215040,0.0,2.747419308781721e-13,0.0,0.0,1.4661887363684347e-05,0.0
