epoch_idx,model_prob_std,avg_q_retraced,advantage_norm,P09:episode_rewards,policy_entropy,policy_gradient_loss,PMM:episode_rewards,frames,policy_gradient_bias_correction,explained_variance,avg_q_selected,fps,policy_loss,rollout_prob_std,episode_length,P01:episode_rewards,grad_norm,q_loss
1,0.05204656099279722,-0.0022320060525089502,0.08226383837560812,0.0,2.0664903283119203,4.235998100436215e-05,0.0,7200,-1.3704702881793078e-13,-34.54500495592753,-0.0025439071158568066,480,4.235998100436215e-05,0.05204655962685744,0,0.0,0.11236769425244611,0.0034031563242024276
2,0.0675565901522835,0.010035427761613392,0.05387184526771307,0.0,1.9204039464394251,-0.0002500224770111951,0.0,14400,1.1024419282560742e-10,-961.0942756970724,0.009619473851732134,654,-0.0002500223761179162,0.06755658990393082,0,0.0,0.5691679576169636,0.01685819254659388
3,0.013115630298852921,-0.003128418057106804,0.007560691501324376,0.0,2.1891003131866453,5.024424478203097e-05,0.0,21600,0.0,-170.51828838984173,-0.0030731776019213915,718,5.024424478203097e-05,0.013115630640337864,0,0.0,0.004395335033665945,2.7395238839744705e-05
4,0.014471643107632796,-0.004051570982361833,0.027666061705288788,0.0,2.1888297239939374,9.354809068706042e-05,0.0,28800,0.0,-54.847247950236,-0.004093055364986261,696,9.354809068706042e-05,0.014471643169720967,0,0.0,0.003463694902803449,2.6642944643147833e-05
5,0.013114917992303769,-0.0032025528450806934,0.012419714817466836,0.0,2.190342664718628,6.239096195107171e-05,0.0,36000,0.0,-44.13916330337524,-0.0032491895525405805,739,6.239096195107171e-05,0.013114917806039255,0,0.0,0.0017425965866254653,1.0626507005895292e-05
6,0.014335774909704923,-0.003456311478900413,0.0212883380940184,0.0,2.188936154047648,9.048763564957577e-05,0.0,43200,0.0,-47.92464491526286,-0.0035763708253701526,725,9.048763564957577e-05,0.01433577500283718,3325.0833333333335,0.0,0.002470444670348071,1.723608145312028e-05
7,0.014304927239815394,-0.0020844482409302146,0.005015364297044774,0.0,2.1880005677541097,6.602427638426888e-05,0.0,50400,0.0,-99.2928669611613,-0.002089523772398631,703,6.602427638426888e-05,0.014304927146683136,3325.0833333333335,0.0,0.001712645423973127,8.511625615407563e-06
8,0.018291775106141963,8.348372260419031e-05,0.004907942602100471,0.0,2.181794802347819,-1.479428300778333e-05,0.0,57600,0.0,-54.154889996846514,0.00011863363712715606,687,-1.479428300778333e-05,0.01829177513718605,3325.0833333333335,0.0,0.0017489724807340978,5.44323071570337e-06
9,0.012291517853736878,-0.002575143480983873,0.017433483013883234,0.0,2.191147518157959,5.482349583871837e-05,0.0,64800,0.0,-19.98283961613973,-0.0026755842690666517,673,5.482349583871837e-05,0.012291517853736878,3325.0833333333335,0.0,0.0018214229992127942,1.2139494208440737e-05
10,0.01189072880273064,-0.00208583614245678,0.011917494241303454,0.0,2.1915443897247315,4.618053540070832e-05,0.0,72000,0.0,-271.3865338643392,-0.0021253525007826585,619,4.618053540070832e-05,0.011890728616466124,3325.0833333333335,0.0,0.0014167812071264562,8.062809766329337e-06
