P01:episode_rewards,PMM:episode_rewards,fps,explained_variance,epoch_idx,grad_norm,episode_length,policy_entropy,P09:episode_rewards,advantage_norm,value_loss,policy_loss,frames
0.0,1.0238095238095237,212,-0.7192997050285339,1,4.840177106582253,167.54761904761904,1.2783225253224373,2.0,2.532879252023995,0.20848554455831617,0.00852681757591199,8000
0.0,1.3452380952380953,223,-0.05361149966716766,2,0.35070496232113046,181.41666666666666,1.3700243031978607,3.0,1.4997413336485623,0.020522872668607306,0.0018341636285185813,16000
0.0,1.52,241,-0.13838807225227356,3,0.2621850598662745,188.29,1.3777363419532775,4.0,1.0575637878105044,0.012175556646166114,0.0016003007406834512,24000
0.0,1.4,253,-0.008970680236816407,4,0.2427721380120196,182.55,1.3791297495365142,3.1000000000000085,1.1710576268285513,0.013086106523760464,0.0015320455783512444,32000
0.0,1.24,260,-0.008475936651229858,5,0.2007723631593974,175.23,1.3660942661762236,3.0,1.0921900752186775,0.011744318546188879,0.001611685745883733,40000
0.0,1.0,264,-0.03714441955089569,6,0.19280337129999173,164.74,1.3770838510990142,2.1000000000000085,0.9201218597590923,0.00976418510134863,0.0003309909693780355,48000
0.0,0.87,269,-0.02350390136241913,7,0.22161575067514136,160.76,1.3751989603042603,2.0,1.1744271729514002,0.014329714831201273,0.0023077476376784033,56000
0.0,1.21,273,-0.000610695481300354,8,0.21392543402898273,176.07,1.368236367702484,3.0,1.32104886084795,0.015407921202495345,0.00016944649163633585,64000
0.0,1.54,274,-0.0006919753551483154,9,0.20538145703733918,189.78,1.373684024810791,3.0,1.3152726826444268,0.015327733326575981,0.002406894856103463,72000
0.0,1.29,276,-0.004547582268714905,10,0.1673360983971516,177.94,1.3798444879055023,3.0,1.140616732146591,0.011622017574891287,0.0001734250911977142,80000
0.0,1.07,278,-0.0022015678882598877,11,0.13847125938977312,169.56,1.3824192953109742,3.0,0.9684745745360851,0.010049181745130227,-0.0005113482405431569,88000
0.0,1.04,281,-0.015608314275741577,12,0.18973863940739671,170.17,1.3817274355888367,3.0,1.1815684501454233,0.013479599844590667,0.003922257166123017,96000
0.0,1.32,282,-0.0419485867023468,13,0.25028081624864557,181.2,1.3827264440059661,3.0,1.403030949831009,0.016477059572789585,0.0016996849030874728,104000
0.0,1.95,283,0.00012533247470855713,14,0.21941148021217888,201.13,1.3787819159030914,5.0,1.4703611901402474,0.018521524451698496,0.0005326202244032174,112000
0.0,2.13,284,-0.002663947343826294,15,0.18432986862302175,205.76,1.379432249069214,5.1000000000000085,1.2577292377501725,0.01465885297568093,0.0026732486521359533,120000
0.0,1.68,284,-0.0008631187677383423,16,0.17303722949998274,190.89,1.3782628428936006,4.0,1.206481219008565,0.013486298321504364,5.240822792984545e-05,128000
0.0,1.45,285,-0.0016297370195388794,17,0.14538856044649065,185.62,1.377463709115982,4.0,1.1727325297892093,0.012516068564491434,-0.0010967416479252278,136000
0.0,1.43,285,-0.0022427594661712648,18,0.19985909582074712,184.72,1.3746479213237763,4.0,1.3062484914436936,0.015408102759547546,-3.2531641772948204e-05,144000
0.0,1.63,286,-0.0010603851079940797,19,0.1470410934130166,192.72,1.378203457593918,4.1000000000000085,1.2527308449149133,0.013473026135543478,-0.0002868678202503361,152000
0.0,1.45,287,-0.0021899133920669557,20,0.16152337775276648,186.96,1.3807952511310577,4.0,1.193767139390111,0.013405983400061813,0.0031791462283581495,160000
0.0,1.23,288,-0.002215285301208496,21,0.14635163242538365,177.94,1.3802540969848633,3.0,1.0944373546540738,0.01116441488138662,-0.0013682208058889956,168000
0.0,1.47,288,-0.0018924611806869507,22,0.1822644792890541,186.68,1.379334409236908,4.0,1.332093240134418,0.015300151550891315,0.0013517511752434075,176000
0.0,1.47,289,-0.0037929600477218627,23,0.1683232118855335,187.72,1.3770537054538727,4.0,1.2698845841363073,0.014361018523868552,0.0006295022810809314,184000
0.0,1.48,289,-0.0041466599702835085,24,0.17146326479487367,185.3,1.3781356871128083,3.0,1.2112648083269597,0.013283312084022328,0.0022669903538189828,192000
0.0,1.58,289,-0.002281002402305603,25,0.19030076229623638,187.94,1.3807390165328979,4.0,1.3183434071391822,0.014701503779324412,0.00019468348153168336,200000
0.0,1.49,290,-0.00872976541519165,26,0.16807860669074476,188.27,1.3810256361961364,4.0,1.1994123136252164,0.013006056889303182,-0.0015866950126655866,208000
