q_loss,rollout_prob_std,policy_gradient_bias_correction,grad_norm,advantage_norm,avg_q_retraced,frames,fps,PMM:episode_rewards,P01:episode_rewards,policy_entropy,model_prob_std,episode_length,policy_gradient_loss,avg_q_selected,policy_loss,P09:episode_rewards,explained_variance,epoch_idx
0.0005371433226779725,0.03972790458550056,0.0,0.03195090400928714,0.08442339487373829,0.0026422297766354554,7200,488,0.0,0.0,2.134735894203186,0.039727903840442495,0,-0.00020594438249948627,0.003413981532988449,-0.00020594438249948627,0.0,-12.172045103708903,1
0.06801491108526533,0.07567144682010014,1.6796187866467231e-10,1.6321092547277656,0.16443866423020762,0.2031319257247863,14400,243,0.0,0.0,1.8494553568349148,0.0756714462613066,0,0.0007480268775367449,0.20746509808038052,0.0007480270249961526,0.0,-374.7980240503947,2
2.4172519579224173e-05,0.01189763811416924,0.0,0.003930592754087434,0.01640510872627298,-0.004680687251190345,21600,303,0.0,0.0,2.189858396848043,0.011897638238345583,0,0.00012185174233915556,-0.004633872381721933,0.00012185174233915556,0.0,-22.841250292460124,3
3.977969205758806e-05,0.010857755535592635,0.0,0.004467249144251049,0.03777912075941761,-0.004900002370898922,28800,345,0.0,0.0,2.1924400329589844,0.010857755473504463,0,0.0001109481135055527,-0.004777662199921906,0.0001109481135055527,0.0,-14.660294659932454,4
1.2927333955303766e-05,0.010943625525881847,0.0,0.0019276671568193278,0.018329856172204017,-0.005790880555287004,36000,376,0.0,0.0,2.1923532088597617,0.010943625494837761,0,0.0001314526233424355,-0.0057514777407050134,0.0001314526233424355,0.0,-9.706685034434,5
2.475552124299914e-05,0.009822035394608974,0.0,0.0036745112295149276,0.030854241860409578,-0.004964260462050636,43200,376,0.0,0.0,2.1932764848073325,0.009822035705049833,3324.5833333333335,0.00014180340977721547,-0.0049446155317127705,0.00014180340977721547,0.0,-17.97603588104248,6
9.716249140486373e-06,0.012868759036064149,0.0,0.0024015587561739544,0.01290846240396301,-0.005884434189647436,50400,358,0.0,0.0,2.1881781498591106,0.012868759067108234,3324.5833333333335,0.0001131893406030334,-0.005941412349541982,0.0001131893406030334,0.0,-30.212903849283855,7
5.08150840990614e-06,0.021330226383482417,0.0,0.0017803538513307038,0.01159832055370013,-0.009568863579382499,57600,369,0.0,0.0,2.1763760964075725,0.021330226787055533,3324.5833333333335,0.0002349771952140145,-0.009646795270964504,0.0002349771952140145,0.0,-11.793448734283448,8
1.5900529607885498e-05,0.00921400689209501,0.0,0.0019805492216850135,0.02358462099606792,-0.005325564090162516,64800,381,0.0,0.0,2.1937840938568116,0.009214006830006838,3324.5833333333335,0.0001170428914065269,-0.005458508245646953,0.0001170428914065269,0.0,-7.63172086874644,9
1.1142828111587732e-05,0.009664896068473657,0.0,0.0018110979555086355,0.01944853230379522,-0.005458162988846501,72000,392,0.0,0.0,2.1934694766998293,0.009664895944297314,3324.5833333333335,0.00011882910686532948,-0.00544649960162739,0.00011882910686532948,0.0,-9.493701823552449,10
1.8494889529089655e-05,0.009160413996626933,0.0,0.0024785788558751853,0.030553745447347562,-0.005651502404361963,79200,401,0.0,0.0,2.1938202460606893,0.009160414027671019,3324.5833333333335,0.00012444630962515172,-0.005663225551446279,0.00012444630962515172,0.0,-9.812908474604289,11
3.785928439962542e-06,0.007605524873360992,0.0,0.000948600447251612,0.011681913242985805,-0.005805346835404635,86400,409,0.0,0.0,2.1948939402898153,0.007605524888883035,3324.3333333333335,0.00015723916955418343,-0.005850752039502065,0.00015723916955418343,0.0,-9.369297647476197,12
3.425603874044706e-06,0.019826922953749698,0.0,0.0012363017671403024,0.01006299468378226,-0.010074818211918076,93600,416,0.0,0.0,2.1789937178293863,0.019826922783007225,3324.3333333333335,0.00019795319482606525,-0.010177886998280882,0.00019795319482606525,0.0,-18.2955193678538,13
2.787694836570154e-06,0.01119465371593833,0.0,0.0009375756137933929,0.009278306287402909,-0.007049616255487005,100800,422,0.0,0.0,2.1904032548268635,0.011194653840114673,3324.3333333333335,0.00017849690460328322,-0.007103525009006262,0.00017849690460328322,0.0,-8.857828664779664,14
1.3906283902542782e-05,0.007859167363494634,0.0,0.0020716499807309535,0.027897792294000585,-0.004933894285932184,108000,429,0.0,0.0,2.19472766717275,0.007859167254840335,3324.3333333333335,0.00010583266078659412,-0.005000543997933467,0.00010583266078659412,0.0,-10.911842409769694,15
4.442173250633156e-06,0.008329990583782395,0.0,0.0008768716810853634,0.012427095339323084,-0.00532321905096372,115200,434,0.0,0.0,2.194452142715454,0.00832999066139261,3324.3333333333335,0.00012186823320613864,-0.005381480503516892,0.00012186823320613864,0.0,-7.423544247945149,16
1.2635630554840374e-05,0.012917072099150608,1.4165517015753805e-06,0.0020744579926943985,0.0263285151638815,-0.0049753934118241345,122400,433,0.0,0.0,2.193079843344512,0.00997802866217508,3324.4166666666665,0.00011769104377717836,-0.005104898137031813,0.0001191075954497373,0.0,-8.327590647345339,17
3.888777874955564e-06,0.02112191487600775,3.6158732338960564e-06,0.001037046110447301,0.014140018463884999,-0.0052654687110913635,129600,428,0.0,0.0,2.192393886551024,0.010707166225824348,3324.4166666666665,0.00011227658847174674,-0.005304386524875308,0.00011589246160305889,0.0,-4.380251064447972,18
3.077171376998478e-06,0.022690960803246566,1.539846661615075e-06,0.0009326220394189143,0.01333550652036956,-0.005946880485831695,136800,423,0.0,0.0,2.190751818456347,0.012039783123964394,3324.4166666666665,0.00014188029239063982,-0.0060527427591785055,0.00014342013926252738,0.0,-3.429258486794102,19
