policy_entropy,frames,grad_norm,policy_loss,P01:episode_rewards,value_loss,advantage_norm,fps,PMM:episode_rewards,epoch_idx,episode_length,explained_variance,P09:episode_rewards
1.3323920648545027,8000,2.2753246829717466,-0.007788746909645852,0.0,0.03173151944698475,1.4616715313494206,346,0.9111111111111111,1,164.04444444444445,-4.433668227791786,2.6000000000000014
1.3710835099220275,16000,0.3350480514541057,-0.002337557281716727,0.0,0.013572980454191565,1.1177645322680474,172,0.9479166666666666,2,165.01041666666666,-0.11699293255805969,2.5
1.382997623682022,24000,0.2553971199976882,0.004223215170204639,0.0,0.016256198254595802,1.2951211563497782,208,1.38,3,178.97,-0.001473051905632019,3.0
1.3804175341129303,32000,0.24588641311425252,0.0022400737926363944,0.0,0.012479807582421927,1.144102994054556,235,1.45,4,183.26,0.002725241184234619,4.0
1.3834255945682525,40000,0.23641994895206836,0.003735425861377735,0.0,0.012506413261507986,1.1167180993407966,254,1.22,5,175.77,-0.013985177278518677,3.0
1.3808062160015107,48000,0.2389616786990693,0.001153539482679662,0.0,0.01356094902897894,1.2446512019634246,269,1.33,6,179.47,0.06614874660968781,3.0
1.3814142000675202,56000,0.24831656886364273,-0.0005918152276717593,0.0,0.011509492234690697,1.073432736247778,279,1.28,7,178.63,0.0844789445400238,3.0
1.3765714812278746,64000,0.5199394800411998,-0.0027969844089238906,0.0,0.022202732942823787,1.4649714580178261,288,1.32,8,180.11,0.1953028357028961,4.0
1.3822864449024201,72000,0.379339019743409,-0.0032328586393850856,0.0,0.012999540832533968,1.2495747876167298,295,1.17,9,173.66,0.24451159417629242,3.0
1.381129378080368,80000,0.45225573874461555,-0.002023084359243512,0.0,0.015654745477368125,1.4094995692372323,302,1.21,10,175.63,0.5149047410488129,3.0
1.3737663650512695,88000,0.44708906197903564,-0.0005273315655358601,0.0,0.015506991479196586,1.4447620132565497,308,1.52,11,187.91,0.5525192368030548,4.0
1.3744904148578643,96000,0.4140742834271363,-0.00322592870448716,0.0,0.013032511805649847,1.306236452460289,312,1.72,12,196.52,0.6379511415958404,4.1000000000000085
1.3677929866313934,104000,0.42693461291267837,-0.0014961361780297011,0.0,0.013421565715689213,1.38858972042799,317,1.61,13,192.08,0.7751924860477447,5.0
1.3628302538394927,112000,0.39296735686528556,-0.004832355359103531,0.0,0.013171829632483423,1.3730496597290038,320,1.73,14,198.09,0.8105717420578002,4.1000000000000085
1.3561468267440795,120000,0.3596656529213855,-0.0011596605402883142,0.0,0.010456712833838538,1.2348589026927947,324,2.13,15,209.09,0.8603125137090682,5.0
1.3502831947803497,128000,0.3528387543214225,-0.0015622395313403103,0.0,0.009337386930128559,1.1383137226104736,327,2.14,16,208.73,0.9069536429643631,5.0
1.3351581478118897,136000,0.3151195252203698,-0.0031797847941925283,0.0,0.0073716554377460854,1.0099792900681495,330,1.96,17,204.97,0.9262782967090607,5.0
1.2940362083911896,144000,0.26229353775391495,-0.0014095900658867321,0.0,0.005279122638748959,0.868424186706543,331,1.54,18,188.82,0.9466099542379379,5.0
1.3113333535194398,152000,0.26851533808678907,-0.0025789477654689108,0.0,0.006987762713106349,0.9686128482222557,334,1.7,19,192.49,0.9170068901777267,5.1000000000000085
1.3366236507892608,160000,0.30572894811253887,-0.0019983117564129314,0.0,0.008506740540615282,1.0618951350450516,340,2.32,20,213.4,0.9271196085214615,6.1000000000000085
1.3216636776924133,168000,0.2147389587048404,-0.000995649102205789,0.0,0.004597331113764085,0.7887708076834679,346,2.27,21,210.15,0.9541604161262512,5.1000000000000085
1.3146014177799226,176000,0.18137809284812498,-0.00015012554416898638,0.0,0.003855901614006143,0.7096779909729958,352,1.87,22,200.8,0.9669286358356476,5.0
1.3375414085388184,184000,0.19642733257242032,-0.001224667789938394,0.0,0.003965370850637555,0.7259684118628502,356,2.18,23,210.17,0.970916593670845,5.0
1.3401623129844666,192000,0.22581907879942523,0.0003836809631320648,0.0,0.005045784895191901,0.8097017556428909,362,2.15,24,210.93,0.8934733498096467,5.0
1.35743589758873,200000,0.19943829124165788,-0.001294896330218762,0.0,0.003939226492075249,0.6843321466445923,367,1.56,25,188.1,0.954068438410759,5.0
1.3368936097621917,208000,0.18155665476990873,0.0003960444015683606,0.0,0.003947602307307534,0.6981540277600289,373,1.62,26,187.58,0.9650140202045441,5.0
1.3381207287311554,216000,0.17436750739510287,-0.0021626204310450704,0.0,0.004054339224530849,0.6825591017305851,378,1.88,27,194.93,0.9629755491018295,5.0
1.3392608213424682,224000,0.18684840952827286,-0.0012699502680334263,0.0,0.004196430252050049,0.6978881075978279,382,1.97,28,199.66,0.9543801426887513,5.0
1.3544179618358612,232000,0.14647574481470024,0.00012144303706008941,0.0,0.0027150903845904397,0.5783054347336293,386,1.71,29,192.76,0.9729710787534713,5.0
1.367892633676529,240000,0.2878292157959125,-0.0013665269621196785,0.0,0.00762956669961568,0.9638729262351989,384,1.84,30,196.72,0.934993811249733,5.1000000000000085
1.3511350107192994,248000,0.20314054247708285,-0.001614747101921239,0.0,0.00391656404332025,0.6894572383165359,389,1.92,31,200.25,0.9648034054040909,6.0
1.3514494144916533,256000,0.16296930290698608,-0.0010896985476574628,0.0,0.002911236260551959,0.6010065320134163,391,2.38,32,216.19,0.9735673099756241,7.200000000000017
1.358260771036148,264000,0.18519407306603547,-0.0008867455772997346,0.0,0.003835696047462989,0.7130971464514733,394,2.38,33,217.02,0.9647930246591568,6.300000000000026
