explained_variance,P09:episode_rewards,clip_fraction,fps,grad_norm,epoch_idx,frames,value_loss,PMM:episode_rewards,P01:episode_rewards,episode_length,approx_kl_divergence,policy_entropy,policy_loss,advantage_norm
-10.391891952231527,122.50000000000006,0.518701171875,474,11369142.727808304,1,10240,5606215.706989409,49.21875,0.0,292.125,28852.372823125614,1.3648186384764287,0.08606655434196,15.968713402748108
5.960464477539063e-09,200.0,0.28544921875,369,0.05645440636278296,2,20480,0.007869423317606561,92.1875,0.0,309.375,0.003927325116080738,1.761615765839815,-0.0018827068677637726,15.968717557191848
-1.564621925354004e-08,225.0,0.227490234375,411,0.05299714019317807,3,30720,0.007135371535127888,96.93877551020408,0.0,310.234693877551,0.003114897007554873,1.7606982216238976,-0.001292917448154185,15.968714994192123
0.0,250.0,0.22666015625,438,0.05277150817800545,4,40960,0.00796766965174811,130.75,25.0,321.23,0.003305333688558676,1.7741588152945043,-0.0013342482921871123,15.968717229366302
1.080334186553955e-08,255.00000000000043,0.2495849609375,453,0.05407548060921237,5,51200,0.008966374747751615,140.25,25.0,323.15,0.0037121268635075923,1.7774224989116192,-0.0014754117619304452,15.968715316057205
-1.3411045074462891e-08,255.00000000000043,0.2372314453125,467,0.05296973041933034,6,61440,0.00764798942454945,147.25,25.0,328.0,0.003406236978128163,1.7793045587837697,-0.0018535366460127988,15.968717634677887
-8.940696716308593e-09,325.0,0.2443359375,478,0.0526094472758354,7,71680,0.009119101509190842,155.75,25.0,329.75,0.003355758835755296,1.7880865894258022,-0.0018069267185637727,15.968717390298844
-1.3411045074462891e-08,325.0,0.2132568359375,488,0.05584046890676144,8,81920,0.010381483990931884,162.5,47.50000000000001,335.5,0.0028431217169043064,1.7791575171053409,-0.0013735869852098403,15.968717670440673
-1.825392246246338e-08,327.5000000000002,0.2114501953125,494,0.05343402907673187,9,92160,0.010055711735185468,179.75,47.50000000000001,340.9,0.002725238219215953,1.7710755422711373,-0.0019819204964733215,15.968717980384827
-4.8428773880004884e-09,427.5000000000002,0.2337890625,493,0.0540276630254937,10,102400,0.009111440779088298,189.25,25.0,340.75,0.003343125298908944,1.7798674829304217,-0.0013077380619506585,15.968717682361603
6.332993507385254e-09,427.5000000000002,0.2156494140625,496,0.051713053573972004,11,112640,0.00821496639250654,183.0,25.0,337.85,0.0027828608347249427,1.7722049802541733,-0.0015867914098635083,15.968717241287232
1.862645149230957e-09,450.0,0.271142578125,499,0.052554244714987264,12,122880,0.007949987110305302,176.0,25.0,334.12,0.003598582194001665,1.7743154726922512,-0.002163288275914965,15.968717581033706
-1.1175870895385742e-09,352.5000000000002,0.2161865234375,502,0.05399942456155976,13,133120,0.008343707898802677,155.25,22.500000000000007,329.86,0.0027273269751049156,1.7757651209831238,-0.00180521125002997,15.968717724084854
8.568167686462402e-09,300.0,0.30888671875,504,0.05311499204440995,14,143360,0.006994590619044061,141.0,22.500000000000007,327.45,0.004448164144810108,1.7758150592446327,-0.0016291332263790536,15.96871652007103
-3.3527612686157227e-09,300.0,0.2644287109375,507,0.054161284086620444,15,153600,0.007365849587995399,136.25,0.0,324.98,0.0031675905346418174,1.7788292318582535,-0.0019539311666449065,15.968717634677887
-2.9802322387695314e-09,402.5000000000002,0.1961669921875,510,0.05397210819101561,16,163840,0.008774189672476496,150.5,25.0,331.08,0.002650212776563876,1.7742224335670471,-0.0012498631611379096,15.968717521429062
-1.4901161193847657e-09,432.5000000000006,0.17470703125,512,0.05127614209351666,17,174080,0.008898054198380124,162.75,0.0,335.14,0.0026936523599829345,1.751350998133421,-0.001084101373271551,15.968717694282532
2.6077032089233397e-09,425.0,0.2345947265625,513,0.05176021791673745,18,184320,0.008176109070939219,162.5,25.0,332.45,0.0028756144185990706,1.7762191079556942,-0.0018688774904148885,15.968716537952423
-2.1979212760925294e-08,330.0000000000004,0.1946044921875,516,0.05304697816996207,19,194560,0.008584567822936151,157.25,25.0,332.08,0.0026401616428984196,1.7744817800819874,-0.0010891262088989606,15.96871697306633
7.450580596923829e-10,307.5000000000006,0.2421142578125,516,0.0548837047037218,20,204800,0.009794431589943997,157.5,25.0,328.19,0.003006897698242028,1.769409889727831,-0.0015611692731908988,15.96871770620346
3.725290298461914e-09,352.5000000000002,0.2003662109375,517,0.053622270609914036,21,215040,0.008428552540772216,160.0,25.0,330.67,0.0025116570548220805,1.7664889134466648,-0.0012008239187707658,15.968717151880265
-8.195638656616212e-09,327.5000000000002,0.2788330078125,518,0.05561297883503062,22,225280,0.008716400656703626,162.25,25.0,329.77,0.0032923319637461644,1.7664454087615014,-0.002182735294991289,15.968717920780183
-1.4901161193847657e-09,302.5000000000002,0.2484130859375,517,0.05057795840624231,23,235520,0.006907679508822184,147.25,25.0,327.71,0.003205424337647855,1.7758172109723092,-0.0015416231686685932,15.96871754527092
-1.080334186553955e-08,302.5000000000002,0.261572265625,518,0.05335846638143351,24,245760,0.007748574518564056,148.5,25.0,326.51,0.003716754355548346,1.7802864179015159,-0.0022515175594890026,15.968717116117478
-1.6763806343078613e-08,252.50000000000023,0.2701904296875,518,0.05284743682123012,25,256000,0.008894805749196166,133.25,25.0,324.06,0.0036082366256891874,1.7714148826897145,-0.0024959065591247053,15.968717622756959
-6.332993507385254e-09,252.50000000000023,0.2259033203125,519,0.05511319924098458,26,266240,0.008654607842129281,145.25,25.0,327.94,0.003197483204053242,1.7683791808784008,-0.0014862150612316328,15.96871697306633
3.3527612686157227e-09,250.0,0.2924072265625,519,0.05309708875910516,27,276480,0.008848161672358402,146.75,25.0,333.71,0.0038124275296354425,1.7731108963489532,-0.0020344410499092192,15.968717849254608
-8.568167686462402e-09,277.5000000000002,0.2320068359375,519,0.05605464492325957,28,286720,0.00974286104968769,160.5,25.0,336.61,0.0028196471883802587,1.7607273370027543,-0.0017189906851854176,15.968717539310456
-1.30385160446167e-08,302.5000000000002,0.2802490234375,519,0.05207482201978373,29,296960,0.00865489914031059,166.0,50.0,335.48,0.0035645326450548962,1.7750030741095544,-0.0021484509688889375,15.968717390298844
-1.1175870895385742e-08,302.5000000000002,0.212841796875,519,0.05275795900411836,30,307200,0.00975651306907821,168.0,50.0,336.5,0.0025532279613457833,1.7789172105491162,-0.0015148838407185393,15.968717736005782
4.097819328308106e-09,327.5000000000002,0.2457275390625,520,0.051562279527586984,31,317440,0.00806987427185959,166.25,47.50000000000001,337.06,0.0032475683970801584,1.7818297147750854,-0.0015305189805076224,15.96871775984764
-1.2665987014770507e-08,325.0,0.249267578125,520,0.05141547947313755,32,327680,0.007265003012798843,153.5,25.0,335.35,0.003026580494179143,1.7862672589719295,-0.0016737603335059247,15.968717646598815
3.091990947723389e-08,302.5000000000002,0.259033203125,522,0.052378494592550465,33,337920,0.006114473997564573,139.25,25.0,333.89,0.0036405240470344324,1.7719223864376545,-0.0018569322564871982,15.96871652007103
1.1920928955078126e-08,280.00000000000045,0.219287109375,522,0.052377852026133265,34,348160,0.006751502020142653,119.75,25.0,322.58,0.002848214449045372,1.7792810074985028,-0.0013556600737501868,15.968717187643051
-1.825392246246338e-08,325.0,0.2099853515625,524,0.054144557875251874,35,358400,0.008817765822112734,138.0,25.0,329.76,0.0026502360948256866,1.75574454292655,-0.001792245110118529,15.968714767694474
-2.9802322387695314e-09,452.50000000000017,0.2681396484375,524,0.052995809081876157,36,368640,0.010985533914754342,177.0,25.0,338.7,0.003373718215678423,1.7431346945464612,-0.0018249866159749217,15.968717604875565
-1.564621925354004e-08,500.0,0.2085205078125,524,0.05210496409377428,37,378880,0.010484497012475913,207.0,25.0,345.2,0.0029517827066911197,1.7649846494197845,-0.001217810938396724,15.968717724084854
7.078051567077636e-09,502.5000000000002,0.259814453125,524,0.05379740912116382,38,389120,0.00928991795390175,213.0,50.0,348.61,0.0033140696221551024,1.7708984844386577,-0.00179928188881604,15.968717950582505
-1.825392246246338e-08,502.5000000000002,0.22021484375,525,0.055505641754237924,39,399360,0.011309140382491024,208.0,50.0,342.49,0.002777991917662348,1.7697318583726882,-0.0017627014207391768,15.96871789097786
3.7252902984619143e-10,450.0,0.2093017578125,526,0.05254978234774608,40,409600,0.009052169530878017,194.0,50.0,340.6,0.002721068778390645,1.77046964392066,-0.0012890115707705264,15.96871771812439
-1.3411045074462891e-08,377.5000000000002,0.2447998046875,527,0.053628340783735684,41,419840,0.00897393397549422,195.0,50.0,341.9,0.0031208894687779322,1.7795321337878705,-0.0017822451736719813,15.96871770620346
-2.6077032089233397e-09,377.5000000000002,0.2496337890625,527,0.051742077489508695,42,430080,0.008864679701810018,182.0,25.0,335.69,0.0030897587314029805,1.7841964073479175,-0.001840963224094594,15.968717896938324
1.1175870895385742e-09,375.0,0.1875244140625,527,0.05205389403559411,43,440320,0.008869133000371222,168.75,25.0,333.37,0.00253159551666613,1.777683860808611,-0.0013758771368884482,15.96871754527092
-8.195638656616212e-09,305.00000000000045,0.3018310546875,528,0.051885095780891476,44,450560,0.006218652583527273,145.25,25.0,324.21,0.003915558659866747,1.7809286385774612,-0.002233439122210257,15.968717193603515
1.7881393432617187e-08,300.0,0.2087890625,528,0.05417726794769947,45,460800,0.008421749690427305,147.0,25.0,323.82,0.003092553438671075,1.7690863952040672,-0.0016241380530118477,15.968716955184936
2.9802322387695314e-09,250.0,0.2535888671875,528,0.04928558927433596,46,471040,0.006140199635160571,124.75,0.0,315.25,0.0035677513403129524,1.7524217896163463,-0.001677164302964229,15.96871697306633
-5.587935447692871e-09,250.0,0.24716796875,528,0.051691052476910734,47,481280,0.008619498000734893,135.5,22.500000000000007,320.61,0.003231486538874151,1.7770801395177842,-0.002001693698548479,15.968717646598815
-1.2665987014770507e-08,225.0,0.30888671875,529,0.05273185000442156,48,491520,0.006525156135882071,124.25,25.0,320.2,0.0038172891670683385,1.771045246720314,-0.002344386669938103,15.968716788291932
-2.60770320892334e-08,250.0,0.2560791015625,529,0.052694025514076745,49,501760,0.007366296014424734,134.0,25.0,327.93,0.003724696823223894,1.7618194833397864,-0.0012208507396280766,15.968717688322068
-1.862645149230957e-09,250.0,0.295458984375,529,0.051608894573189026,50,512000,0.0072481424998841245,130.75,25.0,329.66,0.0037376094304818253,1.7783170141279698,-0.0020501004364632536,15.968717604875565
-5.587935447692871e-09,275.0,0.2587646484375,530,0.04962532872300777,51,522240,0.007256790425799409,131.5,25.0,330.44,0.0037110706531962023,1.7525532454252244,-0.001956448958662804,15.968717575073242
1.1175870895385742e-09,252.50000000000023,0.256494140625,530,0.05313289098307946,52,532480,0.008530467003265586,133.25,0.0,325.83,0.0035188884261287967,1.7804297156631947,-0.0016290223313262687,15.968716877698899
-2.9802322387695314e-09,252.50000000000023,0.2622314453125,529,0.0518102832257909,53,542720,0.006956457030264573,123.0,0.0,321.55,0.0031620746868298967,1.7695145063102244,-0.0017039057423971827,15.968717402219772
-3.3527612686157227e-09,250.0,0.20498046875,529,0.052278307117119685,54,552960,0.007476826453330432,122.0,0.0,321.53,0.002522476496096715,1.7819867059588432,-0.001421284650132293,15.968717402219772
-3.7252902984619143e-10,275.0,0.2365234375,529,0.055000141041542126,55,563200,0.009356160584684404,134.0,25.0,321.46,0.0027180054512029985,1.7795741453766822,-0.0014458678262599279,15.968714594841003
-2.9802322387695314e-09,302.5000000000002,0.263623046875,530,0.05091740146078492,56,573440,0.008113722459074778,153.75,25.0,325.36,0.0033899947805934973,1.785454136878252,-0.002028106708166888,15.96871750354767
-1.7881393432617187e-08,355.00000000000045,0.2040771484375,530,0.053036598240119616,57,583680,0.010060139832603454,168.75,50.0,331.85,0.0025019178242359887,1.7840637750923634,-0.0014096350256295408,15.968717652559281
1.3783574104309083e-08,427.5000000000002,0.1900146484375,530,0.05393081018240272,58,593920,0.007904317403426831,175.75,50.0,332.48,0.0024793236169557533,1.7767917342483996,-0.0011914048034668667,15.968717437982558
8.940696716308593e-09,500.0,0.30556640625,531,0.05548628635843953,59,604160,0.008453548445390879,176.5,50.0,331.85,0.003654273066752012,1.7827661797404288,-0.0017631927883485332,15.968716514110564
6.332993507385254e-09,450.0,0.2814453125,531,0.054346453125190375,60,614400,0.008265729081949757,164.25,25.0,329.25,0.003826529287198355,1.7806258782744409,-0.0021191210795223014,15.968717378377914
5.215406417846679e-09,377.5000000000002,0.2942626953125,527,0.054479766063112,61,624640,0.007216851773637245,154.5,25.0,330.31,0.003170495708974386,1.7793390803039073,-0.0019027267167984973,15.96871766448021
-2.9802322387695314e-09,330.0000000000004,0.2087158203125,525,0.05284656148522908,62,634880,0.008487557713942806,152.75,25.0,335.06,0.002567808613343914,1.7540180370211602,-0.0013145353423169581,15.968717896938324
2.1979212760925294e-08,400.0,0.181982421875,523,0.054794740125329956,63,645120,0.010074015199279529,170.75,25.0,336.17,0.0022478825680536827,1.7721066385507585,-0.0012018405377602903,15.96871770620346
-1.2665987014770507e-08,377.5000000000002,0.2093994140625,515,0.055941548107592054,64,655360,0.010085524322130368,181.75,25.0,344.02,0.0024611489337189596,1.7679465480148793,-0.0016401465858507437,15.968717682361603
-1.7881393432617187e-08,375.0,0.2215087890625,514,0.051812434581316014,65,665600,0.009818557818107365,184.5,47.50000000000001,344.58,0.0030716929337359033,1.7494991220533849,-0.0019139910735248122,15.968717902898788
8.568167686462402e-09,300.0,0.270849609375,512,0.0528821040527219,66,675840,0.006830104522435931,163.25,25.0,343.09,0.003353629170419481,1.760145439207554,-0.0011615623443503864,15.968716323375702
-5.960464477539063e-09,302.5000000000002,0.2870849609375,511,0.052545311981405385,67,686080,0.007653279968917559,154.75,25.0,332.95,0.003557221759569984,1.779936632514,-0.0025830510112427874,15.968717360496521
