policy_entropy,advantage_norm,grad_norm,epoch_idx,P01:episode_rewards,PMM:episode_rewards,frames,episode_length,explained_variance,policy_loss,value_loss,fps,P09:episode_rewards
1.361206174492836,1.399104220122099,0.9293692896125607,1,0.0,1.2142857142857142,8000,175.5,-0.6063881343603135,0.011194988674978958,0.023960935730256098,358,2.0
1.3695489132404328,1.0462892946600915,0.194718054643009,2,0.0,1.0851063829787233,16000,169.88297872340425,-0.08302110195159912,0.0032487480551935733,0.011687088172930089,173,2.0
1.3652017521858215,1.2689082574099302,0.32144796036811824,3,0.0,1.14,24000,171.76,-0.007548370361328125,0.0006045498745515942,0.015451494191856908,206,3.0
1.3624089002609252,1.327452268525958,0.21223862932333304,4,0.0,1.48,32000,186.53,-0.008521264791488648,0.0011369079074938782,0.015511577911893256,228,3.1000000000000085
1.3630273127555848,1.360461675450206,0.22814664180064845,5,0.0,1.57,40000,191.91,0.012714421153068542,-0.0010312248184345663,0.015651779921827254,244,4.0
1.3734329390525817,1.1627049773186444,0.2137546447265013,6,0.0,1.39,48000,184.32,-0.0019606631994247437,0.0024332929006777703,0.01265420535040903,257,3.1000000000000085
1.360116423368454,1.4802592152357101,0.37594692851097194,7,0.0,1.46,56000,187.25,0.08153693675994873,0.0013696097244974225,0.019227091160064446,269,4.0
1.3705305635929108,1.4377641730010509,0.3369183355479366,8,0.0,1.8,64000,202.22,0.19281553983688354,-0.002564251838484779,0.016975715637090615,278,5.0
1.3688683915138244,1.3922069588303565,0.3309848181004343,9,0.0,2.01,72000,209.1,0.4205903255939484,0.0011095112148905174,0.015376765502151103,286,6.0
1.3451705354452133,1.7170846357941627,0.6426653305353391,10,0.0,2.02,80000,204.61,0.6521226930618286,-0.007960908023524099,0.027222983521642163,293,7.0
1.3378401100635529,1.4720150691270828,0.4190035675606332,11,0.0,2.06,88000,206.95,0.7464798879623413,-0.002669951652060263,0.015511538315331563,299,5.0
1.3418990612030028,1.522782674431801,0.4531874495140458,12,0.0,2.41,96000,220.8,0.784746635556221,-0.005777787413680926,0.017285403199493884,305,5.0
1.3269769847393036,1.1342913752794266,0.3366549529497561,13,0.0,2.3,104000,216.47,0.852872703075409,-0.003528546157758683,0.009882501732790842,309,5.1000000000000085
1.3106635677814484,1.0469121292233468,0.3058809759677972,14,0.0,2.05,112000,208.01,0.9197959625720977,-0.003438776832772419,0.00803830718388781,313,5.0
1.331925218105316,0.9522499233484268,0.25270207910832193,15,0.0,1.63,120000,189.8,0.920472594499588,-0.001035518714634236,0.006458034062525257,316,4.1000000000000085
1.3495702576637267,0.9474276211857796,0.25814393512584943,16,0.0,1.95,128000,201.58,0.9379714894294738,-0.0014415123331127688,0.0063519983942387625,319,5.0
1.3427590799331666,0.9416513612866402,0.2678638616887167,17,0.0,2.04,136000,205.3,0.9252328372001648,-0.0010369785269722343,0.006746851359785069,322,5.1000000000000085
1.3408828926086427,0.7356974495947362,0.19645273305124725,18,0.0,1.88,144000,199.35,0.9392308938503265,-0.0006389993519405835,0.004183438142936211,324,5.0
1.3499127531051636,0.7495672357082367,0.19865601222365453,19,0.0,1.81,152000,195.79,0.8997770005464554,-0.000492056259245146,0.00465026862511877,329,5.0
1.3595255422592163,0.8991196767985821,0.236681119231879,20,0.0,1.56,160000,184.46,0.9015322935581207,-0.0007658686389913782,0.006293457448773552,335,5.0
1.3365583944320678,0.8687566106021404,0.24002584792282142,21,0.0,1.8,168000,195.83,0.948738477230072,-0.001918005015468225,0.00563149007881293,342,5.0
1.347613170146942,0.7098328748345375,0.1825615276533257,22,0.0,2.2,176000,215.96,0.9504865324497223,-0.0006351525695572491,0.004180014301382471,348,5.0
1.3604046082496644,0.8506682518124581,0.2217034409141608,23,0.0,1.97,184000,206.46,0.9288457250595092,-4.3081908297608604e-05,0.005603795348142739,354,5.0
1.3529079890251159,0.8094460743665696,0.20826135290956443,24,0.0,1.95,192000,200.68,0.9257265442609787,-0.0012960276991361751,0.005580694281961769,359,5.1000000000000085
1.362508465051651,0.8278674525022507,0.24984966941707984,25,0.0,2.11,200000,206.19,0.912987876534462,-0.0014532028706526034,0.007668644952063914,363,5.0
1.3765935337543487,0.9934139114618301,0.2599084729305606,26,0.0,1.91,208000,199.15,0.9003730630874633,0.00016416163914982463,0.007341774350497872,367,5.0
1.3773536324501037,0.9149240788817405,0.23904660806573377,27,0.0,1.53,216000,186.06,0.9167083352804184,1.7098974494729192e-05,0.006598061223630793,372,4.0
1.3755414390563965,1.0580265015363692,0.2686961487435684,28,0.0,1.79,224000,197.47,0.8884954053163528,-0.00044428309833165257,0.008777166562795173,377,5.0
1.3744657015800477,0.9075482061505318,0.23604593739567487,29,0.0,1.75,232000,193.49,0.9231911200284958,-0.0014349943259730936,0.006230677784769796,377,4.1000000000000085
1.3733838391304016,0.8143379825353623,0.19876883321325564,30,0.0,1.99,240000,204.44,0.9429679089784622,0.000710885100561427,0.004853189977584407,380,5.0
1.3670989632606507,1.0458465114235878,0.26341573366706145,31,0.0,2.04,248000,207.81,0.9145049387216568,-6.607332121348008e-05,0.008144839287851938,383,5.0
1.3656608879566192,1.0376588663458823,0.2638290133462088,32,0.0,2.34,256000,214.95,0.8963356101512909,-0.0018820560997119173,0.00848273242940195,389,6.0
1.366233652830124,0.9026769125461578,0.22261478993508146,33,0.0,2.42,264000,217.57,0.8664215177297592,-0.0001630244702391792,0.006877148317289539,393,6.0
1.3615209102630614,0.9196411010622978,0.26945433559174015,34,0.0,2.26,272000,209.38,0.9192239183187485,-0.00423261925810948,0.007505399035289883,398,6.0
1.3523321294784545,0.822893026471138,0.2157864172780058,35,0.0,2.38,280000,215.95,0.9528855556249618,-0.00125664922510623,0.005677818215917796,401,6.1000000000000085
1.3505341017246246,0.8435611692070961,0.19570124132984523,36,0.0,2.54,288000,222.81,0.9466337019205093,-2.2626490572292824e-05,0.005598078945185989,404,7.0
1.367818661928177,0.8484266704320907,0.2064828287256075,37,0.0,2.43,296000,220.94,0.9450762808322907,-0.0005794014892308041,0.005799579981830902,407,6.1000000000000085
