fps,frames,value_loss,PMM:episode_rewards,epoch_idx,explained_variance,policy_entropy,grad_norm,policy_loss,P09:episode_rewards,episode_length,advantage_norm,P01:episode_rewards
401,8000,0.12700311395776226,1.275,1,-4.197233867049217,1.3252588335424662,2.9867122703558637,-0.005737374264936079,4.0,178.45,2.048799995034933,0.0
205,16000,0.018008892478155757,1.5822784810126582,2,0.005851402282714844,1.3698783123493194,0.2507259407806736,0.0028946609057311436,4.0,187.13924050632912,1.4652346727997065,0.0
268,24000,0.01161705802373035,1.86,3,-0.0011488932371139526,1.3731449282169341,0.18760465977498364,-0.0001850591693073511,4.1000000000000085,199.12,1.1135590498894452,0.0
305,32000,0.015829674552696814,1.58,4,0.006010557413101196,1.3735300946235656,0.23086041992650577,0.003004647560082958,4.0,190.27,1.3577169616520406,0.0
336,40000,0.009963093733076675,1.31,5,0.039995855689048766,1.3818668818473816,0.17903095806394045,-0.000821409675409086,4.0,176.91,0.9984784299880266,0.0
360,48000,0.01140538544017545,1.23,6,0.04296047747135162,1.3796194338798522,0.1881060615090652,0.0003264674029196613,3.0,174.0,1.0663007048889994,0.0
379,56000,0.01245485895738966,1.24,7,-0.002604714632034302,1.3754129934310912,0.19510879298083908,0.002420169896795414,3.0,171.43,1.148880110234022,0.0
395,64000,0.01230908766392531,1.21,8,-0.008611783981323243,1.377527939081192,0.21353538033181116,0.0023449401736434085,3.0,171.57,1.1010758496820927,0.0
408,72000,0.010178584168461385,1.04,9,0.09587887644767762,1.3829472196102142,0.17948338898067007,0.0015835644094113377,3.0,168.9,1.0539424869418144,0.0
420,80000,0.013938255422108341,1.18,10,0.18697203397750856,1.3837284195423125,0.23757589826204475,0.00032924613769864665,3.0,173.51,1.2420822675526142,0.0
431,88000,0.015876167785027064,1.29,11,0.41587946712970736,1.3809064841270446,0.30566663099855984,-0.005111166809656425,3.0,177.94,1.3009199583530426,0.0
439,96000,0.01392534723796416,1.6,12,0.5489677298069,1.3733276879787446,0.3289434700106631,-0.0025587926637672355,3.1000000000000085,187.94,1.3341370284557343,0.0
446,104000,0.018640410900115967,1.9,13,0.670107033252716,1.3646931505203248,0.43390745392945135,-0.005620985105051659,4.1000000000000085,199.28,1.5702688425779343,0.0
453,112000,0.01409502535359934,2.29,14,0.8022984075546264,1.338180958032608,0.3746962565193612,-0.002540981259662658,5.0,214.66,1.4081929630041123,0.0
459,120000,0.009880625725490972,2.1,15,0.8477791321277618,1.3368306970596313,0.2997871048508609,0.0018389414162083995,6.1000000000000085,205.73,1.1607462126016617,0.0
464,128000,0.008863124134950339,1.98,16,0.8985142570734024,1.3272166347503662,0.30392222490863563,-0.0029818791995057836,6.0,202.3,1.1307904404401778,0.0
469,136000,0.00682444435544312,1.83,17,0.9163724941015243,1.328911372423172,0.257243353584574,-0.001915932758274721,5.0,198.02,0.9768525326251983,0.0
474,144000,0.007823533872142433,1.89,18,0.9165361005067826,1.3430469822883606,0.26794244209991036,0.00021324225803255104,5.0,203.16,1.0419107246398926,0.0
478,152000,0.008820247497642413,1.88,19,0.9024869829416275,1.3444427371025085,0.24704550056486765,-3.000281270942651e-05,5.0,201.75,1.1018446111679077,0.0
482,160000,0.00596673002874013,2.17,20,0.9405339235067367,1.3544135725498199,0.22683446086473186,-0.0001124447278562002,6.0,211.46,0.8913491705060005,0.0
485,168000,0.005645817386684939,2.26,21,0.9473373460769653,1.3443730437755586,0.21411783746024365,-6.437242911488283e-05,6.0,215.31,0.882720018029213,0.0
488,176000,0.005008171660010703,2.3,22,0.9516485399007797,1.332083785533905,0.18315856485683402,-0.00040105432184645907,6.0,213.81,0.8213429868221283,0.0
