P01:episode_rewards,policy_entropy,frames,episode_length,epoch_idx,PMM:episode_rewards,grad_norm,explained_variance,fps,advantage_norm,policy_loss,value_loss,P09:episode_rewards
0.0,1.2932805275917054,8000,184.87179487179486,1,1.4102564102564104,4.295403994377803,-1.7312005323171615,287,2.21961256057024,-0.01495111905009253,0.13492905695355148,3.0
0.0,1.378035889863968,16000,179.95505617977528,2,1.3370786516853932,0.22347804493610604,-0.03602003633975983,226,1.2072923141345382,0.0005621876806253568,0.01425115349609996,3.0
0.0,1.3758920753002166,24000,177.6,3,1.33,0.23069741974131752,-0.004418334364891053,239,1.2754096458107234,0.001602201948990114,0.014070628570570988,3.0
0.0,1.3730213725566864,32000,173.74,4,1.25,0.21137045698689821,-0.00957202970981598,247,1.0938613947853446,0.0012824763136450202,0.011941375957194396,3.0
0.0,1.377318433523178,40000,166.52,5,1.02,0.1874503747828733,-0.06564044117927552,254,0.9921721995621919,0.0018411259616004827,0.010658281512801295,3.0
0.0,1.3732895028591157,48000,172.45,6,1.1,0.2531466186551749,0.006668450832366943,259,1.1760883875191213,0.0011841471546904358,0.013209557792069972,3.0
0.0,1.3739056289196014,56000,182.07,7,1.36,0.28236860632116234,0.012796096205711364,261,1.2739558665826918,8.182584680980653e-05,0.014463568690862303,4.0
0.0,1.378883008956909,64000,196.04,8,1.67,0.28543305201199165,0.06950629532337188,264,1.406578664854169,0.0028567441745326505,0.017509893835249386,5.0
0.0,1.377143325805664,72000,191.71,9,1.54,0.260114359487577,0.16902352333068849,267,1.207755053192377,0.0020018860559503082,0.01320727199621615,4.0
0.0,1.3835085391998292,80000,180.27,10,1.3,0.2636944344833924,-0.1376295828819275,269,1.3181278807669878,0.0016031063004629687,0.015704232943317038,3.0
0.0,1.3805361104011535,88000,185.97,11,1.49,0.26148484277194584,0.16537933349609374,272,1.2114427357912063,-0.0006060124858049676,0.013634714422551042,4.0
0.0,1.3697529125213623,96000,184.37,12,1.47,0.32604607984701545,0.20567376911640167,272,1.3920568284392356,0.0010920272686053068,0.016243394841585542,4.0
0.0,1.3613675153255462,104000,180.29,13,1.42,0.2720885973180206,0.3473664981126785,272,1.259205989688635,0.0018229320249520242,0.013401006195344962,4.0
0.0,1.3756542158126832,112000,192.1,14,1.68,0.5414670640849475,0.10052227199077607,273,1.5800978934764862,0.0010745161389968416,0.02798331653189962,4.0
0.0,1.378558259010315,120000,184.81,15,1.43,0.23421913036892456,0.25277681946754454,274,1.0781380997598171,-0.00024478679813910275,0.010330440696561709,3.0
0.0,1.361139030456543,128000,178.02,16,1.32,0.669589703447284,0.29809770464897156,274,1.601200329065323,-0.004178966398176272,0.033952346299192866,3.0
0.0,1.3814335024356843,136000,184.46,17,1.45,0.38547685764418604,0.41418392956256866,275,1.3343800178170204,-0.004484587203478441,0.014355510896421038,4.0
0.0,1.3341911125183106,144000,188.09,18,1.61,0.5009907304705871,0.693475581407547,276,1.584015280008316,-0.003602917538373731,0.019441029799636453,4.0
0.0,1.3298496532440185,152000,211.37,19,2.21,0.40315609340502256,0.7343735432624817,277,1.4361170494556428,-0.0025006772251799704,0.014541683992138132,5.1000000000000085
0.0,1.3645739459991455,160000,226.23,20,2.63,0.44295661869236297,0.8126441437005997,278,1.4230966404080392,-0.00692712565556576,0.01563051627832465,8.100000000000009
0.0,1.3628477132320405,168000,219.45,21,2.46,0.410353319599961,0.8296291875839233,278,1.2595606085658073,-0.006655263738211943,0.0120130122336559,8.0
0.0,1.3509833061695098,176000,201.4,22,1.9,0.4577075900622699,0.8201799070835114,279,1.275643606185913,-0.0057168711291160435,0.012093579965876415,5.0
0.0,1.3670195901393891,184000,207.19,23,2.06,0.40818803582463936,0.8529233187437057,280,1.331558457016945,-0.0008859162766020745,0.012805567209143191,5.0
0.0,1.3513589560985566,192000,212.26,24,2.26,0.37588835525508024,0.8950393819808959,280,1.1912097859382629,-0.002585280949715525,0.00987368099624291,5.1000000000000085
0.0,1.3430303525924683,200000,205.3,25,2.02,0.27765030347141384,0.9161604422330857,280,0.9765113747119903,-0.001612507631070912,0.006832369073526934,5.0
0.0,1.3368906092643738,208000,198.58,26,1.88,0.2784376146034556,0.9347449338436127,281,0.9602399039268493,-0.0007921926893322962,0.0067768139543477445,6.0
0.0,1.3564358389377593,216000,200.32,27,1.95,0.25344294696626457,0.9335032886266709,282,0.8557873260974884,-0.00037988937314366924,0.005357613720698282,6.0
0.0,1.333596751689911,224000,196.39,28,1.8,0.22975901749902536,0.9668170440196991,282,0.7382231053709983,-0.0004163613232958596,0.003859949929174036,5.0
0.0,1.339093852043152,232000,197.78,29,1.78,0.27216955791326014,0.9591338616609574,282,0.8500087469816208,-0.0008393833602349332,0.005679376224870794,5.0
0.0,1.3351107299327851,240000,206.28,30,2.05,0.2690927457392069,0.940188753604889,283,0.9552687272429466,-0.0014125453989254312,0.007279693287564441,5.0
0.0,1.3338972449302673,248000,214.13,31,2.27,0.21355832839456235,0.9468772184848785,284,0.7772358246147633,-0.0008047614543465897,0.004704205336456653,6.0
0.0,1.3640284883975982,256000,207.41,32,2.14,0.2553763698020186,0.9261672228574753,285,0.9413105463981628,-0.00143954135972308,0.006863696700893342,5.1000000000000085
0.0,1.3638451957702638,264000,184.32,33,1.54,0.24847921105408724,0.9162421852350235,287,0.8975117602944374,-0.00032293886848492546,0.006442870777682401,5.0
0.0,1.3754595935344696,272000,194.73,34,1.78,0.3083079430282654,0.8869948464632035,287,1.148577392399311,0.00013877737976145,0.009946690213400871,5.0
0.0,1.3401277244091034,280000,217.32,35,2.39,0.2278961642322262,0.9491060072183609,288,0.8395667490363121,-0.0013443220326007576,0.0055299882846884425,7.0
0.0,1.3480137276649475,288000,222.02,36,2.47,0.18170162166475687,0.968741227388382,288,0.6692591932415962,-0.0004974374443190754,0.0035666325443889945,6.0
0.0,1.3605160105228424,296000,223.28,37,2.51,0.2575626221751076,0.9388702589273453,288,0.9472532731294632,-0.001325726427603513,0.0073661956272553656,7.0
0.0,1.3671078276634216,304000,219.4,38,2.37,0.2602285291721795,0.9348917073011398,289,0.940356758236885,-0.0014325592426030198,0.0068325905618257824,6.0
