P01:episode_rewards,grad_norm,frames,policy_entropy,policy_loss,fps,explained_variance,P09:episode_rewards,epoch_idx,value_loss,advantage_norm,PMM:episode_rewards,episode_length
0.0,40.365305558370565,8000,1.343419914841652,-0.15485428862972184,538,-1.4823265796899796,2.0,1,1.823009295537122,4.7193071855604645,0.9047619047619048,165.14285714285714
0.0,0.1290091144171083,16000,1.3631862497329712,0.0001112121797632426,316,-6.125663185119629,3.0,2,0.004737566878038706,0.6467661263793707,1.0736842105263158,170.96842105263158
0.0,0.12879560354220929,24000,1.3726868188381196,0.0011964894414995797,357,-5.15496314406395,3.0,3,0.007100630384861688,0.8419542058371008,1.26,177.05
0.0,0.08303786465757808,32000,1.3794331669807434,-0.0001590030177612789,380,-6.825849563479424,3.0,4,0.005261204406094748,0.6991013100929558,1.41,183.99
0.0,0.08941751578017239,40000,1.3838588392734528,0.0003086550394073129,395,-3.843508975505829,3.0,5,0.005064106920385712,0.6627365130931139,1.29,179.8
0.0,0.08370366485445045,48000,1.3831830894947053,-4.025245766342778e-05,404,-4.182082205414772,2.1000000000000085,6,0.004762605262351371,0.6124415042996406,1.0,166.98
0.0,0.39334083406720616,56000,1.3807788586616516,0.00032828797528054564,410,-1.8687633454799653,4.0,7,0.009458234437979628,0.9540716957300901,1.33,182.04
0.0,0.1283733306796233,64000,1.3796250450611114,-0.0007781640494249586,415,-2.81170878469944,4.0,8,0.005847708881437938,0.7502015008032322,1.59,192.05
0.0,0.12399792632038813,72000,1.3797608637809753,-0.0006199724568296005,419,-1.5731626677513122,3.1000000000000085,9,0.006138248973575173,0.7801409929990768,1.44,185.48
0.0,0.09913411162999802,80000,1.3808479511737823,0.00044476835493696855,423,-2.9234770911931993,3.0,10,0.0048240044295562255,0.6396724379062653,1.34,182.93
0.0,0.10255332730620265,88000,1.3819859778881074,0.0005284112648951123,423,-2.485378626585007,2.1000000000000085,11,0.00493321817627475,0.6499005154520273,1.15,174.13
0.0,0.114066583610856,96000,1.3810409212112427,-0.0007585625648789574,426,-2.9089406675100324,3.0,12,0.0056155937819130485,0.7111175847426057,1.21,176.52
0.0,0.1288534743173029,104000,1.3834026789665221,-0.001955678134399932,428,-2.3412580144405366,4.0,13,0.005501761216701198,0.7067591865733266,1.37,181.99
0.0,0.10852761638913679,112000,1.3827440428733826,0.000941844660865172,429,-4.319602904319763,3.1000000000000085,14,0.004500098194121165,0.6037556195631624,1.26,178.02
0.0,0.10593073707281885,120000,1.3835611391067504,0.0001954343270335812,430,-2.706674270033836,3.0,15,0.00471745138100232,0.6637354369461537,1.12,173.31
0.0,0.11800253258779334,128000,1.3759495866298677,0.00026459522639925124,431,-2.9446841633319853,3.0,16,0.004596015215029183,0.6541368154808879,1.15,174.2
0.0,0.3124016765598991,136000,1.3831344473361968,0.0076603203514241614,432,-2.24446880698204,3.0,17,0.0085098670465959,0.8103844845294952,1.3,180.2
0.0,0.13856583946742684,144000,1.3855181550979614,-2.7918879495700822e-05,433,-3.3949178814888,3.0,18,0.004859089711571869,0.7095269449800253,1.34,180.24
0.0,0.12100279426160661,152000,1.3835602259635926,-0.0006659834709716961,434,-3.356315867304802,3.0,19,0.0034625500141555678,0.5673608978837729,1.18,174.58
0.0,0.11770461878365479,160000,1.384897894859314,0.00027253358450252563,435,-2.8683254486322403,3.0,20,0.002620274181208515,0.5100840747356414,0.88,163.1
0.0,0.11459597480171572,168000,1.3852756273746492,0.0003788486175471917,435,-6.153073313832283,3.0,21,0.0036398764066871083,0.6171939131617546,1.04,168.16
0.0,0.13577754925857943,176000,1.3823496520519256,-0.00016389163807616568,436,-4.219110049605369,3.0,22,0.00354351282116113,0.5938925383985043,1.3,177.18
0.0,0.12054679333031376,184000,1.3838193011283875,-0.0001765698683448136,437,-4.996598886847496,3.0,23,0.002846460758592002,0.5398431096225977,1.24,174.97
0.0,0.10274204853752428,192000,1.384983513355255,0.00019189568876754493,437,-2.7425584530830385,3.0,24,0.002872912337988964,0.5325070513039827,1.26,175.95
0.0,0.0974590355806586,200000,1.3848331463336945,-8.13310498779174e-05,437,-4.775253037214279,3.0,25,0.0028334398266633798,0.5147404929250479,1.14,172.39
0.0,0.09983822538785071,208000,1.3851057660579682,0.0003061846329364926,437,-3.9834127205610277,3.0,26,0.002831480954628205,0.5352457424253225,1.17,174.98
0.0,0.08611807690038313,216000,1.3814680147171021,-0.00010728358385676984,438,-5.108865855336189,3.0,27,0.002002175667166739,0.43704161658883095,1.22,176.83
0.0,0.09492729437507123,224000,1.3821932137012483,0.0002409893973964472,438,-3.917064071893692,3.0,28,0.0025474557147936137,0.48990656439214947,1.3,176.7
0.0,0.10489831163228965,232000,1.3834817838668823,0.00027786541446403137,439,-4.287064408659935,3.0,29,0.0032572238313332493,0.5774024261161685,1.28,175.46
0.0,0.47468375372976646,240000,1.3842749118804931,-0.010652839225567732,439,-2.9351129543781282,3.0,30,0.007147651585564745,0.6110824923962355,1.4,180.97
0.0,0.09455634096840906,248000,1.3836040103435516,-0.00028631897817831486,439,-3.3259172224998474,3.1000000000000085,31,0.0024229245330934647,0.4911444801837206,1.43,184.6
