P01:episode_rewards,advantage_norm,episode_length,clip_fraction,explained_variance,policy_loss,approx_kl_divergence,P09:episode_rewards,fps,frames,value_loss,epoch_idx,policy_entropy,PMM:episode_rewards,grad_norm
50.0,15.968717938661575,340.48148148148147,0.433447265625,-3.4925815738737582,0.07560073457098042,15920.287764021166,320.0000000000001,423,10240,2183064.553966682,1,1.6153077606402804,191.66666666666666,5557758.687404053
45.000000000000014,15.968717777729035,341.6949152542373,0.24921875,-2.6077032089233397e-09,-0.0013893939249101095,0.003385530979252849,280.00000000000006,332,20480,0.008459231766937591,2,1.7773809477686882,164.40677966101694,0.05406449576834375
25.0,15.96871749162674,337.4725274725275,0.2541015625,-1.9371509552001954e-08,-0.0020286307866626886,0.0034080641902392017,275.0,377,30720,0.008294281187681917,3,1.7807598829269409,160.98901098901098,0.05277147284953555
25.0,15.968717712163926,332.83,0.274462890625,-1.080334186553955e-08,-0.0017433261913538446,0.003706531850002648,325.0,404,40960,0.007805956762035748,4,1.7787580624222756,163.25,0.051733756305108805
25.0,15.968717509508133,328.42,0.2471435546875,-1.5273690223693846e-08,-0.001643103528476786,0.00323268048736054,400.0,419,51200,0.00870172765407915,5,1.7848881110548973,166.0,0.05319118875791227
0.0,15.968717271089554,330.78,0.2459716796875,-3.7252902984619143e-10,-0.0016422233016783138,0.003358535926076911,475.0,436,61440,0.0073264812236402575,6,1.7787510193884373,176.25,0.05229226533716268
0.0,15.968717682361603,327.91,0.1933837890625,-6.7055225372314455e-09,-0.001524149212127668,0.002831914295950355,430.0000000000004,445,71680,0.011742118467009278,7,1.759932667016983,175.5,0.05308553509402123
0.0,15.968717700242996,331.95,0.2396728515625,-1.825392246246338e-08,-0.001909992957371287,0.003217176944235689,425.0,452,81920,0.00811290000892768,8,1.7716711983084679,178.75,0.054759443766278705
25.0,15.96871750354767,332.4,0.22529296875,1.1920928955078126e-08,-0.00157994490400597,0.003308192143742872,400.0,457,92160,0.008506359254033669,9,1.7693944036960603,176.25,0.053328955272841774
25.0,15.968717807531357,335.77,0.27509765625,2.9802322387695314e-09,-0.0019922437681088923,0.0034767381968435983,375.0,463,102400,0.009882050446321955,10,1.7675297468900681,164.25,0.05454104533893346
25.0,15.96871770620346,333.85,0.1796142578125,-1.30385160446167e-08,-0.0012725906643026974,0.002301827623642794,352.5000000000002,468,112640,0.009061041045242746,11,1.7717801369726658,169.0,0.051106187877352785
50.0,15.968717908859253,342.37,0.230859375,-4.097819328308106e-09,-0.0018820677963958588,0.0031789844054173956,350.0,473,122880,0.009608953073620797,12,1.7588282845914365,181.25,0.05535588359041752
50.0,15.968717765808105,344.96,0.2931884765625,-7.450580596923829e-10,-0.0023789947608747752,0.004187136414907399,362.5000000000011,476,133120,0.009530030981113668,13,1.7691035717725754,191.5,0.05447385416094493
50.0,15.968712443113327,343.63,0.2658935546875,-1.862645149230957e-09,-0.002118211751439958,0.003584140921088874,360.0000000000009,478,143360,0.007592858107477696,14,1.7806566685438157,178.0,0.05201480818055404
50.0,15.968717646598815,337.24,0.23896484375,1.1175870895385742e-08,-0.0015123556680919138,0.003192866376485881,280.00000000000045,480,153600,0.00784349720006503,15,1.777979002147913,162.25,0.05225969004371992
