P01:episode_rewards,fps,episode_length,PMM:episode_rewards,explained_variance,epoch_idx,policy_entropy,policy_loss,value_loss,grad_norm,advantage_norm,P09:episode_rewards,frames
0.0,355,185.0731707317073,1.3414634146341464,-4.7594818687438964,1,1.3405933856964112,-0.012338151030126027,0.08921105771441944,2.393663045963606,2.1674101357162,4.0,8000
0.0,173,183.125,1.3522727272727273,-0.08699997067451477,2,1.3714012205600739,0.000380948088131845,0.012253770867991988,0.25580130610757146,1.1177835535630585,3.299999999999997,16000
0.0,209,172.32,1.14,0.02488593876361847,3,1.3739447391033173,-0.0012619999042362906,0.011182042019408983,0.26255920238665753,1.0360891041904687,3.0,24000
0.0,233,171.51,1.13,-0.006931691765785218,4,1.383319798707962,0.0019876210679649377,0.014852691769210651,0.25581077826406173,1.2597480884939432,3.0,32000
0.0,252,182.68,1.41,-0.006231451034545898,5,1.3807390546798706,0.0014249895414104685,0.014806889717347076,0.22823789517228593,1.3024056142568587,3.0,40000
0.0,265,190.06,1.56,0.1055466902256012,6,1.3777328443527221,0.0027377221576170997,0.014697145192949393,0.2752582574708743,1.302935447320342,4.0,48000
0.0,275,190.89,1.62,0.25250802099704744,7,1.3609390664100647,0.0009749414258112666,0.014182974984323663,0.308085067831602,1.2791840368509293,4.0,56000
0.0,286,203.98,2.0,0.35349888384342193,8,1.3610285580158235,-0.001378731819568202,0.022930924968677574,0.5456945633354496,1.6574939173460006,5.0,64000
0.0,294,212.32,2.18,0.6259214764833451,9,1.354196194410324,-0.0034833499521482736,0.02065971796750091,0.609197832463312,1.5774490651488304,5.0,72000
0.0,299,217.18,2.29,0.7585152685642242,10,1.3570791840553285,-0.0007282340258825571,0.014154778886586427,0.41624077169827856,1.3855217182636261,5.0,80000
0.0,304,209.26,2.04,0.8420590847730637,11,1.3208045220375062,-0.005425100936554373,0.009575986517011187,0.3737142725401763,1.1497804364562034,5.0,88000
0.0,309,207.48,2.05,0.8550655519962311,12,1.3416956913471223,-0.004075612612068653,0.012174458708614111,0.4215417458338608,1.2262433311343193,5.0,96000
0.0,313,196.77,1.74,0.8649738669395447,13,1.334862108230591,0.004078616768820212,0.013098855628632009,0.510126020134452,1.2271261316537858,5.0,104000
0.0,317,199.38,1.83,0.9240764135122299,14,1.3375393700599671,-0.0007458249029150465,0.005950987871037796,0.2761143113742455,0.9083560445904731,5.0,112000
0.0,320,200.65,1.98,0.9402653837203979,15,1.3222798323631286,-0.0023450866181519816,0.007248108703061007,0.2988171069378298,0.9658687728643417,5.1000000000000085,120000
