P09:episode_rewards,PMM:episode_rewards,explained_variance,policy_loss,approx_kl_divergence,epoch_idx,advantage_norm,grad_norm,frames,fps,policy_entropy,clip_fraction,episode_length,value_loss,P01:episode_rewards
255.00000000000009,145.0,-5.206886604428291,0.038367405242752284,6550.897492466193,1,15.96871746778488,22929889.186286643,10240,477,1.6176197717397827,0.456689453125,360.48,12785551.289644554,25.0
550.0,199.55357142857142,-3.7252902984619143e-10,-0.001741579858935438,0.002827538933274809,2,15.96871777176857,0.053859815392617735,20480,387,1.7781713858246804,0.1910400390625,360.125,0.010439434609179444,25.0
440.00000000000057,182.4712643678161,-6.332993507385254e-09,-0.0015548370458418504,0.0036603978559412555,3,15.968713110685348,0.053936169760815465,30720,427,1.7756721839308738,0.265234375,348.4942528735632,0.007556512701544449,25.0
410.00000000000085,177.75,3.725290298461914e-09,-0.0017400364704371896,0.00316113171862753,4,15.968717616796493,0.05435891022912517,40960,452,1.7843481242656707,0.2178955078125,340.87,0.008738013741458417,25.0
300.0,156.25,-9.313225746154785e-09,-0.0017825436105340486,0.0035424611453890977,5,15.968717205524445,0.054626090233421895,51200,469,1.7839296475052833,0.2555419921875,338.16,0.008147705599702704,25.0
325.0,166.5,-3.725290298461914e-09,-0.001675917600368848,0.0025883193806635063,6,15.968717592954636,0.05509152082655825,61440,481,1.7705550402402879,0.1959716796875,340.08,0.011388073887428619,25.0
330.0000000000004,180.25,-1.2293457984924316e-08,-0.0020348141031718116,0.003258802201223432,7,15.968717747926712,0.0542054766473534,71680,491,1.7792434997856617,0.2372802734375,339.5,0.00910714505444048,47.50000000000001
325.0,164.25,-3.3527612686157227e-09,-0.002010043532936834,0.00493522467402272,8,15.968712568283081,0.04953324719655909,81920,499,1.7794077277183533,0.330419921875,333.77,0.005842198825507694,25.0
405.00000000000045,164.5,2.9802322387695314e-09,-0.0021001650689868256,0.0030839429564593957,9,15.96871738433838,0.05376387895061165,92160,503,1.782038913667202,0.240185546875,333.32,0.0095056190075411,22.500000000000007
327.5000000000002,150.75,7.078051567077636e-09,-0.0009544012937112711,0.002496223790694785,10,15.968715226650238,0.05544595985322905,102400,504,1.7853699311614037,0.195947265625,329.22,0.009048438575882755,25.0
275.0,160.25,8.195638656616212e-09,-0.0019495189342705998,0.0032674461270289614,11,15.968717831373215,0.05351031211761794,112640,505,1.7750148922204971,0.24951171875,330.74,0.008353869890834175,25.0
250.0,148.5,-1.1548399925231934e-08,-0.0014109328840277158,0.0027731483497660746,12,15.968717610836029,0.054868641178102896,122880,509,1.7748465418815613,0.19853515625,327.9,0.009004434004600626,25.0
227.5000000000002,142.75,3.3527612686157227e-09,-0.002556271573121194,0.004270559261152584,13,15.968717741966248,0.053463921649619675,133120,511,1.7829773627221583,0.3058349609375,327.19,0.007195793579376187,25.0
227.5000000000002,136.5,-8.940696716308593e-09,-0.0010304916293534915,0.0031918819327984237,14,15.96871023774147,0.05359441199001606,143360,513,1.7814620211720467,0.220166015625,326.51,0.0064972940945260405,25.0
227.5000000000002,133.5,-4.8428773880004884e-09,-0.0021302648576238424,0.0031977009848560556,15,15.968717581033706,0.054810084287298576,153600,514,1.780259434878826,0.2451416015625,323.97,0.009703114016883774,25.0
277.5000000000002,141.5,-7.078051567077636e-09,-0.001963118439016398,0.003373117265039127,16,15.96871777176857,0.05551632897508969,163840,517,1.7774385198950768,0.2678466796875,327.48,0.009262211488567118,25.0
302.5000000000002,157.75,-7.450580596923829e-10,-0.0014892908964611706,0.002924878887711202,17,15.96871730685234,0.05493244883322278,174080,518,1.7772696599364282,0.2378173828125,332.97,0.008185703887556883,25.0
325.0,166.5,8.940696716308593e-09,-0.0023479928302549526,0.003438460081588346,18,15.9687175989151,0.05494689477621286,184320,519,1.7808272697031498,0.2883544921875,333.52,0.008117505105019518,25.0
325.0,163.5,-2.0861625671386717e-08,-0.0012449748912331416,0.0029908294290279967,19,15.96871675848961,0.05559406362559975,194560,521,1.7727379091084003,0.1966796875,335.48,0.00873479713659151,25.0
357.5000000000007,166.25,-1.1920928955078126e-08,-0.0016981751457933569,0.003081842298468018,20,15.968699729442596,0.053454980868137505,204800,523,1.7830362536013127,0.231494140625,330.78,0.008313437437123738,25.0
355.00000000000045,161.5,1.4901161193847657e-09,-0.001145887212260277,0.0025809773957064406,21,15.968717509508133,0.05452046296170526,215040,525,1.771262515336275,0.18935546875,332.48,0.009228081135006505,25.0
477.5000000000002,176.75,-1.0058283805847169e-08,-0.0020985099967219868,0.0035791299422044177,22,15.968717700242996,0.05496411988006318,225280,526,1.7815871566534043,0.2789306640625,332.89,0.00866290567209944,25.0
405.00000000000045,174.0,-3.725290298461914e-09,-0.0019809680175967514,0.004011896035223117,23,15.968717515468597,0.0501670977429407,235520,526,1.774333369731903,0.2807861328125,334.67,0.007895494339618381,47.50000000000001
405.00000000000045,166.5,0.0,-0.001764870825354592,0.0034893202840748927,24,15.968717610836029,0.05612442821368533,245760,528,1.7735418893396855,0.2716552734375,331.08,0.009261753082591894,25.0
325.0,147.5,-4.097819328308106e-09,-0.001503690149183967,0.0028051030385313424,25,15.9687060713768,0.052263247359292594,256000,527,1.7683852337300778,0.22421875,328.9,0.007446959905581707,25.0
280.00000000000045,147.25,-1.4156103134155273e-08,-0.0017650872287049424,0.003728672208887929,26,15.968717050552367,0.05368052325288625,266240,527,1.7822885692119599,0.2840087890625,329.03,0.007559893902680415,25.0
260.00000000000085,143.0,6.7055225372314455e-09,-0.0014209130815288518,0.002916309331067168,27,15.968717420101166,0.05212909909971432,276480,528,1.774023324251175,0.246435546875,327.48,0.007866945222713185,25.0
252.50000000000023,136.0,1.1548399925231934e-08,-0.001506665058695944,0.002943088244677483,28,15.9687175989151,0.054796033628140825,286720,529,1.7694946460425853,0.2442138671875,325.11,0.007891174761243746,22.500000000000007
275.0,133.5,-8.568167686462402e-09,-0.000987527122924803,0.0024254323116451814,29,15.968717360496521,0.052742773211801666,296960,529,1.7641557931900025,0.18515625,319.11,0.00798390231079793,25.0
275.0,139.25,-1.30385160446167e-08,-0.0012904559654998593,0.002815067964974105,30,15.968717736005782,0.054155500945098134,307200,529,1.7699462354183197,0.193896484375,322.36,0.008743016771404655,25.0
275.0,143.0,1.862645149230957e-08,-0.0022426192059356253,0.0036955190496883008,31,15.968717813491821,0.05267528515841054,317440,530,1.7738210245966912,0.282373046875,323.7,0.008980766048989609,25.0
