frames,explained_variance,fps,policy_loss,value_loss,epoch_idx,PMM:episode_rewards,P09:episode_rewards,policy_entropy,advantage_norm,episode_length,P01:episode_rewards,grad_norm
8000,-5.817151705026626,410,-0.007393250538734719,0.05146919340587374,1,1.35,3.0,1.353105481863022,1.7721738815307617,176.325,0.0,1.7070161400249766
16000,-0.1104050987958908,205,0.0021391277760267257,0.0117614963620872,2,1.118279569892473,2.799999999999997,1.377874859571457,1.0732846679538488,170.05376344086022,0.0,0.2608723582882709
24000,-0.014357112050056457,265,-0.00040338721872103635,0.009705286317030186,3,1.04,3.0,1.378157036304474,0.9251151941344142,168.18,0.0,0.18596198356574833
32000,-0.04958094954490662,299,0.0040674437087000114,0.010594593629139126,4,0.88,2.0,1.3739652812480927,0.9486970917880535,161.64,0.0,0.19069707243744413
40000,0.0003871673345565796,329,0.0006218469934538007,0.01018464145483449,5,0.95,2.0,1.3801888465881347,1.0270143561810254,164.57,0.0,0.1696974626232607
48000,0.009169146418571472,354,0.00041789828799664974,0.015212241474473557,6,1.18,3.0,1.3782485353946685,1.2935145023465155,174.85,0.0,0.22022652509981142
56000,0.010690703392028808,372,-0.00031856053159572183,0.011575912967091427,7,1.2,3.0,1.37524209856987,1.0962097243964672,176.54,0.0,0.17984712930337277
64000,0.02019157409667969,389,0.000915895647049183,0.014728431225739769,8,1.25,3.0,1.3781252539157867,1.2808269705623387,178.13,0.0,0.216373000077578
72000,0.026932244300842286,402,-0.0005641223368002101,0.014666654038592242,9,1.49,3.1000000000000085,1.3729649806022644,1.2977644090354443,188.31,0.0,0.25934136216520576
80000,0.1367044872045517,413,0.0012327171541983261,0.01635063154855743,10,1.53,3.0,1.3677720856666564,1.3913305707275867,189.97,0.0,0.2822012423560749
88000,0.20475735068321227,421,-0.0024632076689158565,0.017542832332255783,11,1.37,3.0,1.3806271409988404,1.341916402131319,182.29,0.0,0.368365948426727
96000,0.3997393262386322,429,0.0007544217459508217,0.01623711457301397,12,1.42,4.0,1.3687724816799163,1.4126810640096665,183.0,0.0,0.3864500547879666
104000,0.6355078041553497,437,-0.005187920790631324,0.01702762789442204,13,1.84,4.0,1.3682797634601593,1.5308120322227479,197.35,0.0,0.41757125606259327
112000,0.7478313428163529,443,-0.0020086556114256382,0.013413581545464695,14,1.83,5.0,1.3606228005886079,1.354453752040863,198.16,0.0,0.35866118031343164
120000,0.7652800017595291,448,-0.004285668163211085,0.010815473099355585,15,1.66,4.1000000000000085,1.3652141797542572,1.210949676334858,192.5,0.0,0.32180111591842125
128000,0.7843273669481278,453,-0.0006819665442162659,0.011381734558381141,16,1.52,4.0,1.3614408385753631,1.2513258162140846,185.97,0.0,0.3480506664858586
136000,0.8154106467962265,457,0.0012575675314292311,0.01134159112465568,17,1.74,5.0,1.370885181427002,1.2353796058893203,194.96,0.0,0.33336091611483587
144000,0.8333987224102021,461,-0.0006722011389501859,0.011095508115831763,18,1.93,6.0,1.3495750033855438,1.2366457384824754,200.13,0.0,0.30666182505568074
