episode_length,grad_norm,policy_entropy,value_loss,P01:episode_rewards,fps,advantage_norm,explained_variance,P09:episode_rewards,PMM:episode_rewards,epoch_idx,policy_loss,frames
177.925,5.629213502661067,1.328762181699276,0.2094953481209268,0.0,405,2.309481128156185,-5.364931741952896,3.0,1.275,1,-0.03304235205170698,8000
188.95,0.27002129922073587,1.3386929214000702,0.016586293875188857,0.0,204,1.3657877622172236,-0.03901040256023407,4.0,1.625,2,0.0015425914764637127,16000
199.95,0.21688472044911816,1.3760172629356384,0.013965132138346235,0.0,266,1.2160426661372186,-0.006081600785255432,5.0,1.93,3,0.003020293086883612,24000
189.88,0.2181767460015078,1.3747375190258027,0.01276932885268252,0.0,302,1.1452978261560203,-0.08919431507587433,4.0,1.67,4,0.0009584971632284578,32000
183.19,0.2627688153920671,1.3809464907646178,0.01562956237965409,0.0,334,1.3499897314608098,-0.009503355026245117,4.0,1.41,5,0.0009947216720320284,40000
187.02,0.20643141224649675,1.383996673822403,0.011816630570319831,0.0,358,1.1316684943437576,-0.009851771593093871,4.0,1.51,6,0.00033512338530272245,48000
186.55,0.26652055696414456,1.3659228038787843,0.015482097488929867,0.0,377,1.2910110779106616,-0.03848763644695282,4.0,1.47,7,0.0008191461430396885,56000
177.77,0.18245956767307409,1.3563627314567566,0.009150022266130691,0.0,393,0.9664085694402457,-0.05590746879577637,3.0,1.27,8,-0.000491625246067997,64000
169.43,0.2122304398512208,1.3605795967578889,0.011784884307635366,0.0,407,1.1444859088957309,0.01987477958202362,3.0,1.08,9,0.002041842244216241,72000
169.93,0.19005084575746448,1.3672393369674682,0.009167073972930666,0.0,418,0.9791214107722044,0.030964138507843016,3.0,1.1,10,-0.000789725306967739,80000
174.29,0.3300783858226763,1.3685480010509492,0.01654398790546111,0.0,429,1.3705313548445701,-0.019400721192359926,3.0,1.17,11,-0.0008870076615130529,88000
178.8,0.31793438214075226,1.369339998960495,0.013522515828954055,0.0,437,1.3104259373247624,0.07490207076072693,3.0,1.27,12,-0.0027651693811640145,96000
179.94,0.6466999194091683,1.3649088215827943,0.026992305711901282,0.0,444,1.5119180019199847,0.10454016625881195,3.0,1.37,13,-0.009932475381210679,104000
177.16,0.38959394411812587,1.3652994239330292,0.015988045479170977,0.0,451,1.4609373542666435,0.44400925159454346,4.0,1.35,14,-0.0017612046546855709,112000
185.74,0.3952063986243565,1.3631723260879516,0.01422863342333585,0.0,457,1.3937676385045052,0.2549173223972321,4.0,1.55,15,-0.0007173468515975401,120000
180.63,0.34668724878256596,1.375683090686798,0.011807821118563879,0.0,462,1.2741852222383023,0.6292599076032639,3.0,1.38,16,0.001395409354590811,128000
174.33,0.3326980087432001,1.352843337059021,0.01025930276606232,0.0,467,1.1715535186231136,0.7228627806901932,3.1000000000000085,1.17,17,-0.00417005801020423,136000
186.24,0.39769822224282203,1.3412628424167634,0.011590389710618184,0.0,471,1.2803654125332833,0.836573240160942,5.0,1.52,18,-0.0037749367393553257,144000
191.76,0.26951388425522416,1.3384605157375336,0.008308493799413555,0.0,474,1.0832543721795083,0.8669982939958573,5.0,1.76,19,-0.0020551542402245104,152000
201.23,0.2984418130343298,1.3384752798080444,0.007986543087754398,0.0,478,1.0454869517683982,0.8949737215042114,5.0,1.93,20,-0.0006108171753294301,160000
197.53,0.35269747933922163,1.3449164855480193,0.00953510450432077,0.0,481,1.1359425112605095,0.8866344511508941,5.0,1.84,21,-0.0051822534962411735,168000
206.26,0.2642293406543301,1.353988697528839,0.007537340627750382,0.0,485,1.048313812315464,0.9113163805007934,5.0,2.01,22,0.0007924549598465092,176000
214.07,0.29129038595832046,1.3554217994213105,0.007925964202149772,0.0,487,1.0503352084755897,0.928086012005806,5.1000000000000085,2.27,23,-0.0019803816505009307,184000
209.32,0.21723958513289227,1.3484243547916412,0.005727895810559857,0.0,489,0.8499605593085289,0.9221442776918412,6.300000000000026,2.26,24,-0.0008403984020878851,192000
202.19,0.23637363401557288,1.335892745256424,0.005698485508328304,0.0,491,0.8828856268525124,0.9453719246387482,5.0,2.07,25,-0.003061616690538358,200000
195.06,0.19245794681538192,1.347787207365036,0.004057661758852191,0.0,493,0.7394377791881561,0.9571038144826889,5.0,1.83,26,-0.0002056532184360549,208000
204.62,0.1870051943362407,1.342903116941452,0.004368748575798236,0.0,496,0.7760747748613358,0.9508624571561813,5.0,2.03,27,-0.00020384750241646542,216000
200.25,0.17709524151453507,1.3541674172878266,0.0040328963585488965,0.0,497,0.689945513010025,0.9587034898996353,5.0,1.87,28,-0.0012340589946688851,224000
200.13,0.1385973807016923,1.3457559001445771,0.002200903797929641,0.0,503,0.5486028239130973,0.9801287132501603,5.0,1.82,29,-0.0002183203670028888,232000
196.16,0.21668749894251363,1.3637190890312194,0.0056266500390483995,0.0,509,0.840087893307209,0.9401247245073319,5.0,1.7,30,-0.0003743989263602998,240000
219.67,0.2167612700594213,1.3587191033363342,0.005553747490630485,0.0,514,0.852470725774765,0.9423038589954377,5.1000000000000085,2.31,31,-0.0008343218016671017,248000
209.75,0.1300279114812429,1.349905698299408,0.00264934214646928,0.0,519,0.5583256748318672,0.9693211710453034,5.0,2.11,32,-0.0005060120771395305,256000
200.94,0.19178262971959806,1.349832639694214,0.0051108088210457935,0.0,521,0.7902827608585358,0.9531627863645553,5.0,1.91,33,-0.0008699909103961545,264000
198.22,0.15757918795594508,1.339887992143631,0.0031595425287378022,0.0,522,0.6341922894120217,0.9705980807542801,5.0,1.78,34,-0.0016421355165948627,272000
224.38,0.15450536463047676,1.3350699841976166,0.0034552981273736805,0.0,524,0.624569236189127,0.9691860872507095,5.1000000000000085,2.51,35,-0.0011725935980211944,280000
212.04,0.29396881252597357,1.3395927315950393,0.010052842365694233,0.0,527,0.7994393683969975,0.8927723771333694,5.1000000000000085,2.3,36,-0.0010460242495173588,288000
207.5,0.1736162166936034,1.3541273140907288,0.004718795263179345,0.0,528,0.7587987670302391,0.949213621020317,6.0,2.15,37,-0.00018295299363671802,296000
212.89,0.14899091149553173,1.3571082711219788,0.0032907184361829424,0.0,528,0.6126413004100323,0.953314664363861,7.0,2.26,38,-0.0003166191168020305,304000
197.72,0.17210734800308145,1.3617460381984712,0.004859100617177319,0.0,528,0.7626162041723729,0.953686073422432,5.1000000000000085,1.82,39,0.0003033887949277414,312000
198.32,0.17952664107947192,1.3583995664119721,0.004502486523124389,0.0,523,0.7664951236546039,0.951826223731041,5.0,1.85,40,-0.0012185872735790326,320000
208.35,0.1383066895889175,1.3522480940818786,0.0027168216786230912,0.0,518,0.5875197464227676,0.9709983873367309,5.0,2.07,41,-0.0013036732363980264,328000
197.69,0.165148117829583,1.3669245648384094,0.004376530654844828,0.0,517,0.7070305396616459,0.9506792110204697,5.0,1.73,42,-0.0013438685455002997,336000
186.75,0.2475725251943767,1.3624928939342498,0.007333253504475579,0.0,514,0.9333673611283302,0.9185723823308944,5.0,1.55,43,-0.0007802196088596247,344000
200.25,0.22325977288944748,1.3681742990016936,0.006117846706765704,0.0,509,0.903872103691101,0.9314609503746033,6.0,1.97,44,-0.0014459479828656185,352000
211.96,0.22699861091149517,1.3591211462020873,0.00690127919689985,0.0,503,0.960975794494152,0.9419844037294388,7.0,2.35,45,-0.0019192069640848785,360000
212.24,0.2218756253709021,1.3661291563510896,0.006188227654492948,0.0,488,0.9026998189091683,0.9240162640810012,5.1000000000000085,2.23,46,-0.0009645484940847382,368000
207.33,0.30139721963333016,1.370150762796402,0.00925167289271485,0.0,479,1.0453446952998637,0.9067406994104386,5.0,2.07,47,-0.003360202314797789,376000
207.13,0.2039881166259127,1.3545980632305146,0.004887726212618872,0.0,472,0.8123435997962951,0.9567565184831619,5.0,2.07,48,-0.0005879334610654041,384000
222.12,0.21248988900286178,1.3504151344299316,0.00496932273148559,0.0,466,0.8200113835930825,0.9526318931579589,9.0,2.56,49,-0.0009699202445335686,392000
221.38,0.19975355069025966,1.357342497110367,0.005177261028729845,0.0,460,0.8095518323779106,0.9195093661546707,9.0,2.59,50,-0.0011705505546706263,400000
209.69,0.18604796158188916,1.351222310066223,0.0045142703104647805,0.0,455,0.7589778184890748,0.9608320301771164,6.1000000000000085,2.18,51,-0.0015419521531657666,408000
221.24,0.15294714319219282,1.3415025973320007,0.003358965799561702,0.0,450,0.659887188822031,0.9685404932498932,7.0,2.54,52,-0.0009056209967820906,416000
215.19,0.23468756148574713,1.3591205656528473,0.006747776354895905,0.0,445,0.9298948922753334,0.9007046604156494,5.0,2.28,53,0.0007307733276684302,424000
198.36,0.1873607442002148,1.3681157672405242,0.004953041920089163,0.0,441,0.8130021506547928,0.9446996694803238,5.0,1.79,54,0.0005295211906195618,432000
