P01:episode_rewards,advantage_norm,P09:episode_rewards,approx_kl_divergence,explained_variance,grad_norm,fps,epoch_idx,policy_entropy,PMM:episode_rewards,frames,clip_fraction,value_loss,policy_loss,episode_length
0.0,15.968717205524445,175.0,393.7872662477901,-1.9869474940001965,3537532.9845745726,449,1,1.2176171311210893,84.82142857142857,10240,0.4651123046875,971157.7709540365,0.03219163269714045,325.82142857142856
0.0,15.968716394901275,200.0,0.005905575198198676,-3.3527612686157227e-09,0.06473292337782158,352,2,1.7210917226970195,108.19672131147541,20480,0.3620361328125,0.007102251225103373,-0.0018640861664607656,326.55737704918033
0.0,15.96871750354767,244.99999999999994,0.0030052819313368673,-2.458691596984863e-08,0.054192913911136155,395,3,1.7746105015277862,128.49462365591398,30720,0.2252685546875,0.009439572637904802,-0.0012789561264071382,328.5698924731183
0.0,15.96871709227562,330.0000000000004,0.003572347898807493,-2.2351741790771484e-09,0.052272101616106,419,4,1.7654423274099826,147.0,40960,0.241845703125,0.007082321935263281,-0.0012018070090562105,329.94
0.0,15.968716812133788,255.00000000000043,0.0032278920149337864,-7.450580596923828e-09,0.049159903887408284,436,5,1.7797712340950966,131.75,51200,0.2260009765625,0.005628803479521593,-0.001322211488877656,325.32
25.0,15.96871746778488,302.5000000000002,0.0033408377446392024,1.1175870895385742e-08,0.05349608394422038,450,6,1.7802081458270549,141.25,61440,0.22919921875,0.010112466396321906,-0.001901549059402896,327.52
25.0,15.968717157840729,280.00000000000045,0.0034791060291126997,-4.470348358154297e-09,0.05570724669576592,462,7,1.7808155961334706,141.5,71680,0.251513671875,0.00743085809212971,-0.0012794013615348375,325.21
25.0,15.968717747926712,430.0000000000004,0.0035168854098174052,-1.2665987014770507e-08,0.0551059665485667,470,8,1.7830651991069317,174.75,81920,0.2789306640625,0.010420590233479743,-0.002227772992409882,332.59
25.0,15.968717592954636,427.5000000000002,0.0023387343720628452,-1.7136335372924803e-08,0.051760563880088394,476,9,1.7813013553619386,167.5,92160,0.15966796875,0.007891574541372393,-0.001008788137914962,331.61
25.0,15.968714582920075,305.00000000000045,0.0040435854581346575,-2.5331974029541015e-08,0.05289666289167298,481,10,1.7760083705186844,157.5,102400,0.276416015625,0.006744805570406243,-0.0012419312111887847,331.31
25.0,15.968717712163926,300.0,0.0032396734266171732,5.587935447692871e-09,0.0537500713474943,481,11,1.7840147092938423,130.75,112640,0.2520751953125,0.007871008437723504,-0.0015543601970421151,325.55
22.500000000000007,15.968715327978135,255.00000000000043,0.0035371821805256333,-6.332993507385254e-09,0.049125254189428855,485,12,1.776847169548273,129.0,122880,0.2651123046875,0.00714366104552937,-0.0021423938022053337,320.79
22.500000000000007,15.96871685385704,225.0,0.0038543278928386826,-5.960464477539063e-09,0.05198817091783747,490,13,1.7726279720664024,120.75,133120,0.2996826171875,0.005838042500045049,-0.0017373342136124848,315.68
25.0,15.968713033199311,225.0,0.0038880209443959758,2.9802322387695314e-09,0.051069600078339425,489,14,1.7691385067999363,123.25,143360,0.2826904296875,0.006865162357121335,-0.0018306633082829649,311.89
25.0,15.968717634677887,252.50000000000023,0.003932713667620646,-3.725290298461914e-09,0.05456178001042487,490,15,1.767967688292265,128.0,153600,0.2637451171875,0.009127369290945353,-0.00162600860458042,321.24
