episode_length,P09:episode_rewards,fps,policy_gradient_loss,avg_q_retraced,epoch_idx,advantage_norm,PMM:episode_rewards,explained_variance,policy_loss,rollout_prob_std,policy_entropy,q_loss,P01:episode_rewards,policy_gradient_bias_correction,avg_q_selected,grad_norm,model_prob_std,frames
0,0.0,462,-0.000649983976927615,0.02607723600231111,1,0.09640841272970041,0.0,-32.88631583849589,-0.000649983976927615,0.04782762962083022,2.0775816281636557,0.004966368573028982,0.0,4.2876353509302413e-13,0.024628045363351704,0.15380773000251086,0.047827629496653874,7200
0,0.0,218,-0.00046882284435317465,0.05989440631431838,2,0.12260735782328994,0.0,-989.394640135765,-0.0004688234516531035,0.04157584629332026,2.0459381500879923,0.02160789976514934,0.0,-6.017824821791251e-10,0.05978072985696296,0.7618125584508637,0.04157584443067511,14400
0,0.0,273,-0.00015272587140013154,0.006126732123084367,3,0.006583291067120929,0.0,-315.8493371963501,-0.00015272587140013154,0.006656103301793337,2.1954001744588214,2.160782940639668e-05,0.0,0.0,0.006205649223799506,0.0036906112861618623,0.006656103177616993,21600
0,0.0,317,-6.893814397699317e-05,0.0030152132734656335,4,0.030853967081444958,0.0,-79.45496225357056,-6.893814397699317e-05,0.008003193605691194,2.1945998668670654,2.343090667030386e-05,0.0,0.0,0.003133535183345278,0.0033485479182760133,0.008003193481514851,28800
0,0.0,340,-7.202711245023845e-05,0.003252793879558643,5,0.012825030577369034,0.0,-37.78424956003825,-7.202711245023845e-05,0.006826563893506925,2.1952977975209556,7.273896956405679e-06,0.0,0.0,0.0032884396302203336,0.0015479200236356214,0.006826564017683267,36000
3324.75,0.0,321,-8.198847638899073e-05,0.0028194831218570473,6,0.02250352210054795,0.0,-29.520288467407227,-8.198847638899073e-05,0.007216650418316325,2.195060960451762,1.4671652697491785e-05,0.0,0.0,0.0028003500192426145,0.002506565261608503,0.007216650294139981,43200
3324.75,0.0,333,-7.260814491019118e-05,0.003870541974902153,7,0.0053594722722967465,0.0,-99.63358055750528,-7.260814491019118e-05,0.0063577834671984116,2.1955570459365843,3.972228353651038e-06,0.0,0.0,0.0038873631662378707,0.0012002362104406661,0.006357783389588197,50400
3324.75,0.0,349,-0.00011599134983650098,0.004818516837743422,8,0.004720072797499597,0.0,-53.37218554814657,-0.00011599134983650098,0.0061821993285169205,2.195624820391337,2.365137873994172e-06,0.0,0.0,0.004884933043892185,0.0012522697767301063,0.006182199266428749,57600
3324.75,0.0,362,-5.936178725581461e-05,0.002579950529616326,9,0.01868379981412242,0.0,-15.652972714106243,-5.936178725581461e-05,0.005897444843625029,2.1957597017288206,9.427336086294721e-06,0.0,0.0,0.002574833909360071,0.001584728812022877,0.005897445045411587,64800
3324.75,0.0,374,-4.9675960629732195e-05,0.0021982897693912187,10,0.014294726413208992,0.0,-88.35482544898987,-4.9675960629732195e-05,0.005499992767969767,2.195949689547221,7.005997605347147e-06,0.0,0.0,0.002188947544588397,0.0015054676106279936,0.005499992752447724,72000
3324.75,0.0,383,-4.626605699134719e-05,0.002230117644648999,11,0.02585330532553295,0.0,-8.692586914698284,-4.626605699134719e-05,0.006504812727992733,2.195472566286723,1.348501439035014e-05,0.0,0.0,0.002226330405877282,0.0020800491128253537,0.0065048126193384325,79200
3324.875,0.0,390,-6.652929417517346e-05,0.002176190963170181,12,0.006161863232652346,0.0,-25.104286829630535,-6.652929417517346e-05,0.004754113499075174,2.1962945540746053,2.160900005065969e-06,0.0,0.0,0.0022180385033910475,0.0007443329021150003,0.004754113576685389,86400
3324.875,0.0,399,-7.416546480574956e-05,0.0037682102682689827,13,0.004362839398284754,0.0,-30.717168124516807,-7.416546480574956e-05,0.005920426206042369,2.1957431475321454,1.3697701191972555e-06,0.0,0.0,0.0037989227178816995,0.0007354470493049572,0.005920426330218712,93600
3324.875,0.0,407,-6.753412217221921e-05,0.0027157676173374056,14,0.004524565860629081,0.0,-15.70841383934021,-6.753412217221921e-05,0.004528140765614808,2.1963486750920613,7.73738821161866e-07,0.0,0.0,0.002747080250022312,0.0005420696723604602,0.004528140688004593,100800
3324.875,0.0,414,-4.24128002919133e-05,0.0018626765076381465,15,0.0253702016081661,0.0,-20.266780789693197,-4.24128002919133e-05,0.005785784924713274,2.195840525627136,1.1231988233362245e-05,0.0,0.0,0.0018935734561334053,0.0018567510636085304,0.005785784870386124,108000
3324.875,0.0,420,-3.462027719554802e-05,0.0016140261432155967,16,0.008517730600821475,0.0,-23.765095408757528,-3.462027719554802e-05,0.004004752061640223,2.196525796254476,2.945375841297467e-06,0.0,0.0,0.0016595617324734727,0.0007194612753315232,0.0040047520849232875,115200
3325.027777777778,0.0,422,-6.035193129570694e-05,0.0019959145430974395,17,0.02408204344407995,0.0,-10.290589817932673,-5.7669561385864654e-05,0.008599572089484095,2.195943170426384,1.0335519334197281e-05,0.0,2.682369913539365e-06,0.0019804698216224397,0.001773830907618635,0.005513730574840872,122400
3325.027777777778,0.0,418,-9.511015932070049e-05,0.001980361799508082,18,0.01690909683949218,0.0,-14.121709374889495,-8.163099381323581e-05,0.013773173340152772,2.195579565385031,1.4647492149765504e-05,0.0,1.347916487055447e-05,0.0020210433248818538,0.0011126587543456238,0.006102042299998362,129600
3325.027777777778,0.0,413,-3.865501464894854e-05,0.0017523456279914605,19,0.011010366053337097,0.0,-8.74350128989371,-3.065859312889029e-05,0.01336445307590082,2.1947990559490904,2.1118083128488786e-06,0.0,7.996421691750186e-06,0.001767871949987094,0.0007555924198153544,0.007361941825624348,136800
