explained_variance,epoch_idx,policy_entropy,episode_length,model_prob_std,policy_gradient_bias_correction,P09:episode_rewards,rollout_prob_std,fps,PMM:episode_rewards,advantage_norm,avg_q_selected,frames,P01:episode_rewards,policy_loss,q_loss,grad_norm,avg_q_retraced,policy_gradient_loss
-4.344447882970174,1,2.175347900390625,0,0.023197578017910322,0.0,0.0,0.023197577397028605,534,0.0,0.09344212226569652,-0.032325858746965724,7200,0.0,0.000741912749799667,0.0001288111070607556,0.011314947059224168,-0.03213723190128803,0.000741912749799667
-4.420480104287465,2,1.7675869618852933,0,0.09977135087052981,-3.8713429086082467e-11,0.0,0.09977134913206101,254,0.0,0.6293522217621406,-0.08377238932686547,14400,0.0,0.0003791820298526242,0.016148748286741465,0.4824413791048575,-0.08139313490440449,0.00037918205313568855
-5.232591342926026,3,2.1098934610684714,0,0.03693053312599659,0.0,0.0,0.03693053225676219,287,0.0,0.07032290312151114,-0.007842589971066143,21600,0.0,0.00014128758521110286,9.369883303709988e-05,0.00691189773229414,-0.00791098009988976,0.00014128758521110286
-5.082722854614258,4,2.1801069021224975,0,0.01905271060143908,0.0,0.0,0.019052710228910048,308,0.0,0.08153229591747126,-0.000325448615088438,28800,0.0,0.0001613336949958466,0.00010744617884483887,0.007794360976691375,-7.673913690571984e-06,0.0001613336949958466
-4.550014956792196,5,2.161439959208171,0,0.02882513158644239,0.0,0.0,0.028825130810340247,324,0.0,0.03860452764978011,-0.007178890546007703,36000,0.0,0.0004698697159862301,2.6425748054255867e-05,0.003300132254357367,-0.006828008025574188,0.0004698697159862301
-3.7481191794077557,6,2.1835739850997924,3323.9166666666665,0.0185216600385805,0.0,0.0,0.018521659666051467,338,0.0,0.042613166570663455,-0.0011117278210197887,43200,0.0,3.439560811481594e-05,2.30178727179009e-05,0.0030896220322135163,-0.0010486319467114906,3.439560811481594e-05
-3.460171627998352,7,2.103670386473338,3323.9166666666665,0.037166132715841134,0.0,0.0,0.037166131660342216,350,0.0,0.03330900774647792,-0.011215750500559807,50400,0.0,4.002754233927893e-05,2.6058802056165102e-05,0.004827923508046267,-0.011216075299307704,4.002754233927893e-05
-2.9500531891981763,8,1.9284769614537558,3323.9166666666665,0.07801804188638925,0.0,0.0,0.07801803722977638,357,0.0,0.027598226505021254,-0.021567567135207355,57600,0.0,0.0007127099422784037,8.458833872282411e-06,0.003552384445760926,-0.021169991736921173,0.0007127099422784037
-3.2466171264648436,9,2.183594576517741,3323.9166666666665,0.01817335868254304,0.0,0.0,0.018173358434190354,367,0.0,0.03300207753976186,-0.00028698462604855496,64800,0.0,0.00018336894402940136,1.4233835342262561e-05,0.0020622819761979484,-8.216599720374991e-05,0.00018336894402940136
-3.469530948003133,10,2.167835068702698,3323.9166666666665,0.02598527812709411,0.0,0.0,0.025985277102639277,373,0.0,0.027201224770396947,-0.0029520200992313524,72000,0.0,9.512062613528846e-05,9.979306484334909e-06,0.001918392585998254,-0.002872974805844327,9.512062613528846e-05
-2.814038997888565,11,2.1809386889139812,3323.9166666666665,0.01900658905506134,0.0,0.0,0.019006588930884995,379,0.0,0.03511812693128983,0.0017557164266084632,79200,0.0,5.9894685288478895e-06,1.46982555293107e-05,0.0021549272512992753,0.0017801587625096242,5.9894685288478895e-06
-3.565834112962087,12,2.184740416208903,3324.5416666666665,0.017651136157413323,0.0,0.0,0.01765113535026709,383,0.0,0.026144514605402947,-0.0003797605303285915,86400,0.0,-7.585921642601079e-05,9.197049848808092e-06,0.0017119053744529074,-0.0004651629940781277,-7.585921642601079e-05
-2.123015081882477,13,1.9158770243326824,3324.5416666666665,0.08027752507477999,0.0,0.0,0.08027752141157786,388,0.0,0.02631093505769968,-0.01694298457587138,93600,0.0,0.0002504973621550259,8.752872296705998e-06,0.003414425256556205,-0.01683526134196048,0.0002504973621550259
-2.9162190794944762,14,2.0874985178311665,3324.5416666666665,0.040902952663600445,0.0,0.0,0.04090295154601335,392,0.0,0.023463605965177218,-0.003759535978436664,100800,0.0,0.00021435045164253097,6.138184138156551e-06,0.002280573658683277,-0.003594889746940074,0.00021435045164253097
-2.578027693430583,15,2.185779857635498,3324.5416666666665,0.016199902910739184,0.0,0.0,0.016199902600298324,397,0.0,0.034864568151533604,0.003171189010026865,108000,0.0,-9.700601634297831e-05,1.3212390520796664e-05,0.001982233372063279,0.0031458031638370207,-9.700601634297831e-05
-3.1045735994974772,16,2.165199327468872,3324.5416666666665,0.02756016474838058,0.0,0.0,0.027560164189587035,403,0.0,0.018488773858795562,6.895330540525416e-05,115200,0.0,4.179011881812282e-05,4.45551247973223e-06,0.0011578964608945264,0.00011739629747656485,4.179011881812282e-05
-2.33018433339066,17,2.167686632076899,3324.6111111111113,0.024751613171150287,2.1610526558409524e-06,0.0,0.02504216273418731,405,0.0,0.0414076028826336,0.003059256704469185,122400,0.0,-0.00014312066369711829,2.6613038591878852e-05,0.0023963832987402628,0.0030210304991730172,-0.00014528171690017188
-1.5012800409340585,18,2.0966985955120507,3324.6111111111113,0.047452324511386555,7.443890723019965e-05,0.0,0.04661954000833461,399,0.0,0.054531880893004044,0.002457259429227195,129600,0.0,0.0001369968417430961,6.449392950354689e-05,0.003989574686222073,0.002635682073256566,6.255793582769785e-05
-0.9216970193393962,19,1.5348976607620346,3324.6111111111113,0.15299388214127804,0.00017977426456098936,0.0,0.0929286037093748,395,0.0,0.24464157754998833,0.053066405168033536,136800,0.0,-0.000911036760323276,0.001433424625160278,0.03856618072376789,0.05398620953574892,-0.0010908110252741412
