P09:episode_rewards,policy_entropy,PMM:episode_rewards,epoch_idx,grad_norm,P01:episode_rewards,value_loss,explained_variance,policy_loss,advantage_norm,frames,fps,episode_length
2.8000000000000043,1.3433012294769286,1.0,1,0.8741171784147475,0.0,0.02193855186156725,-0.4740006899833679,-0.01074381349637406,1.4136553947627544,8000,528,168.62790697674419
3.0,1.3737490248680115,1.0736842105263158,2,0.22469090064965563,0.0,0.013306805022984917,-0.06201780915260315,0.0016394838513951982,1.1693847956880927,16000,311,170.06315789473683
3.0,1.3685702395439148,1.29,3,0.21536393285140779,0.0,0.01431593255196276,-0.04750485360622406,0.0011301532766083255,1.255224276483059,24000,352,176.45
3.0,1.3785213243961334,1.25,4,0.1963943774011082,0.0,0.012795311836162,-0.007374876737594604,0.0008800957363564521,1.1738986974954606,32000,378,174.85
3.0,1.3849445116519927,1.12,5,0.20961346445137938,0.0,0.014167220160597935,-0.015847389101982117,0.003368042810470797,1.2075822326913477,40000,397,171.68
4.0,1.3844034564495087,1.12,6,0.13202678169526252,0.0,0.007890644202889234,-0.03026026427745819,-0.0015984845062484965,0.8446217736974359,48000,410,171.39
4.0,1.3823955428600312,1.08,7,0.14542580388346174,0.0,0.010386316012627503,-0.02443414866924286,0.001557761873700656,0.997975206784904,56000,419,168.96
4.0,1.3789535331726075,1.37,8,0.21875511642731063,0.0,0.017975414218853986,0.027019831538200378,0.002432378104131203,1.4774626245349645,64000,428,179.83
5.0,1.3684444499015809,1.96,9,0.30323009445914484,0.0,0.019084366099268665,-0.04982792615890503,-0.0024298191189882344,1.5304255275428296,72000,434,205.24
5.0,1.3716463208198548,2.18,10,0.2752159454455692,0.0,0.01656704998735222,0.0663021844625473,0.00024250587273854762,1.4305175741016865,80000,439,214.18
5.0,1.375991199016571,1.82,11,0.28407532243441963,0.0,0.012618810702406336,0.3851770830154419,-0.002989490980398841,1.2368187548220158,88000,443,200.27
3.0,1.376612309217453,1.16,12,0.2655666186767019,0.0,0.010769831126381177,0.3336943447589874,-0.0011959878710331396,1.0995388562977313,96000,447,174.34
3.0,1.3655659806728364,1.27,13,0.3643585276627841,0.0,0.01590468780021183,0.26797091245651244,-0.005817867609730456,1.388910807967186,104000,450,179.21
3.0,1.3564608490467072,1.27,14,0.4319319744136434,0.0,0.017308432187419384,0.290795801281929,-0.0014818657774594611,1.3493190515041351,112000,453,176.93
2.1000000000000085,1.3713468134403228,1.11,15,0.3440187762425828,0.0,0.012569797516334802,0.3121245038509369,-0.003238716928171925,1.2336816312372685,120000,456,169.95
3.0,1.3775016069412231,1.11,16,0.2980094519473276,0.0,0.011113087100966368,0.45834700226783753,1.4193711976986378e-05,1.187440595626831,128000,458,171.43
3.0,1.374015018939972,1.31,17,0.44192314808528044,0.0,0.017340651295962742,0.6061020702123642,-0.006287916153087281,1.479983286857605,136000,460,178.35
5.0,1.3569088208675384,1.94,18,0.4026070912240057,0.0,0.014920984710915946,0.7578492075204849,-0.0021184095239732414,1.4419530054926872,144000,462,200.67
5.0,1.3503914856910706,1.97,19,0.34129221251355607,0.0,0.010612340373918415,0.823609808087349,-0.002752237464665086,1.2044482773542404,152000,464,201.98
6.0,1.338276308774948,2.19,20,0.32930543451756705,0.0,0.009197658342891372,0.8630015861988067,-0.0027006053351215087,1.1073504802584648,160000,467,211.93
6.0,1.3321550142765046,2.12,21,0.30162626716910296,0.0,0.008037199599202722,0.9248392760753632,-0.002437969387683552,1.0625228443741799,168000,469,207.97
6.200000000000017,1.324242845773697,2.32,22,0.3060632888609042,0.0,0.008787225371343084,0.8971538078784943,-0.004648399179786793,1.0239258655905723,176000,471,214.65
9.0,1.3404454183578491,2.43,23,0.20713756845337167,0.0,0.004865200030617416,0.9457983458042145,-0.00034242147419718096,0.7967871478199959,184000,472,216.57
5.1000000000000085,1.3425645756721496,1.75,24,0.2691980542832384,0.0,0.00729834372876212,0.8123069602251053,-0.0017863070731982589,0.9763028550148011,192000,473,190.99
5.0,1.343634877204895,1.86,25,0.19717544880746327,0.0,0.004515731252613477,0.9382404345273971,-0.001253074517371715,0.7659618803858756,200000,474,200.87
5.0,1.3343854451179504,1.87,26,0.16147409930216372,0.0,0.0033584437458193863,0.9645995032787323,-0.0009260121607076144,0.6595235672593117,208000,476,201.7
5.0,1.3468592143058777,1.81,27,0.20456889507408824,0.0,0.004633205879363231,0.9616670763492584,5.9093006420880556e-05,0.7508703836798668,216000,478,198.05
