P09:episode_rewards,fps,approx_kl_divergence,clip_fraction,grad_norm,policy_entropy,epoch_idx,frames,policy_loss,PMM:episode_rewards,advantage_norm,P01:episode_rewards,value_loss,explained_variance,episode_length
275.0,654,805697.9410579337,0.386865234375,295234629.0346628,0.414332258464163,1,10240,0.06664466415822971,214.42307692307693,15.96871812939644,125.0,163039620.87791613,-0.41370134241878986,335.61538461538464
250.0,693,0.005508919313070492,0.0763916015625,0.17311454872791665,0.4618433674797416,2,20480,0.0021644390479195865,186.60714285714286,15.968717736005782,125.0,0.011346369548118674,-2.123415470123291e-08,347.57142857142856
250.0,687,0.0025388843473137966,0.1046142578125,0.1282523547674439,0.8606415342539548,3,30720,0.0009751319419592619,193.67816091954023,15.968718028068542,125.0,0.015312237208127044,2.9802322387695314e-09,345.9655172413793
250.0,676,0.001928031460670354,0.0906982421875,0.08395333558627828,0.7650793008506298,4,40960,-0.0006587142386706546,194.5,15.968717783689499,125.0,0.015028219956730027,1.0058283805847169e-08,344.02
250.0,690,0.001123755236397983,0.0553955078125,0.06341213692925804,0.5516988864168525,5,51200,-0.000275697119650431,198.75,15.96871770620346,125.0,0.011601548976977938,8.940696716308593e-09,344.78
250.0,692,0.0014638550888022906,0.0486083984375,0.04584457283731384,0.4813571356236935,6,61440,-0.00018372382037341596,192.25,15.968717920780183,125.0,0.011450130721641472,-1.7508864402770997e-08,348.35
250.0,696,0.0012131970967885763,0.065771484375,0.04174271279147654,0.6889882907271385,7,71680,-0.00033850207983050496,185.0,15.968717867136002,125.0,0.012256977046490647,2.6077032089233397e-09,353.43
250.0,699,0.0012123612321090604,0.0635009765625,0.03866629930111393,0.6417571906000376,8,81920,-0.00030808623996563255,183.0,15.968717783689499,125.0,0.012232639372086851,-1.1920928955078126e-08,355.2
250.0,701,0.0010721501174998592,0.0637451171875,0.03491897065099965,0.5323836714029312,9,92160,-0.0006096086668549106,187.75,15.968717843294144,125.0,0.013685119764704722,-1.4901161193847657e-09,350.45
250.0,704,0.0009605116149124626,0.0448974609375,0.03222884497776374,0.523142258822918,10,102400,-0.00017270112584810704,193.0,15.968717777729035,125.0,0.01363862554062507,8.195638656616212e-09,345.49
250.0,701,0.0013703881135796792,0.0774658203125,0.03457774450918334,0.6184921424835921,11,112640,-0.00012680396030191333,199.0,15.968717831373215,125.0,0.013416904318728485,-6.332993507385254e-09,342.97
250.0,701,0.0007395702620641486,0.0445068359375,0.02835533677177381,0.643538985773921,12,122880,-0.00017971524794120343,204.25,15.96871793270111,125.0,0.013469858535972889,-1.0058283805847169e-08,338.32
