policy_entropy,value_loss,frames,grad_norm,P09:episode_rewards,P01:episode_rewards,PMM:episode_rewards,episode_length,fps,explained_variance,advantage_norm,policy_loss,epoch_idx
1.3562551873922348,0.024754142357087405,8000,1.5077217205152396,3.0,0.0,1.1904761904761905,172.83333333333334,231,-0.9567006725072861,1.521662074327469,0.001489008852659026,1
1.3768691718578339,0.013364261435308436,16000,0.2868856381491332,3.0,0.0,1.3218390804597702,177.20689655172413,221,0.0012566542625427246,1.2013072155416011,0.002189527821028605,2
1.372619161605835,0.012441546652989927,24000,0.30532633835263967,4.1000000000000085,0.0,1.62,190.13,237,0.12027728497982025,1.1783388435840607,0.004437952615262475,3
1.3533875787258147,0.01959122710948577,32000,0.5075648915319393,4.0,0.0,1.64,192.89,247,0.20700097799301148,1.4398971176147461,0.005848815440258477,4
1.3319337105751037,0.01549799545085989,40000,0.43233590588925963,4.0,0.0,1.56,190.36,253,0.5415433293581009,1.387396191805601,-0.0018962069195549703,5
1.3343793511390687,0.015995023587020114,48000,0.49409618612628625,5.0,0.0,1.9,202.75,256,0.6950833368301391,1.4645833241939545,-0.009479264561377931,6
1.3238212382793426,0.01210055326577276,56000,0.46199770160998355,5.0,0.0,1.98,203.96,261,0.8191786277294159,1.303733622431755,-0.004756138686789199,7
1.3438031232357026,0.01293739549408201,64000,0.4526340352062091,5.0,0.0,1.66,192.16,263,0.7824781799316406,1.2499159580469132,-0.002968445984879509,8
1.3332395684719085,0.019906145294662565,72000,0.5622462200534165,5.0,0.0,1.69,194.19,266,0.824074668288231,1.4216982838511467,-0.009778721377369948,9
1.3371712863445282,0.01126588664134033,80000,0.40599125119190843,6.0,0.0,2.2,213.02,268,0.8532210910320281,1.2542585957050323,-0.0024165147868916393,10
1.3413906908035278,0.008268766216933727,88000,0.3605601869359345,6.0,0.0,2.3,215.02,270,0.9011175334453583,1.0727046489715577,-0.0006230806600069627,11
1.3576709139347076,0.008430681970203295,96000,0.3774770869500056,5.0,0.0,1.85,198.13,272,0.9110091662406922,1.0528713512420653,-0.0015007607542793266,12
1.3478016674518585,0.0069530342635698615,104000,0.3106223560149616,4.0,0.0,1.43,183.3,273,0.9033451956510544,0.9657761347293854,-0.001106216138723539,13
1.3584253096580505,0.009335496699204669,112000,0.3372197554673636,5.0,0.0,1.71,192.95,274,0.8740365475416183,1.1132734179496766,0.0004823808846413158,14
1.3547964406013489,0.00863474010489881,120000,0.33039785257033116,5.1000000000000085,0.0,2.04,202.04,275,0.8872583454847336,1.0877612993121146,-0.0006799217688239878,15
1.3356884658336639,0.005060632161912508,128000,0.27244636877560124,5.0,0.0,1.88,196.38,275,0.9454928231239319,0.8328173363208771,-0.0025171844178839818,16
1.3492762064933777,0.008017255820450373,136000,0.3093400546495233,4.1000000000000085,0.0,1.74,193.58,276,0.895570759177208,1.0115207442641259,-0.000410566586360801,17
1.350806747674942,0.008090389563585631,144000,0.3237909103088492,5.0,0.0,2.09,207.07,276,0.9085621392726898,1.0283835378289223,-0.0005029603482034872,18
1.3364488303661346,0.006140256337239407,152000,0.259075381272748,6.300000000000026,0.0,2.34,214.13,276,0.9289395654201508,0.89562344789505,-0.0006660189060494304,19
1.342485147714615,0.0055506432687980126,160000,0.24876141310108846,6.0,0.0,2.09,206.5,277,0.9305559200048447,0.8389550380408763,-0.0008724234017427079,20
1.3421594095230103,0.005142155383946374,168000,0.25304979044041814,9.0,0.0,2.63,223.88,278,0.9496407741308213,0.8388408368825913,-0.0003527187294093892,21
1.3599954640865326,0.0052115692239021886,176000,0.24299485889768044,7.1000000000000085,0.0,2.59,225.01,278,0.9483619022369385,0.7966122901439667,-0.0013680170799489134,22
1.355487161874771,0.003999932988372166,184000,0.2129378781645758,7.1000000000000085,0.0,2.35,215.08,279,0.9587333852052689,0.7278468108177185,-0.0004970862884147209,23
1.3567118310928346,0.004711952145735268,192000,0.21985541627727503,6.200000000000017,0.0,1.97,199.26,279,0.953305184841156,0.7342922873795033,0.0004503083320742007,24
1.3668458890914916,0.006978620529989712,200000,0.2875487255705104,6.1000000000000085,0.0,1.98,198.82,279,0.9093239611387253,0.9572183921933174,0.0002776172493759077,25
1.3517669594287873,0.0057400010223500435,208000,0.23841285417996244,6.1000000000000085,0.0,2.11,205.58,280,0.9422009164094924,0.8535302096605301,0.00015246496186591685,26
1.3416217958927155,0.0031456890056142583,216000,0.18457117553879485,6.1000000000000085,0.0,2.13,209.67,281,0.96820054769516,0.6320576798915863,-0.0009203752550820354,27
1.3545254004001617,0.0037440867512486876,224000,0.20517008610697016,5.1000000000000085,0.0,2.26,217.41,281,0.9617281472682953,0.6796604931354523,7.966594312165398e-05,28
1.3788131892681121,0.00885270475060679,232000,0.2905872459039081,5.0,0.0,1.97,206.28,281,0.8729265242815017,1.02188999325037,0.001521628248738125,29
1.3666969442367554,0.00535782725957688,240000,0.2518366738482098,5.0,0.0,1.74,195.19,282,0.9230126422643662,0.8353674328327179,-0.0020880112308077512,30
1.3694466769695282,0.007086700299987569,248000,0.2774997114450323,4.1000000000000085,0.0,1.89,199.88,285,0.9291790097951889,0.9771262380480766,-3.110876399659901e-05,31
1.3604927003383636,0.0061109281698009,256000,0.24649188908727082,5.1000000000000085,0.0,2.02,205.29,286,0.9351129376888275,0.8713913223147393,-0.00046020275534829124,32
1.3696293568611144,0.006660329998703673,264000,0.2701501931102348,6.0,0.0,1.98,203.63,287,0.8763239568471909,0.9085022857785225,0.0015882839227560907,33
