epoch_idx,frames,grad_norm,policy_entropy,value_loss,PMM:episode_rewards,P09:episode_rewards,policy_loss,explained_variance,P01:episode_rewards,advantage_norm,fps,episode_length
1,8000,1.3850244554208038,1.3160018420219421,0.04125532750516868,1.2,4.0,-0.004806172760436311,-2.733756532073021,0.0,1.9188938043266535,565,177.125
2,16000,0.2375866606342319,1.3642738044261933,0.012982867598220765,1.288888888888889,3.1000000000000085,0.002435761278757127,-0.04335285484790802,0.0,1.1288603130355477,364,178.48888888888888
3,24000,0.23669993284021199,1.374785829782486,0.01340999153573648,1.24,3.0,-0.0015177699399646371,-0.059142552614212036,0.0,1.2063164051994681,439,176.94
4,32000,0.27490067867020185,1.369839186668396,0.015020097646629437,1.24,3.0,0.008040440729237161,-0.09622077465057373,0.0,1.2461789333820343,489,177.52
5,40000,0.23876755412081718,1.373372060060501,0.012203040399799647,1.41,4.0,0.003023271690472029,0.031275705099105836,0.0,1.1325293845683335,524,183.37
6,48000,0.2787834184272515,1.3630428194999695,0.014060213798366021,1.52,4.0,0.0015480240189936012,0.018226333856582642,0.0,1.2988078057765962,551,188.22
7,56000,0.3045826044162984,1.366536556482315,0.013632139991677832,1.43,4.0,-0.0008603457838762551,0.06925203323364258,0.0,1.2745277175307275,573,184.35
8,64000,0.3441203532717416,1.3639697062969207,0.014876973295613424,1.64,4.0,0.0009097512264270336,0.206966273188591,0.0,1.3691520297527313,590,191.27
9,72000,0.4435825203506638,1.334224319458008,0.018986179674393498,1.62,4.0,-0.0010769216169137508,0.45344163954257966,0.0,1.4264496824145316,604,190.98
10,80000,0.3436117287170377,1.3789367270469666,0.013377483517397195,1.7,4.0,0.0012539850233588368,0.6473552596569061,0.0,1.3498724704980851,617,193.82
11,88000,0.34500687614472175,1.3685012650489807,0.011511291846400127,1.82,5.0,-0.005335741584422067,0.6012596100568771,0.0,1.2543414494395255,628,199.54
12,96000,0.5678696487750993,1.356007593870163,0.024614108342211692,1.97,5.0,0.001040631608775584,0.7280932575464248,0.0,1.5206691384315492,638,203.68
13,104000,0.3941946061633717,1.3489070522785187,0.012761575594777242,2.1,5.0,-0.004102442233706824,0.8316828036308288,0.0,1.3382575505971908,649,208.31
14,112000,0.30330751816198454,1.3308977842330934,0.007784583141910844,2.24,5.0,-0.002989390789589379,0.8985147100687026,0.0,1.0336659029126167,657,215.35
15,120000,0.24140965264160788,1.3329546773433685,0.004871411920757965,1.87,5.0,-0.00047325926843768686,0.927553808093071,0.0,0.8304987293481827,662,200.99
16,128000,0.28761888960767157,1.31310693025589,0.006933028858620674,1.64,5.0,-0.0015951753070112319,0.9221580529212952,0.0,0.9779930260777473,668,189.68
17,136000,0.28684530361869987,1.3242219495773315,0.007273701995727606,1.73,5.0,-0.004370548949955264,0.9426685696840287,0.0,0.925779547393322,674,193.48
18,144000,0.22900025107589175,1.343653268814087,0.00516623195289867,1.84,5.0,-0.001676384482998401,0.946244313120842,0.0,0.825475110411644,677,198.64
19,152000,0.2364216832816575,1.3196781075000763,0.005342227135843132,1.88,5.0,-0.0012252009706571697,0.945456315279007,0.0,0.833916343152523,681,199.64
20,160000,0.24218476620169757,1.3427971613407135,0.006071776537864935,1.99,6.0,0.0006819484301377088,0.9309595745801925,0.0,0.894414621591568,684,204.93
21,168000,0.24221680276504315,1.3367529797554016,0.0065216705467901195,2.04,6.0,-0.001958780981040036,0.9217329883575439,0.0,0.8850613084435462,688,204.84
22,176000,0.24436970540864916,1.3473690938949585,0.0058794779668096455,1.99,6.0,-0.001212520931730978,0.9412100487947463,0.0,0.8697666709125041,691,201.45
23,184000,0.2095334983620491,1.3305277478694917,0.0045600662525976075,1.87,6.0,-0.0014075267233420164,0.9395171463489532,0.0,0.7716684538125992,693,198.07
24,192000,0.22426894952577467,1.327772661447525,0.005775762599369045,2.24,5.1000000000000085,0.00022294657886959613,0.9344785934686661,0.0,0.8517849504947662,695,213.33
25,200000,0.17274758271642796,1.3285858190059663,0.0032316192112921273,2.21,5.1000000000000085,-0.0013107480009057326,0.9627989077568054,0.0,0.6525780448317527,696,213.61
26,208000,0.20775522100288804,1.3590752816200256,0.004986202048603445,1.94,5.1000000000000085,-0.0011624942597700282,0.9398205482959747,0.0,0.7795098012685776,699,201.44
27,216000,0.16291514196241422,1.3532393300533294,0.003352661878161598,1.55,5.0,-0.001331238077582384,0.8494035440683365,0.0,0.6221842734515667,701,185.57
28,224000,0.21220500151481622,1.3296749603748321,0.005221104721713345,1.54,5.0,-0.001625954053888563,0.9420922011137008,0.0,0.7758961339294911,702,185.41
29,232000,0.22531442104691368,1.3572470462322235,0.004804140922497027,1.84,5.1000000000000085,-0.0015938556102628354,0.9267674922943115,0.0,0.7780247120559216,704,195.22
30,240000,0.21772855712215317,1.3501119375228883,0.004540030719072092,2.11,6.0,-0.0009168932036845945,0.9561354088783264,0.0,0.7297951489686966,705,205.08
31,248000,0.21217546794981462,1.3478717732429504,0.005522377311717719,1.84,5.0,-0.0013467740383930505,0.9540142607688904,0.0,0.8061581632494926,706,194.6
32,256000,0.24466473821491674,1.3493331038951875,0.005573564336809795,2.07,5.200000000000017,-0.003570528174750507,0.9562511849403381,0.0,0.8033041904866696,708,201.97
33,264000,0.19322577842433616,1.3316827821731567,0.004611133364669513,2.47,9.0,-0.0019017891518888063,0.9610426384210586,0.0,0.7262367226183415,709,215.6
34,272000,0.15481364237768655,1.3286464285850526,0.0033426301117287947,2.22,9.0,-0.0013917550558835501,0.9614204561710358,0.0,0.6217226706445217,711,205.54
35,280000,0.1395586505791247,1.3316192412376404,0.0027749614923959598,2.42,9.0,-0.0011527656479665893,0.9749596011638642,0.0,0.5719096794724464,713,215.13
36,288000,0.15510461430610362,1.3538168346881867,0.0035003449262876528,2.49,9.0,-0.0017238003934835432,0.9642640453577042,0.0,0.6059724591672421,714,220.08
37,296000,0.20300772875096612,1.3414270496368408,0.00475293945724843,2.08,8.100000000000009,-0.0012794311815378023,0.9529039537906647,0.0,0.746194888651371,714,201.78
38,304000,0.14527348770930396,1.3352942049503327,0.0033294754885719157,1.65,5.0,-0.0009262031091202516,0.9673795455694199,0.0,0.6019955921173096,716,187.15
39,312000,0.22321750116131805,1.3691250348091126,0.006187521069368813,1.97,6.300000000000026,-0.0002506595605518669,0.9265459781885147,0.0,0.8701506039500236,716,199.63
40,320000,0.21166031812662248,1.3548063957691192,0.005355668211414013,2.03,6.0,-0.002198092530015856,0.9393545323610306,0.0,0.8018266338109971,716,206.65
41,328000,0.16754453448258227,1.3658019816875457,0.0038255944749107586,1.71,5.0,-0.0005624707422248321,0.9500175058841706,0.0,0.6790282171964646,713,195.36
42,336000,0.1703776601484897,1.338903158903122,0.0037176684162113817,1.74,5.0,-0.0010340347717283293,0.9609235692024231,0.0,0.6598679155111313,710,195.02
43,344000,0.2255014677121708,1.359895921945572,0.006201472957036458,1.92,5.0,-0.002078290846257005,0.9141998368501664,0.0,0.8220569580793381,709,200.34
44,352000,0.21339404190130726,1.3475422263145447,0.00528946725098649,2.04,9.0,-0.00015108342980965972,0.9461595815420151,0.0,0.790969030559063,705,198.75
45,360000,0.28639210809022286,1.3653234958648681,0.008150343050365336,2.28,6.300000000000026,-0.0029063481994671746,0.9095902436971665,0.0,0.9905558909475803,702,210.34
46,368000,0.244063136391236,1.3444046950340272,0.005861454891273752,2.36,6.0,-0.002693241461638536,0.9462249630689621,0.0,0.8514631594717502,697,215.24
47,376000,0.20923141402014367,1.3589056885242463,0.005099985605629627,2.17,5.0,0.0006846136349486187,0.9323669731616974,0.0,0.799041716903448,693,211.98
48,384000,0.28335590213141154,1.3627729511260986,0.008653869645204395,2.62,8.100000000000009,-0.002407200620218646,0.9170745992660523,0.0,1.0674254420399665,689,222.77
